idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
24,N44,N39,13,29,1e-08,6e-08,1e-08,0.00111752,2.400000000000001e-07,0.01563875,1e-06,0.00112,1e-06,0.001119,-1645.052667,-1637.05764,67,0.061417280000000136,0.0222118,0.0048837785577299135
25,Sp038,N39,1,29,1e-08,6e-08,0.0,0.00111752,0.0,0.01563875,1e-06,0.00112,0.0,0.001119,-1645.052667,-1637.05764,67,0.061417280000000136,0.0222118,0.0048837785577299135
32,Sp066,Sp039,1,1,1e-08,6e-08,0.0,0.0,0.0,0.0,1e-06,0.001117,0.0,0.0,-1645.020865,-1637.05764,67,0.061417280000000136,0.0222118,0.004864352241134262
33,N91,Sp039,4,1,1e-08,6e-08,1e-08,0.0,6e-08,0.0,1e-06,0.001117,1e-06,0.0,-1645.020865,-1637.05764,67,0.061417280000000136,0.0222118,0.004864352241134262
54,N82,N70,10,6,7e-08,6e-08,0.00111677,0.00111641,0.00111698,0.00111655,1e-06,0.001117,0.001117,0.001117,-1637.0784,-1637.05764,67,0.061417280000000136,0.0222118,1.2681288363254795e-05
55,Sp032,N70,1,6,0.00111679,6e-08,0.0,0.00111641,0.0,0.00111655,0.002238,1e-06,0.0,0.001117,-1643.602156,-1637.05764,67,0.061417280000000136,0.0222118,0.003997730953443967
58,N62,N55,17,7,7e-08,7e-08,0.00111679,0.0011175,0.00446719,0.00558635,1e-06,0.001118,0.001117,0.001119,-1643.920686,-1637.05764,67,0.061417280000000136,0.0222118,0.004192305653941385
59,Sp033,N55,1,7,0.00111638,7e-08,0.0,0.0011175,0.0,0.00558635,0.001117,0.001118,0.0,0.001119,-1643.920667,-1637.05764,67,0.061417280000000136,0.0222118,0.0041922940477527116
60,Sp064,Sp058,1,1,1e-08,6e-08,0.0,0.0,0.0,0.0,1e-06,0.001118,0.0,0.0,-1645.015999,-1637.05764,67,0.061417280000000136,0.0222118,0.004861379835104629
61,Sp042,Sp058,1,1,1e-08,6e-08,0.0,0.0,0.0,0.0,1e-06,0.001118,0.0,0.0,-1645.015999,-1637.05764,67,0.061417280000000136,0.0222118,0.004861379835104629
