idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
6,Sp036,Sp037,1,1,0.00162589,0.00186772,0.0,0.0,0.0,0.0,0.001625,0.001868,0.0,0.0,-2243.558572,-2243.54521,41,0.44588046000000003,0.116631,5.955752502838185e-06
7,N33,Sp037,3,1,7e-08,0.00186772,0.00335879,0.0,0.0033591299999999997,0.0,1e-06,0.001868,0.003358,0.0,-2243.557927,-2243.54521,41,0.44588046000000003,0.116631,5.668261082027087e-06
8,Sp037,N19,1,3,0.00186772,3e-07,0.0,0.00465111,0.0,0.00803525,0.001868,1e-06,0.0,0.004649,-2243.55836,-2243.54521,41,0.44588046000000003,0.116631,5.861259198680745e-06
9,N25,N19,4,3,0.00068469,3e-07,0.00335879,0.00465111,0.004985089999999999,0.00803525,0.00155,1e-06,0.003358,0.004649,-2243.558144,-2243.54521,41,0.44588046000000003,0.116631,5.764983001995856e-06
10,Sp011,Sp013,1,1,8e-08,0.00465111,0.0,0.0,0.0,0.0,1e-06,0.005177,0.0,0.0,-2248.944048,-2243.54521,41,0.44588046000000003,0.116631,0.002406386987851078
11,Sp002,Sp013,1,1,0.00181179,0.00465111,0.0,0.0,0.0,0.0,0.001812,0.005179,0.0,0.0,-2248.944537,-2243.54521,41,0.44588046000000003,0.116631,0.0024066049464631155
16,N12,N9,2,26,8e-08,1.4e-07,0.00151992,0.0283245,0.0015199999999999999,0.18959862999999996,1e-06,0.00828,0.001522,0.02833,-2269.095349,-2243.54521,41,0.44588046000000003,0.116631,0.011388288003342684
17,N13,N9,8,26,1.9e-07,1.4e-07,0.00465111,0.0283245,0.0164388,0.18959862999999996,1e-06,0.00828,0.004657,0.02833,-2269.095124,-2243.54521,41,0.44588046000000003,0.116631,0.01138818771563766
18,Sp031,Sp023,1,1,0.0283245,1.8e-07,0.0,0.0,0.0,0.0,0.035978,1e-06,0.0,0.0,-2249.127841,-2243.54521,41,0.44588046000000003,0.116631,0.002488307779632292
19,Sp003,Sp023,1,1,0.0208229,1.8e-07,0.0,0.0,0.0,0.0,0.028564,1e-06,0.0,0.0,-2249.127842,-2243.54521,41,0.44588046000000003,0.116631,0.002488308225355373
20,N76,Sp020,2,1,0.0088661,0.00552831,0.0283245,0.0,0.049147399999999994,0.0,0.01023,0.004471,0.028269,0.0,-2246.500715,-2243.54521,41,0.44588046000000003,0.116631,0.0013173369481597843
21,Sp023,Sp020,1,1,1.8e-07,0.00552831,0.0,0.0,0.0,0.0,0.002286,0.004472,0.0,0.0,-2246.501464,-2243.54521,41,0.44588046000000003,0.116631,0.0013176707947863092
32,N68,Sp001,2,1,5.4e-07,2.2e-07,0.00657051,0.0,0.01184642,0.0,0.000914,1e-06,0.008159,0.0,-2254.594759,-2243.54521,41,0.44588046000000003,0.116631,0.004925039598377356
