idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp007,Sp009,1,1,0.00149218,0.0168126,0.0,0,0.0,0,0.001225,0.018269,0.0,0,-2087.855049,-2085.03455,10,0.28820218999999997,0.134901,0.0013527348983257506
1,Sp002,Sp009,1,1,0.00345479,0.0168126,0.0,0,0.0,0,0.00325,0.017379,0.0,0,-2084.248743,-2085.03455,10,0.28820218999999997,0.134901,-0.00037687960614357673
2,N14,Sp003,2,1,0.00281286,0.00720987,0.00345479,0,0.00494697,0,0.004562,0.005059,0.003248,0,-2082.906141,-2085.03455,10,0.28820218999999997,0.134901,-0.0010208027488081287
3,Sp009,Sp003,1,1,0.0168126,0.00720987,0.0,0,0.0,0,0.017917,0.007638,0.0,0,-2087.468617,-2085.03455,10,0.28820218999999997,0.134901,0.0011673988807524274
4,N12,Sp001,3,1,0.00253897,0.00407678,0.0168126,0,0.02457243,0,0.004701,0.010367,0.016812,0,-2092.804057,-2085.03455,10,0.28820218999999997,0.134901,0.003726320506295676
5,Sp003,Sp001,1,1,0.00720987,0.00407678,0.0,0,0.0,0,0.004677,0.010136,0.0,0,-2087.615901,-2085.03455,10,0.28820218999999997,0.134901,0.001238037518371227
6,N10,Sp008,4,1,0.00670873,0.00831572,0.0168126,0,0.03432127,0,0.003566,0.01377,0.015514,0,-2085.908362,-2085.03455,10,0.28820218999999997,0.134901,0.0004190875398205133
7,Sp001,Sp008,1,1,0.00407678,0.00831572,0.0,0,0.0,0,0.007665,0.015372,0.0,0,-2097.49954,-2085.03455,10,0.28820218999999997,0.134901,0.0059783134049265245
8,N8,Sp006,5,1,0.00897116,0.00171611,0.0168126,0,0.045106780000000006,0,0.0166,0.003581,0.015778,0,-2101.700997,-2085.03455,10,0.28820218999999997,0.134901,0.007993367304153336
9,Sp008,Sp006,1,1,0.00831572,0.00171611,0.0,0,0.0,0,0.020956,0.003583,0.0,0,-2101.700987,-2085.03455,10,0.28820218999999997,0.134901,0.007993362508069863
10,N6,Sp004,6,1,0.0150156,0.0264512,0.0168126,0,0.062393660000000004,0,0.013546,0.027865,0.016809,0,-2084.836761,-2085.03455,10,0.28820218999999997,0.134901,-9.4861257814567e-05
11,Sp006,Sp004,1,1,0.00171611,0.0264512,0.0,0,0.0,0,0.001263,0.026874,0.0,0,-2085.519895,-2085.03455,10,0.28820218999999997,0.134901,0.00023277551923542569
12,N4,Sp005,7,1,0.00160192,0.0269341,0.0168126,0,0.07912537000000001,0,0.002354,0.046536,0.016863,0,-2094.487901,-2085.03455,10,0.28820218999999997,0.134901,0.004533906164768403
13,Sp004,Sp005,1,1,0.0264512,0.0269341,0.0,0,0.0,0,0.022747,0.046689,0.0,0,-2093.909351,-2085.03455,10,0.28820218999999997,0.134901,0.0042564287483868955
