idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
2,Sp003,N18,1,2,6e-08,7e-08,0.0,6e-08,0.0,6.999999999999999e-08,0.001009,1e-06,0.0,1e-06,-1748.759074,-1742.98944,13,0.05605968,0.0155073,0.0033101944668121434
3,Sp001,N18,1,2,0.00666711,7e-08,0.0,6e-08,0.0,6.999999999999999e-08,0.007794,1e-06,0.0,1e-06,-1748.759075,-1742.98944,13,0.05605968,0.0155073,0.0033101950405390176
6,N16,Sp002,4,1,1e-08,0.00336897,0.00666711,0.0,0.0076752899999999995,0.0,1e-06,0.003369,0.006667,0.0,-1742.998251,-1742.98944,13,0.05605968,0.0155073,5.055108079096163e-06
7,Sp005,Sp002,1,1,1e-08,0.00336897,0.0,0.0,0.0,0.0,1e-06,0.003369,0.0,0.0,-1742.998273,-1742.98944,13,0.05605968,0.0155073,5.067730071771262e-06
8,N14,Sp010,5,1,0.0014958,0.00893086,0.00666711,0.0,0.007675309999999999,0.0,0.001498,0.008931,0.006667,0.0,-1742.998643,-1742.98944,13,0.05605968,0.0155073,5.280009040010642e-06
10,N12,Sp006,6,1,0.000225,6e-08,0.00666711,0.0,0.01254008,0.0,0.000575,1e-06,0.006667,0.0,-1742.998225,-1742.98944,13,0.05605968,0.0155073,5.040191178661955e-06
11,Sp010,Sp006,1,1,0.00893086,6e-08,0.0,0.0,0.0,0.0,0.008931,1e-06,0.0,0.0,-1742.998269,-1742.98944,13,0.05605968,0.0155073,5.065435164012153e-06
12,N10,Sp008,7,1,0.00034889,0.00110544,0.00893086,0.0,0.02169594,0.0,0.000349,0.002217,0.008934,0.0,-1748.867713,-1742.98944,13,0.05605968,0.0155073,0.003372523587979991
13,Sp006,Sp008,1,1,6e-08,0.00110544,0.0,0.0,0.0,0.0,1e-06,0.002217,0.0,0.0,-1748.866796,-1742.98944,13,0.05605968,0.0155073,0.0033719974803748456
14,N8,Sp007,8,1,0.00155332,6e-08,0.00893086,0.0,0.02204489,0.0,0.003109,1e-06,0.008934,0.0,-1748.929798,-1742.98944,13,0.05605968,0.0155073,0.003408143425125876
15,Sp008,Sp007,1,1,0.00110544,6e-08,0.0,0.0,0.0,0.0,0.002217,1e-06,0.0,0.0,-1748.928079,-1742.98944,13,0.05605968,0.0155073,0.0034071571885139857
16,N6,Sp011,9,1,0.001554,0.0155073,0.00893086,0.0,0.02470365,0.0,0.001554,0.01798,0.008937,0.0,-1751.527614,-1742.98944,13,0.05605968,0.0155073,0.0048985804526733255
17,Sp007,Sp011,1,1,6e-08,0.0155073,0.0,0.0,0.0,0.0,1e-06,0.01798,0.0,0.0,-1751.527586,-1742.98944,13,0.05605968,0.0155073,0.004898564388318882
18,N4,Sp012,10,1,0.00238224,0.0107457,0.00893086,0.0,0.02625771,0.0,0.00235,0.009624,0.008928,0.0,-1741.098077,-1742.98944,13,0.05605968,0.0155073,-0.0010851259087375513
