idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp008,Sp005,1,1,0.0252244,0.0334904,0.0,0.0,0.0,0.0,0.028047,0.032382,0.0,0.0,-2428.197187,-2426.76428,12,0.6210503400000001,0.240466,0.0005904599024345048
1,Sp002,Sp005,1,1,0.027665,0.0334904,0.0,0.0,0.0,0.0,0.030466,0.032586,0.0,0.0,-2428.198766,-2426.76428,12,0.6210503400000001,0.240466,0.0005911105630745918
2,Sp005,N15,1,2,0.0334904,0.0151943,0.0,0.0288784,0.0,0.0542427,0.033985,0.016342,0.0,0.028855,-2427.432437,-2426.76428,12,0.6210503400000001,0.240466,0.0002753283479185151
3,N17,N15,2,2,0.00308908,0.0151943,0.027665,0.0288784,0.0528894,0.0542427,0.003437,0.016342,0.027635,0.028854,-2427.432389,-2426.76428,12,0.6210503400000001,0.240466,0.0002753085684944176
4,Sp009,N14,1,3,0.0253643,0.00159743,0.0,0.0334904,0.0,0.08946888,0.039855,0.001935,0.0,0.033664,-2441.524513,-2426.76428,12,0.6210503400000001,0.240466,0.006082268937962105
5,Sp003,N14,1,3,0.0288784,0.00159743,0.0,0.0334904,0.0,0.08946888,0.042968,0.001924,0.0,0.03368,-2441.523632,-2426.76428,12,0.6210503400000001,0.240466,0.006081905903114759
7,N15,Sp011,2,1,0.0151943,0.0115158,0.0288784,0.0,0.0542427,0.0,0.015063,0.011496,0.028762,0.0,-2426.714976,-2426.76428,12,0.6210503400000001,0.240466,-2.0316765169984038e-05
8,N12,Sp000,5,1,1.9e-07,0.240466,0.0334904,0.0,0.16050331,0.0,0.002423,0.254576,0.033534,0.0,-2432.611731,-2426.76428,12,0.6210503400000001,0.240466,0.002409566948133954
9,Sp011,Sp000,1,1,0.0115158,0.240466,0.0,0.0,0.0,0.0,0.01125,0.256233,0.0,0.0,-2432.935733,-2426.76428,12,0.6210503400000001,0.240466,0.002543078885271844
10,N10,Sp010,6,1,0.0180845,0.0495543,0.0334904,0.0,0.1720193,0.0,0.036223,0.048974,0.033648,0.0,-2433.358546,-2426.76428,12,0.6210503400000001,0.240466,0.00271730800323139
11,Sp000,Sp010,1,1,0.240466,0.0495543,0.0,0.0,0.0,0.0,0.259495,0.049835,0.0,0.0,-2433.33236,-2426.76428,12,0.6210503400000001,0.240466,0.002706517503216262
14,Sp006,N4,1,8,0.0266632,2.3e-07,0.0,0.240466,0.0,0.4985194,0.0268,1e-06,0.0,0.241069,-2427.359434,-2426.76428,12,0.6210503400000001,0.240466,0.0002452459041469381
15,Sp001,N4,1,8,0.0109251,2.3e-07,0.0,0.240466,0.0,0.4985194,0.012637,1e-06,0.0,0.240814,-2428.407719,-2426.76428,12,0.6210503400000001,0.240466,0.0006772141050304004
16,N4,Sp007,8,1,2.3e-07,0.0510803,0.240466,0.0,0.4985194,0.0,1e-06,0.070594,0.242451,0.0,-2449.199129,-2426.76428,12,0.6210503400000001,0.240466,0.009244758209478926
17,N5,Sp007,2,1,0.00288282,0.0510803,0.0266632,0.0,0.037588300000000005,0.0,0.003348,0.070594,0.026504,0.0,-2449.198905,-2426.76428,12,0.6210503400000001,0.240466,0.009244665905499617
