idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp001,Sp002,1,1,0.0116149,1e-08,0.0,0.0,0.0,0.0,0.017601,1e-06,0.0,0.0,-626.264325,-621.893,12,0.16205842999999998,0.0432558,0.007029062877375941
1,Sp000,Sp002,1,1,6.8e-07,1e-08,0.0,0.0,0.0,0.0,0.005421,1e-06,0.0,0.0,-626.264325,-621.893,12,0.16205842999999998,0.0432558,0.007029062877375941
6,N8,N7,4,4,3.6e-07,4.4e-07,0.0116149,0.0101774,0.017028249999999998,0.01863497,0.005619,0.011967,0.011618,0.010787,-628.114182,-621.893,12,0.16205842999999998,0.0432558,0.010003621201717978
7,Sp011,N7,1,4,0.00485314,4.4e-07,0.0,0.0101774,0.0,0.01863497,0.005345,0.011886,0.0,0.010794,-628.114449,-621.893,12,0.16205842999999998,0.0432558,0.010004050536024697
10,N14,Sp010,2,1,4.9e-07,0.00367188,2.2e-07,0.0,2.3000000000000002e-07,0.0,1e-06,0.01112,1e-06,0.0,-631.844007,-621.893,12,0.16205842999999998,0.0432558,0.01600115614744016
11,Sp004,Sp010,1,1,0.00478497,0.00367188,0.0,0.0,0.0,0.0,1e-06,0.011094,0.0,0.0,-627.783877,-621.893,12,0.16205842999999998,0.0432558,0.009472492856488065
14,N6,Sp008,5,1,0.0186976,0.0136578,0.0116149,0.0,0.02188175,0.0,0.012902,0.041977,0.011654,0.0,-638.411032,-621.893,12,0.16205842999999998,0.0432558,0.026560890699846997
15,N7,Sp008,4,1,4.4e-07,0.0136578,0.0101774,0.0,0.01863497,0.0,1e-06,0.042099,0.010255,0.0,-640.092575,-621.893,12,0.16205842999999998,0.0432558,0.029264801179624118
16,N4,Sp009,9,1,0.0230806,0.0432558,0.0186976,0.0,0.05921476,0.0,0.030176,0.047936,0.013033,0.0,-629.737145,-621.893,12,0.16205842999999998,0.0432558,0.012613335413005172
17,Sp008,Sp009,1,1,0.0136578,0.0432558,0.0,0.0,0.0,0.0,0.026386,0.047937,0.0,0.0,-629.737144,-621.893,12,0.16205842999999998,0.0432558,0.012613333805011335
