idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp012,Sp009,1,1,0.179882,4.5e-07,0.0,0.0,0.0,0.0,0.184837,0.004133,0.0,0.0,-985.545502,-984.05237,13,0.36817388,0.179882,0.0015173298144691828
1,Sp008,Sp009,1,1,0.00613391,4.5e-07,0.0,0.0,0.0,0.0,0.016402,0.004133,0.0,0.0,-985.545647,-984.05237,13,0.36817388,0.179882,0.0015174771643505463
2,N18,N15,2,2,0.0153796,0.011209,0.179882,0.00405564,0.18601590999999998,0.008105580000000001,0.006967,0.016499,0.179389,0.004056,-983.823306,-984.05237,13,0.36817388,0.179882,-0.00023277622917568293
3,Sp009,N15,1,2,4.5e-07,0.011209,0.0,0.00405564,0.0,0.008105580000000001,1e-06,0.016511,0.0,0.004059,-988.056729,-984.05237,13,0.36817388,0.179882,0.0040692539564739045
4,Sp011,N14,1,3,0.00404994,0.00665869,0.0,0.179882,0.0,0.20139595999999998,0.004562,0.016645,0.0,0.180325,-992.111362,-984.05237,13,0.36817388,0.179882,0.008189596657340491
5,Sp010,N14,1,3,0.00405564,0.00665869,0.0,0.179882,0.0,0.20139595999999998,0.004563,0.016645,0.0,0.180325,-992.111365,-984.05237,13,0.36817388,0.179882,0.00818959970595872
6,N14,Sp000,3,1,0.00665869,0.0208985,0.179882,0.0,0.20139595999999998,0.0,0.006998,0.020899,0.179296,0.0,-984.324904,-984.05237,13,0.36817388,0.179882,0.0002769507074099629
7,N15,Sp000,2,1,0.011209,0.0208985,0.00405564,0.0,0.008105580000000001,0.0,0.015698,0.020898,0.004057,0.0,-984.324883,-984.05237,13,0.36817388,0.179882,0.00027692936708236736
8,Sp000,N9,1,3,0.0208985,0.0130364,0.0,0.0122838,0.0,0.03335937,0.020946,0.01316,0.0,0.012294,-984.470444,-984.05237,13,0.36817388,0.179882,0.0004248493400814094
9,N11,N9,5,3,0.00597548,0.0130364,0.179882,0.0122838,0.22736922999999998,0.03335937,0.007198,0.01316,0.179917,0.012295,-984.470504,-984.05237,13,0.36817388,0.179882,0.0004249103124460836
10,Sp007,Sp005,1,1,0.00865893,0.0122838,0.0,0.0,0.0,0.0,0.009668,0.015381,0.0,0.0,-986.484366,-984.05237,13,0.36817388,0.179882,0.002471409118195637
11,Sp006,Sp005,1,1,0.00812259,0.0122838,0.0,0.0,0.0,0.0,0.00908,0.01538,0.0,0.0,-986.48435,-984.05237,13,0.36817388,0.179882,0.0024713928588983055
12,N12,N8,2,6,0.00429405,0.00571206,0.00865893,0.179882,0.01678152,0.25424320999999994,0.011998,0.007552,0.008723,0.180119,-993.315792,-984.05237,13,0.36817388,0.179882,0.009413545744521698
13,Sp005,N8,1,6,0.0122838,0.00571206,0.0,0.179882,0.0,0.25424320999999994,0.019123,0.008048,0.0,0.180024,-993.326548,-984.05237,13,0.36817388,0.179882,0.009424476057102536
14,N8,Sp001,6,1,0.00571206,0.0124295,0.179882,0.0,0.25424320999999994,0.0,0.00571,0.01243,0.179873,0.0,-984.05281,-984.05237,13,0.36817388,0.179882,4.471306745859219e-07
15,N9,Sp001,3,1,0.0130364,0.0124295,0.0122838,0.0,0.03335937,0.0,0.013037,0.012429,0.012283,0.0,-984.052768,-984.05237,13,0.36817388,0.179882,4.0445001927928705e-07
16,N6,Sp004,9,1,4.15e-06,0.00403296,0.179882,0.0,0.30635103999999996,0.0,0.025105,1e-06,0.181148,0.0,-999.074034,-984.05237,13,0.36817388,0.179882,0.015265106266651222
17,Sp001,Sp004,1,1,0.0124295,0.00403296,0.0,0.0,0.0,0.0,0.033643,0.004029,0.0,0.0,-1003.151782,-984.05237,13,0.36817388,0.179882,0.01940893857102344
