idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp006,N13,1,2,0.00417503,6.7e-07,0.0,0.14914,0.0,0.1704229,0.005089,1e-06,0.0,0.149373,-1403.166597,-1399.20311,10,0.38210734,0.14914,0.0028326745214281197
1,Sp003,N13,1,2,0.0104547,6.7e-07,0.0,0.14914,0.0,0.1704229,0.011333,1e-06,0.0,0.149373,-1403.166846,-1399.20311,10,0.38210734,0.14914,0.00283285247986631
6,N10,Sp008,4,1,7.1e-07,0.00425321,0.14914,0.0,0.18919930000000001,0.0,1e-06,0.008323,0.149126,0.0,-1401.471057,-1399.20311,10,0.38210734,0.14914,0.0016208847620414804
7,Sp002,Sp008,1,1,2.2e-07,0.00425321,0.0,0.0,0.0,0.0,1e-06,0.008321,0.0,0.0,-1401.471067,-1399.20311,10,0.38210734,0.14914,0.0016208919089666862
8,N8,Sp007,5,1,0.00404086,0.053553,0.14914,0.0,0.18920023,0.0,0.003939,0.057262,0.148903,0.0,-1402.524868,-1399.20311,10,0.38210734,0.14914,0.0023740356037373627
9,Sp008,Sp007,1,1,0.00425321,0.053553,0.0,0.0,0.0,0.0,0.004148,0.055087,0.0,0.0,-1397.797254,-1399.20311,10,0.38210734,0.14914,-0.0010047547707350778
10,N6,Sp005,6,1,0.00656491,0.0165073,0.14914,0.0,0.1974943,0.0,0.007418,0.013271,0.14891,0.0,-1397.404172,-1399.20311,10,0.38210734,0.14914,-0.0012856875368150856
11,Sp007,Sp005,1,1,0.053553,0.0165073,0.0,0.0,0.0,0.0,0.050648,0.017222,0.0,0.0,-1398.581195,-1399.20311,10,0.38210734,0.14914,-0.0004444780000524331
12,N4,Sp004,7,1,0.00269943,0.0422435,0.14914,0.0,0.25761221,0.0,0.003533,0.058577,0.148803,0.0,-1410.95862,-1399.20311,10,0.38210734,0.14914,0.008401575093697574
13,Sp005,Sp004,1,1,0.0165073,0.0422435,0.0,0.0,0.0,0.0,0.018062,0.058564,0.0,0.0,-1410.958713,-1399.20311,10,0.38210734,0.14914,0.008401641560102069
