idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
26,Sp026,Sp005,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,-2796.370618,-2796.29968,62,0.13868435,0.0954472,2.5368525593738167e-05
27,Sp025,Sp005,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,-2796.370618,-2796.29968,62,0.13868435,0.0954472,2.5368525593738167e-05
28,N44,N30,2,14,0.00056655,5e-08,1e-08,0.00120878,2e-08,0.0024176499999999995,0.001209,1e-06,1e-06,0.001209,-2796.370642,-2796.29968,62,0.13868435,0.0954472,2.537710836478773e-05
29,Sp005,N30,1,14,1e-08,5e-08,0.0,0.00120878,0.0,0.0024176499999999995,1e-06,1e-06,0.0,0.001209,-2796.37064,-2796.29968,62,0.13868435,0.0954472,2.5376393133948246e-05
36,Sp032,N47,1,2,1e-08,8e-08,0.0,0.00120939,0.0,0.0012094,1e-06,0.00121,0.0,0.00121,-2798.330403,-2796.29968,62,0.13868435,0.0954472,0.0007262179424201961
37,N61,N47,3,2,1e-08,8e-08,1e-08,0.00120939,4e-08,0.0012094,1e-06,0.00121,1e-06,0.00121,-2798.330403,-2796.29968,62,0.13868435,0.0954472,0.0007262179424201961
40,N46,Sp004,4,1,0.00120939,1e-08,1e-08,0.0,6e-08,0.0,0.00121,1e-06,1e-06,0.0,-2796.370631,-2796.29968,62,0.13868435,0.0954472,2.537317459468269e-05
41,N47,Sp004,2,1,8e-08,1e-08,0.00120939,0.0,0.0012094,0.0,1e-06,1e-06,0.00121,0.0,-2796.369805,-2796.29968,62,0.13868435,0.0954472,2.507778422366176e-05
42,N32,N22,6,17,0.00038223,1e-07,0.00120939,0.00120878,0.00241893,0.00362601,0.001209,1e-06,0.00121,0.001209,-2796.370655,-2796.29968,62,0.13868435,0.0954472,2.538175736589488e-05
43,Sp004,N22,1,17,1e-08,1e-07,0.0,0.00120878,0.0,0.00362601,1e-06,1e-06,0.0,0.001209,-2796.370077,-2796.29968,62,0.13868435,0.0954472,2.5175055629215388e-05
44,N22,Sp003,17,1,1e-07,1e-08,0.00120878,0.0,0.00362601,0.0,1e-06,1e-06,0.001209,0.0,-2796.369623,-2796.29968,62,0.13868435,0.0954472,2.501269820978793e-05
45,N23,Sp003,7,1,0.00082587,1e-08,0.00120939,0.0,0.00280117,0.0,0.000826,1e-06,0.00121,0.0,-2796.370474,-2796.29968,62,0.13868435,0.0954472,2.5317028967278166e-05
46,N14,N11,24,2,0.00047719,3e-07,0.00120939,0.00483493,0.00725315,0.00483494,0.002354,1e-06,0.00121,0.004834,-2796.369842,-2796.29968,62,0.13868435,0.0954472,2.509101599581847e-05
47,Sp003,N11,1,2,1e-08,3e-07,0.0,0.00483493,0.0,0.00483494,1e-06,1e-06,0.0,0.004834,-2796.37067,-2796.29968,62,0.13868435,0.0954472,2.5387121597678886e-05
52,Sp061,Sp042,1,1,0.0954472,0.00121038,0.0,0.0,0.0,0.0,0.096942,0.001211,0.0,0.0,-2798.280063,-2796.29968,62,0.13868435,0.0954472,0.0007082155800983657
53,Sp054,Sp042,1,1,0.00120668,0.00121038,0.0,0.0,0.0,0.0,0.002424,0.001093,0.0,0.0,-2798.274986,-2796.29968,62,0.13868435,0.0954472,0.0007063999664012472
80,Sp041,N34,1,10,1e-08,7e-08,0.0,0.0954472,0.0,0.09912325999999998,1e-06,0.00241,0.0,0.093807,-2811.681551,-2796.29968,62,0.13868435,0.0954472,0.005500794893342779
81,N51,N34,6,10,1e-08,7e-08,1e-08,0.0954472,9.999999999999998e-08,0.09912325999999998,1e-06,0.00241,1e-06,0.093807,-2811.681551,-2796.29968,62,0.13868435,0.0954472,0.005500794893342779
90,Sp010,Sp053,1,1,1e-08,7e-08,0.0,0.0,0.0,0.0,1e-06,0.001211,0.0,0.0,-2804.157671,-2796.29968,62,0.13868435,0.0954472,0.0028101390763667564
91,N53,Sp053,4,1,1e-08,7e-08,1e-08,0.0,6e-08,0.0,1e-06,0.001211,1e-06,0.0,-2804.157671,-2796.29968,62,0.13868435,0.0954472,0.0028101390763667564
92,Sp053,N24,1,17,7e-08,7e-08,0.0,0.0954472,0.0,0.10154649999999998,0.00121,1e-06,0.0,0.095476,-2803.17688,-2796.29968,62,0.13868435,0.0954472,0.0024593930504615666
93,N37,N24,5,17,0.00205368,7e-08,1e-08,0.0954472,7.999999999999999e-08,0.10154649999999998,0.004123,1e-06,1e-06,0.095476,-2803.17688,-2796.29968,62,0.13868435,0.0954472,0.0024593930504615666
98,Sp012,Sp060,1,1,1e-08,0.00825514,0.0,0.0,0.0,0.0,1e-06,0.009944,0.0,0.0,-2801.77445,-2796.29968,62,0.13868435,0.0954472,0.001957862399068689
99,Sp011,Sp060,1,1,1e-08,0.00825514,0.0,0.0,0.0,0.0,1e-06,0.009944,0.0,0.0,-2801.77445,-2796.29968,62,0.13868435,0.0954472,0.001957862399068689
102,Sp057,Sp049,1,1,8e-08,1e-08,0.0,0.0,0.0,0.0,0.001192,1e-06,0.0,0.0,-2804.2828,-2796.29968,62,0.13868435,0.0954472,0.0028548871414239376
103,Sp051,Sp049,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,0.001211,0.0,0.0,-2805.017053,-2796.29968,62,0.13868435,0.0954472,0.003117467366730862
108,N20,N12,3,24,1.3e-07,6e-08,0.00825514,0.0954472,0.010312209999999999,0.10602006,0.002562,1e-06,0.007763,0.09546,-2803.653578,-2796.29968,62,0.13868435,0.0954472,0.002629867625632974
109,N21,N12,4,24,6e-08,6e-08,0.0011699,0.0954472,0.0011700899999999997,0.10602006,0.00117,1e-06,0.00117,0.09546,-2803.653567,-2796.29968,62,0.13868435,0.0954472,0.0026298636918628687
112,N8,Sp013,27,1,1.2e-07,1e-08,0.00483493,0.0,0.01444133,0.0,1e-06,0.004126,0.004836,0.0,-2810.579811,-2796.29968,62,0.13868435,0.0954472,0.005106795635008613
113,N9,Sp013,31,1,7e-08,1e-08,0.0954472,0.0,0.11867201999999999,0.0,1e-06,0.004126,0.09549,0.0,-2810.580027,-2796.29968,62,0.13868435,0.0954472,0.005106872879948222
