idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp009,Sp003,1,1,0.0150675,0.00123874,0.0,0.0,0.0,0.0,0.016331,0.001244,0.0,0.0,-1381.406787,-1377.79463,10,0.048903010000000004,0.0150675,0.002621694787705623
1,Sp006,Sp003,1,1,0.0012297,0.00123874,0.0,0.0,0.0,0.0,0.002474,0.001229,0.0,0.0,-1381.406245,-1377.79463,10,0.048903010000000004,0.0150675,0.002621301405420488
2,Sp003,N7,1,3,0.00123874,0.00123349,0.0,0.00875162,0.0,0.009985629999999999,0.001239,0.001233,0.0,0.008752,-1377.797483,-1377.79463,10,0.048903010000000004,0.0150675,2.0707004787492444e-06
3,N11,N7,2,3,0.00123886,0.00123349,0.0150675,0.00875162,0.016297199999999998,0.009985629999999999,0.001239,0.001234,0.015067,0.008752,-1377.797513,-1377.79463,10,0.048903010000000004,0.0150675,2.0924744059159205e-06
4,Sp008,Sp005,1,1,0.00875162,7e-08,0.0,0.0,0.0,0.0,0.008744,1e-06,0.0,0.0,-1377.398244,-1377.79463,10,0.048903010000000004,0.0150675,-0.00028769599718945083
5,Sp004,Sp005,1,1,6e-08,7e-08,0.0,0.0,0.0,0.0,0.001235,1e-06,0.0,0.0,-1382.784,-1377.79463,10,0.048903010000000004,0.0150675,0.003621272642062778
6,N12,N6,2,3,0.00123388,0.00010088,0.00875162,0.0150675,0.00875168,0.018774799999999998,0.001232,0.000797,0.007497,0.015067,-1380.067775,-1377.79463,10,0.048903010000000004,0.0150675,0.0016498431264751596
7,Sp005,N6,1,3,7e-08,0.00010088,0.0,0.0150675,0.0,0.018774799999999998,1e-06,0.001792,0.0,0.015035,-1384.213627,-1377.79463,10,0.048903010000000004,0.0150675,0.004658892450466286
8,N6,N5,3,2,0.00010088,2.78e-06,0.0150675,0.0027075,0.018774799999999998,0.0051896600000000005,0.001198,1e-06,0.015068,0.002716,-1377.807612,-1377.79463,10,0.048903010000000004,0.0150675,9.422304106356844e-06
9,N7,N5,3,2,0.00123349,2.78e-06,0.00875162,0.0027075,0.009985629999999999,0.0051896600000000005,0.001234,1e-06,0.008752,0.002716,-1377.807613,-1377.79463,10,0.048903010000000004,0.0150675,9.423029903846553e-06
12,N4,Sp001,6,1,0.00109728,8e-08,0.0150675,0.0,0.030094799999999998,0.0,0.013826,1e-06,0.015123,0.0,-1431.687892,-1377.79463,10,0.048903010000000004,0.0150675,0.03911559881751014
13,N5,Sp001,2,1,2.78e-06,8e-08,0.0027075,0.0,0.0051896600000000005,0.0,0.013584,1e-06,0.0021,0.0,-1431.687892,-1377.79463,10,0.048903010000000004,0.0150675,0.03911559881751014
