idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp008,N21,1,5,0.0129698,6.1e-07,0.0,0.0626571,0.0,0.14401676,0.029374,1e-06,0.0,0.063407,-1229.759262,-1221.25788,20,0.92512231,0.0972876,0.006961168594466018
1,Sp007,N21,1,5,0.012591,6.1e-07,0.0,0.0626571,0.0,0.14401676,0.02856,1e-06,0.0,0.063406,-1229.759284,-1221.25788,20,0.92512231,0.0972876,0.006961186608679318
2,Sp018,N27,1,3,0.0626571,0.0150103,0.0,0.00486652,0.0,0.00486676,0.093034,0.017295,0.0,0.004881,-1230.814767,-1221.25788,20,0.92512231,0.0972876,0.007825445515242193
3,Sp016,N27,1,3,0.0290241,0.0150103,0.0,0.00486652,0.0,0.00486676,0.060217,0.017337,0.0,0.004878,-1230.815447,-1221.25788,20,0.92512231,0.0972876,0.007826002318200038
6,Sp006,N26,1,2,0.00486652,0.0324585,0.0,0.0626571,0.0,0.09168119999999999,0.004876,0.05033,0.0,0.062882,-1233.781755,-1221.25788,20,0.92512231,0.0972876,0.01025489800729072
7,N33,N26,2,2,2.2e-07,0.0324585,1e-08,0.0626571,2e-08,0.09168119999999999,1e-06,0.050339,1e-06,0.062894,-1233.781746,-1221.25788,20,0.92512231,0.0972876,0.010254890637839919
9,N27,N20,3,2,0.0150103,0.0178048,0.00486652,0.0129698,0.00486676,0.0255608,0.014645,0.014895,0.004854,0.014192,-1220.525849,-1221.25788,20,0.92512231,0.0972876,-0.0005994073913363646
10,N20,N17,2,4,0.0178048,0.00433867,0.0129698,0.0610479,0.0255608,0.19147218,0.018427,0.014371,0.012926,0.061397,-1228.719532,-1221.25788,20,0.92512231,0.0972876,0.0061098086834863955
11,N21,N17,5,4,6.1e-07,0.00433867,0.0626571,0.0610479,0.14401676,0.19147218,1e-06,0.014368,0.062976,0.061381,-1228.719462,-1221.25788,20,0.92512231,0.0972876,0.0061097513655348
14,Sp011,Sp014,1,1,0.0610479,0.0512279,0.0,0.0,0.0,0.0,0.07988,0.054451,0.0,0.0,-1231.401715,-1221.25788,20,0.92512231,0.0972876,0.008306054901361277
