idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
2,Sp025,N82,1,2,0.00122963,1.9e-07,0.0,0.00618067,0.0,0.00855566,0.003697,1e-06,0.0,0.006184,-2676.973142,-2665.99867,58,0.2601768399999999,0.0267153,0.004116458167625372
3,Sp010,N82,1,2,0.00123609,1.9e-07,0.0,0.00618067,0.0,0.00855566,0.00372,1e-06,0.0,0.006184,-2676.973142,-2665.99867,58,0.2601768399999999,0.0267153,0.004116458167625372
8,Sp037,N56,1,5,0.00249475,6e-08,0.0,0.00618067,0.0,0.014714630000000001,0.005003,1e-06,0.0,0.006186,-2676.224148,-2665.99867,58,0.2601768399999999,0.0267153,0.0038355150417234978
9,Sp011,N56,1,5,0.00123834,6e-08,0.0,0.00618067,0.0,0.014714630000000001,0.003727,1e-06,0.0,0.006186,-2676.224148,-2665.99867,58,0.2601768399999999,0.0267153,0.0038355150417234978
18,N70,N59,2,3,8e-08,0.00371623,0.00124234,0.00250523,0.00247713,0.00621525,1e-06,0.004966,0.001243,0.002507,-2671.631896,-2665.99867,58,0.2601768399999999,0.0267153,0.0021129890511160394
19,N71,N59,3,3,3e-07,0.00371623,0.00371741,0.00250523,0.00495488,0.00621525,1e-06,0.004966,0.003719,0.002507,-2671.631891,-2665.99867,58,0.2601768399999999,0.0267153,0.0021129871756462837
22,Sp018,N58,1,5,0.00250523,0.00122545,0.0,0.00371741,0.0,0.0074323900000000005,0.00251,0.004927,0.0,0.003721,-2684.551201,-2665.99867,58,0.2601768399999999,0.0267153,0.006958942331355428
23,N73,N58,2,5,8e-08,0.00122545,0.00247438,0.00371741,0.00370994,0.0074323900000000005,1e-06,0.004927,0.002478,0.003721,-2684.551201,-2665.99867,58,0.2601768399999999,0.0267153,0.006958942331355428
30,Sp040,Sp012,1,1,0.00126048,0.00249908,0.0,0.0,0.0,0.0,0.001262,0.005017,0.0,0.0,-2676.630242,-2665.99867,58,0.2601768399999999,0.0267153,0.00398783844854665
31,N91,Sp012,2,1,7e-08,0.00249908,0.00377996,0.0,0.005035690000000001,0.0,1e-06,0.005017,0.003783,0.0,-2676.630241,-2665.99867,58,0.2601768399999999,0.0267153,0.003987838073452563
32,N74,Sp055,3,1,0.00337169,0.0125568,0.00377996,0.0,0.00629624,0.0,0.003781,0.012562,0.00378,0.0,-2666.367381,-2665.99867,58,0.2601768399999999,0.0267153,0.00013830126929511023
33,Sp012,Sp055,1,1,0.00249908,0.0125568,0.0,0.0,0.0,0.0,0.002502,0.012562,0.0,0.0,-2666.367296,-2665.99867,58,0.2601768399999999,0.0267153,0.0001382693863084145
36,Sp026,Sp008,1,1,1e-08,0.00123555,0.0,0.0,0.0,0.0,1e-06,0.003722,0.0,0.0,-2679.011327,-2665.99867,58,0.2601768399999999,0.0267153,0.004880969051646308
37,Sp007,Sp008,1,1,7e-08,0.00123555,0.0,0.0,0.0,0.0,1e-06,0.003722,0.0,0.0,-2679.011334,-2665.99867,58,0.2601768399999999,0.0267153,0.0048809716773038974
40,Sp041,N63,1,5,0.00513764,6e-08,0.0,0.00621602,0.0,0.01754461,0.006436,1e-06,0.0,0.00622,-2671.269526,-2665.99867,58,0.2601768399999999,0.0267153,0.001977066252624985
41,N77,N63,3,5,6e-08,6e-08,0.00245478,0.00621602,0.00369041,0.01754461,0.001226,1e-06,0.00246,0.00622,-2671.269519,-2665.99867,58,0.2601768399999999,0.0267153,0.0019770636269672254
44,Sp022,N94,1,2,0.00140645,1.4e-07,0.0,0.00621602,0.0,0.00870618,0.004238,1e-06,0.0,0.006224,-2676.488168,-2665.99867,58,0.2601768399999999,0.0267153,0.0039345473491927555
45,Sp021,N94,1,2,0.00123785,1.4e-07,0.0,0.00621602,0.0,0.00870618,0.003723,1e-06,0.0,0.006228,-2676.486777,-2665.99867,58,0.2601768399999999,0.0267153,0.003934025593493686
46,N94,Sp006,2,1,1.4e-07,0.00247637,0.00621602,0.0,0.00870618,0.0,0.001941,0.002477,0.006055,0.0,-2671.162993,-2665.99867,58,0.2601768399999999,0.0267153,0.0019371063677237198
47,N95,Sp006,2,1,0.00248048,0.00247637,0.00140645,0.0,0.0026443,0.0,0.003311,0.002477,0.001653,0.0,-2671.162993,-2665.99867,58,0.2601768399999999,0.0267153,0.0019371063677237198
58,N38,N28,2,29,8e-08,8e-08,0.00123314,0.0125568,0.00123315,0.09348115,1e-06,0.001187,0.001234,0.01256,-2673.644194,-2665.99867,58,0.2601768399999999,0.0267153,0.0028677898777796553
59,Sp020,N28,1,29,1e-08,8e-08,0.0,0.0125568,0.0,0.09348115,1e-06,0.001187,0.0,0.01256,-2673.643897,-2665.99867,58,0.2601768399999999,0.0267153,0.0028676784748733492
62,Sp033,Sp056,1,1,0.00499306,0.0100833,0.0,0.0,0.0,0.0,0.005363,0.010981,0.0,0.0,-2670.632766,-2665.99867,58,0.2601768399999999,0.0267153,0.001738221422293593
63,Sp032,Sp056,1,1,0.00248271,0.0100833,0.0,0.0,0.0,0.0,0.002861,0.010981,0.0,0.0,-2670.632491,-2665.99867,58,0.2601768399999999,0.0267153,0.0017381182714543133
68,N24,Sp044,32,1,2.3e-07,0.00625477,0.0125568,0.0,0.09594366,0.0,1e-06,0.004997,0.012547,0.0,-2661.491193,-2665.99867,58,0.2601768399999999,0.0267153,-0.0016907274001003564
70,N20,N19,36,12,1.9e-07,0.00246005,0.0125568,0.00917148,0.12348964999999999,0.045100440000000006,0.003335,0.00147,0.012565,0.009171,-2672.0868,-2665.99867,58,0.2601768399999999,0.0267153,0.002283620794154444
71,Sp044,N19,1,12,0.00625477,0.00246005,0.0,0.00917148,0.0,0.045100440000000006,0.008359,0.002787,0.0,0.009176,-2676.491138,-2665.99867,58,0.2601768399999999,0.0267153,0.003935661378255646
72,Sp049,N27,1,9,0.00747184,6e-08,0.0,0.00870631,0.0,0.023528800000000002,0.008705,1e-06,0.0,0.008707,-2668.96753,-2665.99867,58,0.2601768399999999,0.0267153,0.0011136014557726504
73,Sp030,N27,1,9,0.00371068,6e-08,0.0,0.00870631,0.0,0.023528800000000002,0.004934,1e-06,0.0,0.008707,-2668.967531,-2665.99867,58,0.2601768399999999,0.0267153,0.0011136018308665673
82,N52,N43,5,2,6e-08,9e-08,0.00246164,0.00870631,0.004931700000000001,0.01240134,1e-06,0.001623,0.002462,0.008737,-2673.716365,-2665.99867,58,0.2601768399999999,0.0267153,0.0028948607840079215
83,Sp016,N43,1,2,0.00123674,9e-08,0.0,0.00870631,0.0,0.01240134,0.002478,1e-06,0.0,0.008709,-2672.75454,-2665.99867,58,0.2601768399999999,0.0267153,0.0025340860353842407
92,N22,N18,11,37,3.1e-07,0.00356949,0.00870631,0.0125568,0.035928650000000006,0.12974460999999998,1e-06,0.004514,0.008706,0.012559,-2672.55055,-2665.99867,58,0.2601768399999999,0.0267153,0.0024575706183679316
93,Sp048,N18,1,37,0.00917148,0.00356949,0.0,0.0125568,0.0,0.12974460999999998,0.010503,0.003572,0.0,0.012561,-2671.734463,-2665.99867,58,0.2601768399999999,0.0267153,0.002151461313369609
96,N16,Sp057,49,1,2.2e-07,0.0267153,0.0125568,0.0,0.18087459,0.0,0.00124,0.02798,0.01256,0.0,-2671.266114,-2665.99867,58,0.2601768399999999,0.0267153,0.0019757864320315167
97,Sp045,Sp057,1,1,0.00249381,0.0267153,0.0,0.0,0.0,0.0,0.002569,0.02798,0.0,0.0,-2671.266139,-2665.99867,58,0.2601768399999999,0.0267153,0.0019757958093804644
100,N12,Sp043,51,1,8e-08,0.00717102,0.0267153,0.0,0.2124626,0.0,1e-06,0.009549,0.026791,0.0,-2676.436853,-2665.99867,58,0.2601768399999999,0.0267153,0.0039152994026063065
101,Sp046,Sp043,1,1,0.00747755,0.00717102,0.0,0.0,0.0,0.0,0.007541,0.009541,0.0,0.0,-2676.446383,-2665.99867,58,0.2601768399999999,0.0267153,0.003918874048050453
106,N6,Sp051,54,1,8e-08,0.00520274,0.0267153,0.0,0.23838427000000004,0.0,0.004031,0.005211,0.026754,0.0,-2680.496554,-2665.99867,58,0.2601768399999999,0.0267153,0.005438068729419091
107,Sp053,Sp051,1,1,0.00879813,0.00520274,0.0,0.0,0.0,0.0,0.012333,0.005211,0.0,0.0,-2680.496559,-2665.99867,58,0.2601768399999999,0.0267153,0.005438070604889017
