idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
2,Sp009,N8,1,2,0.0073841,2.6e-07,0.0,0.00333532,0.0,0.00333533,0.008066,0.002988,0.0,0.003335,-1660.760071,-1655.55583,13,0.25794568999999995,0.153232,0.003143500754063915
3,Sp005,N8,1,2,9e-08,2.6e-07,0.0,0.00333532,0.0,0.00333533,0.000199,0.002733,0.0,0.003335,-1660.772155,-1655.55583,13,0.25794568999999995,0.153232,0.003150799813256734
4,N8,N7,2,6,2.6e-07,0.00573119,0.00333532,0.0119039,0.00333533,0.03335851,1e-06,0.003921,0.003335,0.011902,-1651.036803,-1655.55583,13,0.25794568999999995,0.153232,-0.002729613171668183
8,N16,N11,2,3,3.8e-07,0.00222654,0.00791527,0.0119039,0.00791528,0.01347365,0.002978,0.004321,0.008508,0.011939,-1667.737545,-1655.55583,13,0.25794568999999995,0.153232,0.007358081666143473
9,Sp002,N11,1,3,0.00436029,0.00222654,0.0,0.0119039,0.0,0.01347365,0.006818,0.003186,0.0,0.01193,-1665.114885,-1655.55583,13,0.25794568999999995,0.153232,0.00577392488177215
10,Sp003,Sp004,1,1,1e-08,0.0119039,0.0,0.0,0.0,0.0,1e-06,0.013609,0.0,0.0,-1658.917316,-1655.55583,13,0.25794568999999995,0.153232,0.00203042744864727
11,Sp001,Sp004,1,1,1e-08,0.0119039,0.0,0.0,0.0,0.0,1e-06,0.013609,0.0,0.0,-1658.917316,-1655.55583,13,0.25794568999999995,0.153232,0.00203042744864727
12,Sp004,N10,1,3,0.0119039,0.00538237,0.0,0.00791527,0.0,0.01227595,0.012455,0.006562,0.0,0.007163,-1658.75093,-1655.55583,13,0.25794568999999995,0.153232,0.0019299258545692846
13,N19,N10,2,3,0.00156973,0.00538237,1e-08,0.00791527,2e-08,0.01227595,0.002091,0.006566,1e-06,0.007162,-1658.750848,-1655.55583,13,0.25794568999999995,0.153232,0.0019298763243761406
14,N10,N6,3,4,0.00538237,5e-07,0.00791527,0.0073841,0.01227595,0.01439435,0.005318,0.003151,0.008908,0.007592,-1655.691962,-1655.55583,13,0.25794568999999995,0.153232,8.222736891940922e-05
15,N11,N6,3,4,0.00222654,5e-07,0.0119039,0.0073841,0.01347365,0.01439435,0.003184,0.003151,0.01191,0.007593,-1655.692162,-1655.55583,13,0.25794568999999995,0.153232,8.23481742684803e-05
16,N6,Sp012,4,1,5e-07,0.016274,0.0073841,0.0,0.01439435,0.0,1e-06,0.023664,0.007396,0.0,-1661.739734,-1655.55583,13,0.25794568999999995,0.153232,0.00373524340764756
17,N7,Sp012,6,1,0.00573119,0.016274,0.0119039,0.0,0.03335851,0.0,0.001978,0.023686,0.011932,0.0,-1653.727008,-1655.55583,13,0.25794568999999995,0.153232,-0.0011046574007715255
18,N4,Sp006,10,1,0.00731046,0.0182243,0.0119039,0.0,0.05348455,0.0,0.00146,0.022738,0.011907,0.0,-1652.799289,-1655.55583,13,0.25794568999999995,0.153232,-0.0016650244890865265
19,Sp012,Sp006,1,1,0.016274,0.0182243,0.0,0.0,0.0,0.0,0.02038,0.023574,0.0,0.0,-1656.667423,-1655.55583,13,0.25794568999999995,0.153232,0.0006714319021183867
