idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp003,Sp006,1,1,0.00123995,1e-08,0.0,0.0,0.0,0.0,0.003732,1e-06,0.0,0.0,-1743.812001,-1732.49808,18,0.08129493000000002,0.0166415,0.0065304089687648805
1,Sp002,Sp006,1,1,0.00122417,1e-08,0.0,0.0,0.0,0.0,0.003684,1e-06,0.0,0.0,-1743.812001,-1732.49808,18,0.08129493000000002,0.0166415,0.0065304089687648805
8,Sp008,N26,1,3,8e-08,8e-08,0.0,7e-08,0.0,1.5e-07,0.002447,1e-06,0.0,1e-06,-1743.79598,-1732.49808,18,0.08129493000000002,0.0166415,0.006521161628069467
9,Sp000,N26,1,3,0.00788658,8e-08,0.0,7e-08,0.0,1.5e-07,0.010568,1e-06,0.0,1e-06,-1743.79598,-1732.49808,18,0.08129493000000002,0.0166415,0.006521161628069467
12,N24,Sp004,5,1,7e-08,8e-08,0.00788658,0.0,0.01033092,0.0,1e-06,0.001239,0.007889,0.0,-1739.052072,-1732.49808,18,0.08129493000000002,0.0166415,0.003782972157752625
13,Sp009,Sp004,1,1,0.00252281,8e-08,0.0,0.0,0.0,0.0,0.003792,1e-06,0.0,0.0,-1739.158295,-1732.49808,18,0.08129493000000002,0.0166415,0.0038442842026121496
14,N20,N17,6,2,0.00122116,7e-08,0.00788658,7e-08,0.0128538,8e-08,0.002447,1e-06,0.00789,1e-06,-1739.057442,-1732.49808,18,0.08129493000000002,0.0166415,0.0037860717282872628
15,Sp004,N17,1,2,8e-08,7e-08,0.0,7e-08,0.0,8e-08,0.001239,1e-06,0.0,1e-06,-1739.057442,-1732.49808,18,0.08129493000000002,0.0166415,0.0037860717282872628
24,N8,Sp017,12,1,7e-08,0.00504218,0.00788658,0.0,0.02021134,0.0,1e-06,0.007702,0.007893,0.0,-1741.079124,-1732.49808,18,0.08129493000000002,0.0166415,0.004952989038810375
25,N9,Sp017,2,1,1e-07,0.00504218,0.0112064,0.0,0.01243966,0.0,1e-06,0.007702,0.011219,0.0,-1741.079124,-1732.49808,18,0.08129493000000002,0.0166415,0.004952989038810375
26,N6,Sp016,14,1,0.00257684,0.0166415,0.0112064,0.0,0.03265117,0.0,0.002731,0.017812,0.011211,0.0,-1735.938002,-1732.49808,18,0.08129493000000002,0.0166415,0.0019855271643360343
27,Sp017,Sp016,1,1,0.00504218,0.0166415,0.0,0.0,0.0,0.0,0.005295,0.018889,0.0,0.0,-1737.864923,-1732.49808,18,0.08129493000000002,0.0166415,0.0030977483103473437
28,N4,Sp015,15,1,0.00247884,0.0104904,0.0112064,0.0,0.04027019,0.0,0.003134,0.01378,0.011222,0.0,-1740.763484,-1732.49808,18,0.08129493000000002,0.0166415,0.004770801246717682
29,Sp016,Sp015,1,1,0.0166415,0.0104904,0.0,0.0,0.0,0.0,0.017377,0.01378,0.0,0.0,-1740.763518,-1732.49808,18,0.08129493000000002,0.0166415,0.004770820871559005
