idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
3,N67,Sp027,2,1,1.02e-05,1e-08,0.00394116,0.0,0.00401417,0.0,2.3e-05,1e-06,0.003941,0.0,-3300.854106,-3300.82237,61,0.16194778,0.0358788,9.614573716037266e-06
14,N38,N37,8,34,2.4e-07,0.0012362,0.00394116,0.0358788,0.006086210000000001,0.11781279000000001,0.00146,0.001229,0.003941,0.035899,-3300.851926,-3300.82237,61,0.16194778,0.0358788,8.95413223946275e-06
15,Sp022,N37,1,34,1e-08,0.0012362,0.0,0.0358788,0.0,0.11781279000000001,1e-06,0.00123,0.0,0.035899,-3300.852555,-3300.82237,61,0.16194778,0.0358788,9.144690812330526e-06
16,Sp060,N79,1,3,0.0358788,0.00114183,0.0,0.006908,0.0,0.00919413,0.039344,0.001143,0.0,0.006913,-3305.635066,-3300.82237,61,0.16194778,0.0358788,0.0014580293819324668
17,Sp055,N79,1,3,1e-07,0.00114183,0.0,0.006908,0.0,0.00919413,0.00228,0.001143,0.0,0.006912,-3305.634669,-3300.82237,61,0.16194778,0.0358788,0.0014579091088746368
20,Sp039,N78,1,2,0.00114322,0.00402671,0.0,0.0358788,0.0,0.035878900000000005,0.001145,0.005791,0.0,0.033864,-3306.820466,-3300.82237,61,0.16194778,0.0358788,0.0018171520086978385
21,N89,N78,2,2,6e-08,0.00402671,0.006908,0.0358788,0.00805085,0.035878900000000005,1e-06,0.005797,0.006908,0.033858,-3306.82056,-3300.82237,61,0.16194778,0.0358788,0.0018171804864495784
25,Sp047,Sp052,1,1,0.00456097,1e-08,0.0,0.0,0.0,0.0,0.003411,1e-06,0.0,0.0,-3294.81218,-3300.82237,61,0.16194778,0.0358788,-0.0018208159441187883
26,Sp052,N81,1,10,1e-08,1.1e-07,0.0,0.00224293,0.0,0.00942121,0.00108,1e-06,0.0,0.002243,-3302.309554,-3300.82237,61,0.16194778,0.0358788,0.00045054953987120195
27,N91,N81,2,10,2.1e-07,1.1e-07,0.00456097,0.00224293,0.00456118,0.00942121,0.00102,1e-06,0.002393,0.002243,-3302.330765,-3300.82237,61,0.16194778,0.0358788,0.0004569755142565553
28,Sp051,N101,1,7,1e-08,6e-08,0.0,0.00224293,0.0,0.00673078,1e-06,0.001122,0.0,0.002245,-3307.438159,-3300.82237,61,0.16194778,0.0358788,0.0020042850715411113
29,Sp050,N101,1,7,1e-08,6e-08,0.0,0.00224293,0.0,0.00673078,1e-06,0.001122,0.0,0.002245,-3307.438159,-3300.82237,61,0.16194778,0.0358788,0.0020042850715411113
32,Sp046,Sp040,1,1,0.00112022,1e-08,0.0,0.0,0.0,0.0,0.002245,1e-06,0.0,0.0,-3308.447078,-3300.82237,61,0.16194778,0.0358788,0.0023099419312285754
33,N117,Sp040,2,1,1.2e-07,1e-08,0.00224293,0.0,0.002243,0.0,1e-06,0.001128,0.002243,0.0,-3308.732603,-3300.82237,61,0.16194778,0.0358788,0.0023964431021473182
42,N100,Sp048,2,1,0.00108092,8e-08,1e-08,0.0,2e-08,0.0,0.002166,1e-06,1e-06,0.0,-3307.873832,-3300.82237,61,0.16194778,0.0358788,0.002136274300637497
43,N101,Sp048,7,1,6e-08,8e-08,0.00224293,0.0,0.00673078,0.0,0.001122,1e-06,0.002244,0.0,-3307.873275,-3300.82237,61,0.16194778,0.0358788,0.0021361055548105904
46,N80,N74,3,5,0.00162185,2.7e-07,0.00456097,0.0358788,0.004561399999999999,0.05024157000000001,0.001621,0.001915,0.004558,0.033868,-3306.69216,-3300.82237,61,0.16194778,0.0358788,0.001778281089388095
47,N81,N74,10,5,1.1e-07,2.7e-07,0.00224293,0.0358788,0.00942121,0.05024157000000001,1e-06,0.001915,0.002242,0.033869,-3306.692961,-3300.82237,61,0.16194778,0.0358788,0.0017785237561875624
48,N74,N69,5,7,2.7e-07,0.00986128,0.0358788,0.0049016,0.05024157000000001,0.01585508,1e-06,0.012859,0.039293,0.004593,-3302.766401,-3300.82237,61,0.16194778,0.0358788,0.000588953534024915
49,N75,N69,13,7,0.00108212,0.00986128,0.00456097,0.0049016,0.015604569999999998,0.01585508,0.001083,0.01286,0.004564,0.004593,-3302.766977,-3300.82237,61,0.16194778,0.0358788,0.0005891280359931517
50,Sp058,N95,1,2,0.00408348,2.1e-07,0.0,0.00458863,0.0,0.00458885,0.004085,1e-06,0.0,0.00459,-3300.844525,-3300.82237,61,0.16194778,0.0358788,6.711963721971387e-06
