idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
4,N10,N7,3,4,9e-08,0.00293248,9e-08,0.00073535,2e-07,0.00073575,1e-06,0.004408,1e-06,0.000736,-2590.297534,-2581.33447,12,0.08467693999999996,0.0482109,0.003472259834658324
5,Sp008,N7,1,4,0.00219917,0.00293248,0.0,0.00073535,0.0,0.00073575,0.002201,0.004408,0.0,0.000736,-2590.297361,-2581.33447,12,0.08467693999999996,0.0482109,0.0034721928150597734
6,Sp004,Sp003,1,1,9e-08,9e-08,0.0,0.0,0.0,0.0,1e-06,0.000735,0.0,0.0,-2581.731251,-2581.33447,12,0.08467693999999996,0.0482109,0.00015371158004192064
7,Sp002,Sp003,1,1,1e-08,9e-08,0.0,0.0,0.0,0.0,1e-06,0.000735,0.0,0.0,-2581.731251,-2581.33447,12,0.08467693999999996,0.0482109,0.00015371158004192064
10,N12,N6,3,4,2e-07,0.00220167,0.00073535,0.00219917,0.0007355399999999999,0.00219946,0.002203,0.002939,0.000735,0.0022,-2588.302201,-2581.33447,12,0.08467693999999996,0.0482109,0.0026992747669774796
11,Sp000,N6,1,4,1e-08,0.00220167,0.0,0.00219917,0.0,0.00219946,1e-06,0.00294,0.0,0.0022,-2588.302379,-2581.33447,12,0.08467693999999996,0.0482109,0.0026993437235587757
12,N6,N5,4,2,0.00220167,0.00250922,0.00219917,1.2e-07,0.00219946,1.3e-07,0.00232,0.003553,0.0022,1e-06,-2584.540144,-2581.33447,12,0.08467693999999996,0.0482109,0.0012418669634858563
13,N7,N5,4,2,0.00293248,0.00250922,0.00073535,1.2e-07,0.00073575,1.3e-07,0.003047,0.003553,0.000736,1e-06,-2584.53917,-2581.33447,12,0.08467693999999996,0.0482109,0.001241489639271826
14,Sp007,N4,1,8,1.2e-07,0.00115803,0.0,0.00293248,0.0,0.00806936,0.00146,0.002326,0.0,0.002935,-2586.659119,-2581.33447,12,0.08467693999999996,0.0482109,0.0020627505121411627
15,Sp001,N4,1,8,1e-08,0.00115803,0.0,0.00293248,0.0,0.00806936,1e-06,0.002216,0.0,0.002935,-2586.64194,-2581.33447,12,0.08467693999999996,0.0482109,0.0020560954272617737
16,N4,Sp011,8,1,0.00115803,0.0482109,0.00293248,0.0,0.00806936,0.0,0.001086,0.061482,0.002945,0.0,-2614.881313,-2581.33447,12,0.08467693999999996,0.0482109,0.012995930356905699
17,N5,Sp011,2,1,0.00250922,0.0482109,1.2e-07,0.0,1.3e-07,0.0,0.002242,0.061117,1e-06,0.0,-2613.264427,-2581.33447,12,0.08467693999999996,0.0482109,0.01236955434140245
