idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
3,Sp017,N21,1,5,0.0187542,8e-08,0.0,0.0301361,0.0,0.06803705,0.017687,1e-06,0.0,0.030124,-4743.936406,-4744.3016,29,1.17955445,0.266976,-7.69752917900443e-05
4,Sp027,N31,1,3,0.00507871,0.00643369,0.0,0.0301361,0.0,0.044993649999999996,0.008493,0.006448,0.0,0.030193,-4751.008745,-4744.3016,29,1.17955445,0.266976,0.0014137265219395644
5,Sp013,N31,1,3,0.00829258,0.00643369,0.0,0.0301361,0.0,0.044993649999999996,0.011643,0.006448,0.0,0.030193,-4751.008746,-4744.3016,29,1.17955445,0.266976,0.0014137267327188154
7,Sp004,Sp026,1,1,0.0301361,0.00804797,0.0,0.0,0.0,0.0,0.028843,0.00606,0.0,0.0,-4742.117251,-4744.3016,29,1.17955445,0.266976,-0.00046041529062994463
8,Sp026,N30,1,2,0.00804797,0.00323842,0.0,0.00829258,0.0,0.013371290000000001,0.012811,0.004446,0.0,0.008307,-4751.275703,-4744.3016,29,1.17955445,0.266976,0.0014699957102222315
9,N45,N30,2,2,9.4e-07,0.00323842,0.0301361,0.00829258,0.03694474,0.013371290000000001,1e-06,0.004446,0.032377,0.008307,-4751.27573,-4744.3016,29,1.17955445,0.266976,0.0014700014012600958
11,N31,N20,3,3,0.00643369,2.9e-07,0.0301361,0.266976,0.044993649999999996,0.28753977,0.004649,1e-06,0.030002,0.266782,-4740.810787,-4744.3016,29,1.17955445,0.266976,-0.0007357907009957872
12,N20,N15,3,4,2.9e-07,0.0121905,0.266976,0.160487,0.28753977,0.25947054999999997,0.001674,0.014695,0.267252,0.160787,-4749.588955,-4744.3016,29,1.17955445,0.266976,0.0011144643502429081
13,N21,N15,5,4,8e-08,0.0121905,0.0301361,0.160487,0.06803705,0.25947054999999997,1e-06,0.014705,0.030022,0.160743,-4749.59145,-4744.3016,29,1.17955445,0.266976,0.0011149902442964663
14,Sp023,N23,1,2,0.0210943,0.0252818,0.0,0.160487,0.0,0.20206059999999998,0.021409,0.032768,0.0,0.166158,-4748.856504,-4744.3016,29,1.17955445,0.266976,0.0009600789292148993
