idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
12,N16,Sp014,7,1,1e-08,2.5e-07,1e-08,0.0,1.2e-07,0.0,1e-06,0.002092,1e-06,0.0,-2739.100549,-2736.16257,18,0.6798556500000006,0.143474,0.0010737589323867602
13,Sp015,Sp014,1,1,1e-08,2.5e-07,0.0,0.0,0.0,0.0,1e-06,0.002092,0.0,0.0,-2739.100549,-2736.16257,18,0.6798556500000006,0.143474,0.0010737589323867602
14,N12,N9,8,4,0.00208877,3.7e-07,1e-08,0.100509,1.4e-07,0.25396306,1e-06,0.048052,1e-06,0.108576,-2755.949456,-2736.16257,18,0.6798556500000006,0.143474,0.007231619282036984
15,Sp014,N9,1,4,2.5e-07,3.7e-07,0.0,0.100509,0.0,0.25396306,1e-06,0.048066,0.0,0.108655,-2758.134653,-2736.16257,18,0.6798556500000006,0.143474,0.008030254942051967
16,Sp007,Sp016,1,1,1e-08,0.0655564,0.0,0.0,0.0,0.0,1e-06,0.117954,0.0,0.0,-2767.154553,-2736.16257,18,0.6798556500000006,0.143474,0.011326806140762277
17,Sp005,Sp016,1,1,0.00206575,0.0655564,0.0,0.0,0.0,0.0,0.002068,0.117958,0.0,0.0,-2767.155361,-2736.16257,18,0.6798556500000006,0.143474,0.011327101444853157
18,Sp016,Sp004,1,1,0.0655564,0.100509,0.0,0.0,0.0,0.0,0.080979,0.079944,0.0,0.0,-2739.005598,-2736.16257,18,0.6798556500000006,0.143474,0.0010390566814895911
19,N19,Sp004,2,1,0.0595859,0.100509,0.00206575,0.0,0.00206576,0.0,0.080606,0.101013,0.002069,0.0,-2748.290981,-2736.16257,18,0.6798556500000006,0.143474,0.004432635375170761
21,Sp004,N8,1,9,0.100509,0.0601522,0.0,0.00208877,0.0,0.00208916,0.097597,0.0549,0.0,0.002088,-2735.150087,-2736.16257,18,0.6798556500000006,0.143474,-0.00037003758881182805
22,N8,N7,9,2,0.0601522,0.00412913,0.00208877,0.143474,0.00208916,0.2179234,0.067196,0.0066,0.002112,0.138768,-2732.565351,-2736.16257,18,0.6798556500000006,0.143474,-0.0013146949086434467
23,N9,N7,4,2,3.7e-07,0.00412913,0.100509,0.143474,0.25396306,0.2179234,0.011749,0.010431,0.117978,0.139869,-2752.890886,-2736.16257,18,0.6798556500000006,0.143474,0.006113787310525258
24,Sp011,N6,1,13,0.0744494,0.0505823,0.0,0.100509,0.0,0.31620479,0.07348,0.038657,0.0,0.100316,-2731.024776,-2736.16257,18,0.6798556500000006,0.143474,-0.0018777371112125689
25,Sp000,N6,1,13,0.143474,0.0505823,0.0,0.100509,0.0,0.31620479,0.145877,0.051461,0.0,0.100345,-2736.462228,-2736.16257,18,0.6798556500000006,0.143474,0.00010951761539516583
26,N6,Sp017,13,1,0.0505823,0.0270942,0.100509,0.0,0.31620479,0.0,0.072379,0.027335,0.099591,0.0,-2754.459419,-2736.16257,18,0.6798556500000006,0.143474,0.006687047473206184
27,N7,Sp017,2,1,0.00412913,0.0270942,0.143474,0.0,0.2179234,0.0,0.041152,0.027314,0.153295,0.0,-2754.459368,-2736.16257,18,0.6798556500000006,0.143474,0.006687028833962835
28,N4,Sp012,15,1,0.04381,0.00318761,0.143474,0.0,0.58883962,0.0,0.057165,0.003262,0.141604,0.0,-2746.341363,-2736.16257,18,0.6798556500000006,0.143474,0.0037200980349643632
29,Sp017,Sp012,1,1,0.0270942,0.00318761,0.0,0.0,0.0,0.0,0.040413,0.003263,0.0,0.0,-2746.341069,-2736.16257,18,0.6798556500000006,0.143474,0.0037199905852085763
