idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
6,N58,N51,4,2,7e-08,8e-08,0.00647809,9e-08,0.00647835,1e-07,0.001604,1e-06,0.006482,1e-06,-1350.374426,-1344.11497,45,0.14647194,0.0223988,0.004656934964424955
7,Sp004,N51,1,2,0.00214747,8e-08,0.0,9e-08,0.0,1e-07,0.004309,1e-06,0.0,1e-06,-1350.374269,-1344.11497,45,0.14647194,0.0223988,0.0046568181589405466
16,Sp009,Sp002,1,1,0.00216086,2.3e-07,0.0,0.0,0.0,0.0,0.004331,1e-06,0.0,0.0,-1349.311206,-1344.11497,45,0.14647194,0.0223988,0.0038659163211313676
17,Sp008,Sp002,1,1,0.00214899,2.3e-07,0.0,0.0,0.0,0.0,0.004311,1e-06,0.0,0.0,-1349.311206,-1344.11497,45,0.14647194,0.0223988,0.0038659163211313676
20,N30,N22,3,9,2.6e-07,1.3e-07,0.00216086,0.00647809,0.006460340000000001,0.012376369999999998,1e-06,0.002147,0.002162,0.006482,-1349.49062,-1344.11497,45,0.14647194,0.0223988,0.003999397462257228
21,Sp006,N22,1,9,0.00214579,1.3e-07,0.0,0.00647809,0.0,0.012376369999999998,0.002147,0.002147,0.0,0.006482,-1349.490618,-1344.11497,45,0.14647194,0.0223988,0.003999395974289279
22,N22,N19,9,17,1.3e-07,0.00213668,0.00647809,0.0223988,0.012376369999999998,0.07609865,1e-06,0.006464,0.006486,0.022502,-1357.460536,-1344.11497,45,0.14647194,0.0223988,0.009928887258803436
23,N23,N19,4,17,0.002145,0.00213668,0.00216086,0.0223988,0.008606390000000002,0.07609865,0.002148,0.006464,0.002163,0.022502,-1357.460536,-1344.11497,45,0.14647194,0.0223988,0.009928887258803436
32,Sp041,N55,1,6,1e-08,2.4e-07,0.0,0.00428766,0.0,0.01712655,1e-06,0.008667,0.0,0.004305,-1367.764172,-1344.11497,45,0.14647194,0.0223988,0.017594627340546495
33,N63,N55,5,6,2.8e-07,2.4e-07,0.00215327,0.00428766,0.00215402,0.01712655,1e-06,0.008667,0.002158,0.004305,-1367.764172,-1344.11497,45,0.14647194,0.0223988,0.017594627340546495
40,N70,Sp016,4,1,2.8e-07,0.00428149,0.00428766,0.0,0.01070806,0.0,1e-06,0.006452,0.004293,0.0,-1350.030917,-1344.11497,45,0.14647194,0.0223988,0.004401369772706244
41,Sp013,Sp016,1,1,1e-08,0.00428149,0.0,0.0,0.0,0.0,1e-06,0.006452,0.0,0.0,-1350.030917,-1344.11497,45,0.14647194,0.0223988,0.004401369772706244
44,N54,Sp017,6,1,0.00867286,0.00214042,0.00215327,0.0,0.00215431,0.0,0.008685,0.004285,0.002155,0.0,-1348.760185,-1344.11497,45,0.14647194,0.0223988,0.003455965526520404
45,N55,Sp017,6,1,2.4e-07,0.00214042,0.00428766,0.0,0.01712655,0.0,1e-06,0.004285,0.004292,0.0,-1348.752947,-1344.11497,45,0.14647194,0.0223988,0.003450580570499757
46,N44,Sp042,12,1,0.00213944,0.0223988,0.00867286,0.0,0.02795396,0.0,0.002603,0.024438,0.008679,0.0,-1348.497833,-1344.11497,45,0.14647194,0.0223988,0.0032607798423670673
47,Sp017,Sp042,1,1,0.00214042,0.0223988,0.0,0.0,0.0,0.0,0.002602,0.024438,0.0,0.0,-1348.49783,-1344.11497,45,0.14647194,0.0223988,0.0032607776104152286
50,Sp031,Sp032,1,1,0.00213482,0.00212613,0.0,0.0,0.0,0.0,0.002322,0.006248,0.0,0.0,-1352.157272,-1344.11497,45,0.14647194,0.0223988,0.005983343820655338
51,Sp030,Sp032,1,1,0.00213368,0.00212613,0.0,0.0,0.0,0.0,0.002323,0.006248,0.0,0.0,-1352.157271,-1344.11497,45,0.14647194,0.0223988,0.005983343076671448
52,Sp032,N24,1,14,0.00212613,2.8e-07,0.0,0.0223988,0.0,0.056772039999999996,0.007699,0.002744,0.0,0.022524,-1361.67982,-1344.11497,45,0.14647194,0.0223988,0.013067966946309644
53,N35,N24,2,14,0.0042986,2.8e-07,0.00213482,0.0223988,0.0042685,0.056772039999999996,0.009936,0.002702,0.00214,0.022524,-1361.678696,-1344.11497,45,0.14647194,0.0223988,0.013067130708320182
54,N24,N18,14,13,2.8e-07,0.00647194,0.0223988,0.00647809,0.056772039999999996,0.02312789,1e-06,0.006469,0.022409,0.006479,-1345.745556,-1344.11497,45,0.14647194,0.0223988,0.0012131298559973584
55,N25,N18,3,13,0.0086331,0.00647194,0.0042986,0.00647809,0.01069323,0.02312789,0.008647,0.008635,0.004301,0.006482,-1349.279861,-1344.11497,45,0.14647194,0.0223988,0.003842596143393818
58,Sp034,N27,1,4,1e-08,0.00428012,0.0,1e-08,0.0,6e-08,1e-06,0.006439,0.0,1e-06,-1349.629208,-1344.11497,45,0.14647194,0.0223988,0.004102504713566264
59,Sp033,N27,1,4,0.00214035,0.00428012,0.0,1e-08,0.0,6e-08,0.002142,0.006439,0.0,1e-06,-1349.629209,-1344.11497,45,0.14647194,0.0223988,0.004102505457550153
64,Sp028,N26,1,2,1e-08,0.00214137,0.0,0.00214035,0.0,0.00214036,1e-06,0.006468,0.0,0.002143,-1356.279002,-1344.11497,45,0.14647194,0.0223988,0.009049844895336525
65,N39,N26,3,2,1e-08,0.00214137,1e-08,0.00214035,4e-08,0.00214036,1e-06,0.006468,1e-06,0.002143,-1356.279002,-1344.11497,45,0.14647194,0.0223988,0.009049844895336525
68,Sp035,N14,1,30,0.00214202,1.4e-07,0.0,0.0223988,0.0,0.10783516,0.0043,1e-06,0.0,0.022433,-1350.777031,-1344.11497,45,0.14647194,0.0223988,0.0049564666332077185
69,N21,N14,6,30,1.4e-07,1.4e-07,0.00428012,0.0223988,0.00856191,0.10783516,1e-06,0.002143,0.004285,0.022442,-1351.512643,-1344.11497,45,0.14647194,0.0223988,0.005503750173989908
