idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp008,N11,1,3,0.011926,0.00094189,0.0,0.0126033,0.0,0.02836287,0.012061,0.001354,0.0,0.012606,-3154.45563,-3154.08927,13,0.15175959000000003,0.0311897,0.00011615397302942729
1,Sp007,N11,1,3,0.0111052,0.00094189,0.0,0.0126033,0.0,0.02836287,0.011233,0.001349,0.0,0.012606,-3154.446013,-3154.08927,13,0.15175959000000003,0.0311897,0.00011310491538506097
4,N16,N10,2,2,1.2e-07,0.00054173,0.00871651,0.011926,0.01575945,0.0230312,0.00041,0.001072,0.008755,0.011938,-3158.785984,-3154.08927,13,0.15175959000000003,0.0311897,0.0014890872128042706
5,Sp006,N10,1,2,0.0126033,0.00054173,0.0,0.011926,0.0,0.0230312,0.013137,0.000958,0.0,0.011935,-3158.786635,-3154.08927,13,0.15175959000000003,0.0311897,0.001489293611527993
6,N10,N9,2,4,0.00054173,0.00153001,0.011926,0.0311897,0.0230312,0.047077890000000004,0.000528,0.001528,0.011934,0.030336,-3154.564309,-3154.08927,13,0.15175959000000003,0.0311897,0.0001506105120480386
7,N11,N9,3,4,0.00094189,0.00153001,0.0126033,0.0311897,0.02836287,0.047077890000000004,0.000964,0.001528,0.012604,0.030335,-3154.564223,-3154.08927,13,0.15175959000000003,0.0311897,0.00015058324585718339
10,Sp009,N12,1,2,0.0013601,1.8e-07,0.0,0.0311897,0.0,0.03282898,0.006328,1e-06,0.0,0.031493,-3171.017007,-3154.08927,13,0.15175959000000003,0.0311897,0.005366917531791983
11,Sp000,N12,1,2,0.00815969,1.8e-07,0.0,0.0311897,0.0,0.03282898,0.012513,1e-06,0.0,0.0315,-3171.016879,-3154.08927,13,0.15175959000000003,0.0311897,0.005366876949554395
12,N12,N8,2,5,1.8e-07,0.00070047,0.0311897,0.0126033,0.03282898,0.05287769,1e-06,0.00075,0.032843,0.012612,-3156.643318,-3154.08927,13,0.15175959000000003,0.0311897,0.0008097576768966866
13,N13,N8,2,5,0.00472894,0.00070047,0.00815969,0.0126033,0.00951979,0.05287769,0.005917,1e-06,0.008399,0.012606,-3153.144845,-3154.08927,13,0.15175959000000003,0.0311897,-0.00029942874762074745
16,N6,Sp002,9,1,1.9e-07,0.00320303,0.0311897,0.0,0.10218606,0.0,0.003291,0.005738,0.030369,0.0,-3168.893315,-3154.08927,13,0.15175959000000003,0.0311897,0.004693603678503323
17,Sp011,Sp002,1,1,0.00893979,0.00320303,0.0,0.0,0.0,0.0,0.008837,0.005777,0.0,0.0,-3168.920221,-3154.08927,13,0.15175959000000003,0.0311897,0.00470213419165524
