idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
20,N118,Sp050,2,1,1.2e-07,1e-08,0.00183808,0.0,0.00183832,0.0,1e-06,0.001843,0.00184,0.0,-1412.731063,-1405.6086,65,0.15857312999999976,0.0158088,0.005067173749506032
21,Sp053,Sp050,1,1,0.00187255,1e-08,0.0,0.0,0.0,0.0,0.003763,1e-06,0.0,0.0,-1412.315195,-1405.6086,65,0.15857312999999976,0.0158088,0.004771310448726537
36,N84,Sp037,19,1,2.7e-07,0.00188029,0.00376112,0.0,0.01302705,0.0,1e-06,0.00377,0.003762,0.0,-1411.642173,-1405.6086,65,0.15857312999999976,0.0158088,0.0042924986372450576
37,Sp056,Sp037,1,1,1e-08,0.00188029,0.0,0.0,0.0,0.0,1e-06,0.00377,0.0,0.0,-1411.642173,-1405.6086,65,0.15857312999999976,0.0158088,0.0042924986372450576
50,Sp061,N28,1,25,1e-08,2.2e-07,0.0,0.00376112,0.0,0.020543350000000002,1e-06,0.001917,0.0,0.003764,-1410.82837,-1405.6086,65,0.15857312999999976,0.0158088,0.0037135302103301912
51,N41,N28,2,25,3e-07,2.2e-07,0.00191657,0.00376112,0.00191658,0.020543350000000002,1e-06,0.001917,0.001917,0.003764,-1410.82837,-1405.6086,65,0.15857312999999976,0.0158088,0.0037135302103301912
52,N28,N23,25,8,2.2e-07,1.4e-07,0.00376112,0.0158088,0.020543350000000002,0.03216120000000001,1e-06,0.005189,0.003764,0.015823,-1420.043269,-1405.6086,65,0.15857312999999976,0.0158088,0.010269337424372606
53,N29,N23,3,8,0.00191864,1.4e-07,0.00191657,0.0158088,0.0019168899999999999,0.03216120000000001,0.005804,1e-06,0.001918,0.015822,-1419.151171,-1405.6086,65,0.15857312999999976,0.0158088,0.009634667147027952
54,Sp064,Sp020,1,1,1e-08,0.00257658,0.0,0.0,0.0,0.0,0.002149,0.002579,0.0,0.0,-1413.000536,-1405.6086,65,0.15857312999999976,0.0158088,0.0052588864353846345
55,Sp035,Sp020,1,1,4.8e-07,0.00257658,0.0,0.0,0.0,0.0,0.007892,0.002577,0.0,0.0,-1413.00051,-1405.6086,65,0.15857312999999976,0.0158088,0.005258867938059039
62,Sp017,N42,1,5,0.0009392,2.8e-07,0.0,0.00788491,0.0,0.012403710000000002,0.001942,1e-06,0.0,0.007886,-1405.672618,-1405.6086,65,0.15857312999999976,0.0158088,4.554468434529553e-05
63,Sp015,N42,1,5,0.0158088,2.8e-07,0.0,0.00788491,0.0,0.012403710000000002,0.015872,1e-06,0.0,0.007886,-1405.672618,-1405.6086,65,0.15857312999999976,0.0158088,4.554468434529553e-05
70,Sp034,N45,1,6,0.00391554,2.5e-07,0.0,0.00195243,0.0,0.00585218,0.005894,1e-06,0.0,0.001955,-1410.758172,-1405.6086,65,0.15857312999999976,0.0158088,0.0036635888539669112
71,Sp029,N45,1,6,2.5e-07,2.5e-07,0.0,0.00195243,0.0,0.00585218,0.001959,1e-06,0.0,0.001955,-1410.758138,-1405.6086,65,0.15857312999999976,0.0158088,0.003663564665156355
76,N82,Sp030,3,1,2.3e-07,1e-08,0.00195243,0.0,0.0039021399999999997,0.0,1e-06,0.001954,0.001953,0.0,-1412.991243,-1405.6086,65,0.15857312999999976,0.0158088,0.005252275064338619
77,Sp028,Sp030,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,0.001954,0.0,0.0,-1412.991244,-1405.6086,65,0.15857312999999976,0.0158088,0.0052522757757743
84,Sp024,Sp025,1,1,2.5e-07,2.3e-07,0.0,0.0,0.0,0.0,0.002007,1e-06,0.0,0.0,-1410.817287,-1405.6086,65,0.15857312999999976,0.0158088,0.0037056453695573964
85,Sp023,Sp025,1,1,0.00401285,2.3e-07,0.0,0.0,0.0,0.0,0.00604,1e-06,0.0,0.0,-1410.817334,-1405.6086,65,0.15857312999999976,0.0158088,0.0037056788070306693
86,Sp025,Sp031,1,1,2.3e-07,2.6e-07,0.0,0.0,0.0,0.0,1e-06,0.001952,0.0,0.0,-1411.485605,-1405.6086,65,0.15857312999999976,0.0158088,0.004181110587968837
87,N63,Sp031,2,1,0.00200132,2.6e-07,0.00401285,0.0,0.0040131,0.0,0.004015,1e-06,0.004017,0.0,-1411.354187,-1405.6086,65,0.15857312999999976,0.0158088,0.004087615144073455
88,Sp031,N32,1,8,2.6e-07,3e-07,0.0,0.00391554,0.0,0.01172125,1e-06,0.001952,0.0,0.00392,-1410.920716,-1405.6086,65,0.15857312999999976,0.0158088,0.003779228442398588
89,N47,N32,3,8,0.00200096,3e-07,0.00401285,0.00391554,0.006014650000000001,0.01172125,0.001249,0.001952,0.004017,0.00392,-1410.849371,-1405.6086,65,0.15857312999999976,0.0158088,0.0037284710694001125
90,N32,N25,8,2,3e-07,0.00391735,0.00391554,0.00194877,0.01172125,0.0038974300000000003,1e-06,0.007893,0.003925,0.001954,-1415.761698,-1405.6086,65,0.15857312999999976,0.0158088,0.007223275384057838
91,N33,N25,4,2,0.00195013,0.00391735,0.00401285,0.00194877,0.008015870000000001,0.0038974300000000003,0.001955,0.007893,0.004023,0.001954,-1415.761699,-1405.6086,65,0.15857312999999976,0.0158088,0.007223276095493357
92,Sp022,N24,1,12,0.00194866,0.00392292,0.0,0.00401285,0.0,0.021687550000000007,0.003866,0.00602,0.0,0.004016,-1414.893523,-1405.6086,65,0.15857312999999976,0.0158088,0.006605624780611
93,Sp021,N24,1,12,0.00194877,0.00392292,0.0,0.00401285,0.0,0.021687550000000007,0.003871,0.006022,0.0,0.004016,-1414.893695,-1405.6086,65,0.15857312999999976,0.0158088,0.006605747147534495
94,N24,N18,12,36,0.00392292,2.4e-07,0.00401285,0.0158088,0.021687550000000007,0.06174133000000001,0.00588,1e-06,0.004015,0.015814,-1409.267471,-1405.6086,65,0.15857312999999976,0.0158088,0.0026030510911784852
95,N25,N18,2,36,0.00391735,2.4e-07,0.00194877,0.0158088,0.0038974300000000003,0.06174133000000001,0.005876,1e-06,0.001951,0.015813,-1409.267266,-1405.6086,65,0.15857312999999976,0.0158088,0.002602905246880276
96,N18,N17,36,7,2.4e-07,0.00549633,0.0158088,0.00367883,0.06174133000000001,0.009174709999999999,1e-06,0.01502,0.015842,0.001867,-1433.81521,-1405.6086,65,0.15857312999999976,0.0158088,0.020067186555346884
97,N19,N17,14,7,0.00193641,0.00549633,0.00401285,0.00367883,0.033425250000000004,0.009174709999999999,0.001941,0.01502,0.004021,0.001867,-1433.815214,-1405.6086,65,0.15857312999999976,0.0158088,0.020067189401089282
102,N48,Sp005,3,1,1.1e-07,8e-08,0.00182921,0.0,0.0018295899999999999,0.0,1e-06,0.001835,0.001831,0.0,-1410.249745,-1405.6086,65,0.15857312999999976,0.0158088,0.003301875785336011
103,Sp008,Sp005,1,1,1e-08,8e-08,0.0,0.0,0.0,0.0,1e-06,0.001835,0.0,0.0,-1410.249745,-1405.6086,65,0.15857312999999976,0.0158088,0.003301875785336011
104,N36,Sp004,4,1,0.00183036,0.0018355,0.00182921,0.0,0.0018297099999999998,0.0,1e-06,0.001836,0.001829,0.0,-1404.543411,-1405.6086,65,0.15857312999999976,0.0158088,-0.0007578133770666446
108,N20,N16,6,50,1.1e-07,0.0118648,0.0018355,0.0158088,0.00549577,0.09710323000000001,1e-06,0.015926,0.001839,0.015833,-1415.852446,-1405.6086,65,0.15857312999999976,0.0158088,0.007287836742034785
109,Sp010,N16,1,50,0.00367883,0.0118648,0.0,0.0158088,0.0,0.09710323000000001,0.00369,0.017919,0.0,0.01585,-1418.446285,-1405.6086,65,0.15857312999999976,0.0158088,0.009133186151536042
111,N17,Sp002,7,1,0.00549633,0.00372684,0.00367883,0.0,0.009174709999999999,0.0,0.005359,0.003709,0.003679,0.0,-1405.574438,-1405.6086,65,0.15857312999999976,0.0158088,-2.4304063022895465e-05
112,N12,N11,57,2,2.6e-07,0.00181885,0.0158088,0.00739021,0.12363907,0.0092901,1e-06,0.001855,0.015826,0.007397,-1408.057495,-1405.6086,65,0.15857312999999976,0.0158088,0.0017422310876583946
113,Sp002,N11,1,2,0.00372684,0.00181885,0.0,0.00739021,0.0,0.0092901,0.005483,0.001855,0.0,0.007397,-1408.057497,-1405.6086,65,0.15857312999999976,0.0158088,0.001742232510529594
114,Sp012,N10,1,58,0.00189989,0.00178193,0.0,0.0158088,0.0,0.12736617,0.003593,0.001974,0.0,0.015817,-1409.042563,-1405.6086,65,0.15857312999999976,0.0158088,0.0024430435328867146
115,Sp000,N10,1,58,0.00739021,0.00178193,0.0,0.0158088,0.0,0.12736617,0.009053,0.001971,0.0,0.015817,-1409.042499,-1405.6086,65,0.15857312999999976,0.0158088,0.002442998001008163
116,N10,Sp003,58,1,0.00178193,0.00183086,0.0158088,0.0,0.12736617,0.0,0.002535,0.002928,0.015812,0.0,-1411.002702,-1405.6086,65,0.15857312999999976,0.0158088,0.0038375562016339224
117,N11,Sp003,2,1,0.00181885,0.00183086,0.00739021,0.0,0.0092901,0.0,0.002567,0.002927,0.007391,0.0,-1411.002686,-1405.6086,65,0.15857312999999976,0.0158088,0.0038375448186643247
118,N8,Sp007,60,1,0.00183092,1e-08,0.0158088,0.0,0.14025705,0.0,0.003665,1e-06,0.015818,0.0,-1410.281075,-1405.6086,65,0.15857312999999976,0.0158088,0.0033241650627351574
119,Sp003,Sp007,1,1,0.00183086,1e-08,0.0,0.0,0.0,0.0,0.003665,1e-06,0.0,0.0,-1410.281076,-1405.6086,65,0.15857312999999976,0.0158088,0.0033241657741706764
122,N4,Sp014,62,1,9e-08,0.00185908,0.0158088,0.0,0.14574103,0.0,1e-06,0.003721,0.01581,0.0,-1410.313166,-1405.6086,65,0.15857312999999976,0.0158088,0.0033469957426269918
123,Sp001,Sp014,1,1,0.00734946,0.00185908,0.0,0.0,0.0,0.0,0.007351,0.003721,0.0,0.0,-1410.313166,-1405.6086,65,0.15857312999999976,0.0158088,0.0033469957426269918
