idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp001,Sp005,1,1,0.011661,0.0223673,0.0,0.0,0.0,0.0,0.011013,0.023157,0.0,0.0,-2688.60938,-2689.01268,10,0.52425448,0.131501,-0.00014998069849188838
1,Sp009,Sp005,1,1,0.019333,0.0223673,0.0,0.0,0.0,0.0,0.01808,0.021928,0.0,0.0,-2685.559509,-2689.01268,10,0.52425448,0.131501,-0.0012841780277509352
2,N8,N7,2,4,0.00132485,0.0081938,0.019333,0.0396027,0.030994,0.11416803,0.00103,0.016437,0.017191,0.042202,-2691.945212,-2689.01268,10,0.52425448,0.131501,0.0010905608671210375
3,Sp005,N7,1,4,0.0223673,0.0081938,0.0,0.0396027,0.0,0.11416803,0.018844,0.015749,0.0,0.03993,-2691.449526,-2689.01268,10,0.52425448,0.131501,0.0009062233205981236
4,Sp007,Sp008,1,1,0.0127721,0.0396027,0.0,0.0,0.0,0.0,0.013403,0.04472,0.0,0.0,-2693.603694,-2689.01268,10,0.52425448,0.131501,0.0017073232990482167
5,Sp006,Sp008,1,1,0.0108451,0.0396027,0.0,0.0,0.0,0.0,0.011537,0.044718,0.0,0.0,-2693.602417,-2689.01268,10,0.52425448,0.131501,0.001706848403556149
6,Sp008,Sp002,1,1,0.0396027,0.0343447,0.0,0.0,0.0,0.0,0.038674,0.043712,0.0,0.0,-2693.811254,-2689.01268,10,0.52425448,0.131501,0.0017845114809947166
7,N15,Sp002,2,1,0.00579013,0.0343447,0.0127721,0.0,0.023617199999999998,0.0,0.005949,0.042763,0.0128,0.0,-2694.065246,-2689.01268,10,0.52425448,0.131501,0.0018789669671621992
8,N10,N6,3,3,0.0108133,0.0093787,0.0396027,0.0223673,0.06901003,0.05468615,0.012654,0.016758,0.039439,0.022166,-2692.833893,-2689.01268,10,0.52425448,0.131501,0.0014210468505489423
9,Sp002,N6,1,3,0.0343447,0.0093787,0.0,0.0223673,0.0,0.05468615,0.03343,0.016607,0.0,0.022156,-2692.795221,-2689.01268,10,0.52425448,0.131501,0.001406665363883683
10,N6,Sp000,3,1,0.0093787,0.131501,0.0223673,0.0,0.05468615,0.0,0.010139,0.204905,0.023511,0.0,-2716.477303,-2689.01268,10,0.52425448,0.131501,0.010213645775742606
11,N7,Sp000,4,1,0.0081938,0.131501,0.0396027,0.0,0.11416803,0.0,0.008371,0.2049,0.039541,0.0,-2716.478569,-2689.01268,10,0.52425448,0.131501,0.010214116580513879
12,N4,Sp004,7,1,0.0748609,0.0287327,0.0396027,0.0,0.18642668,0.0,0.137,0.034289,0.040203,0.0,-2720.694276,-2689.01268,10,0.52425448,0.131501,0.011781869321642751
13,Sp000,Sp004,1,1,0.131501,0.0287327,0.0,0.0,0.0,0.0,0.188531,0.03434,0.0,0.0,-2720.68867,-2689.01268,10,0.52425448,0.131501,0.011779784541588768
