idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
24,N42,Sp024,6,1,1.1e-07,0.00719195,0.00503163,0.0,0.008704679999999998,0.0,1e-06,0.007921,0.005032,0.0,-3085.94236,-3080.22354,32,0.13046811999999997,0.0453476,0.0018566249902758846
25,N43,Sp024,3,1,7e-08,0.00719195,0.00363184,0.0,0.0043660899999999996,0.0,1e-06,0.007921,0.003632,0.0,-3085.942371,-3080.22354,32,0.13046811999999997,0.0453476,0.0018566285614452958
34,Sp014,N24,1,18,1e-08,1.2e-07,0.0,0.00719195,0.0,0.021776089999999998,1e-06,1e-06,0.0,0.007192,-3080.262445,-3080.22354,32,0.13046811999999997,0.0453476,1.2630576805437328e-05
35,Sp009,N24,1,18,0.00028712,1.2e-07,0.0,0.00719195,0.0,0.021776089999999998,0.000727,1e-06,0.0,0.007192,-3080.262445,-3080.22354,32,0.13046811999999997,0.0453476,1.2630576805437328e-05
46,N14,Sp025,24,1,2e-07,0.00186764,0.00719195,0.0,0.03397572,0.0,0.035374,0.002245,0.007226,0.0,-3199.308719,-3080.22354,32,0.13046811999999997,0.0453476,0.03866121320532475
47,Sp018,Sp025,1,1,0.00239005,0.00186764,0.0,0.0,0.0,0.0,0.021283,0.002246,0.0,0.0,-3199.309635,-3080.22354,32,0.13046811999999997,0.0453476,0.03866151058633885
48,N12,Sp031,25,1,0.0358135,0.0453476,0.00719195,0.0,0.03636597,0.0,0.036476,0.04527,0.007193,0.0,-3082.023423,-3080.22354,32,0.13046811999999997,0.0453476,0.0005843351875689308
49,Sp025,Sp031,1,1,0.00186764,0.0453476,0.0,0.0,0.0,0.0,0.002659,0.045275,0.0,0.0,-3082.023453,-3080.22354,32,0.13046811999999997,0.0453476,0.0005843449271216962
50,N10,Sp029,26,1,0.00071575,0.0025872,0.0358135,0.0,0.07404711,0.0,0.000723,0.002263,0.036159,0.0,-3079.324751,-3080.22354,32,0.13046811999999997,0.0453476,-0.00029179343262854604
52,N8,Sp030,27,1,1.1e-07,0.00519007,0.0453476,0.0,0.12011046,0.0,1e-06,0.005148,0.045392,0.0,-3081.967957,-3080.22354,32,0.13046811999999997,0.0453476,0.0005663280529308223
53,Sp029,Sp030,1,1,0.0025872,0.00519007,0.0,0.0,0.0,0.0,0.002593,0.005931,0.0,0.0,-3085.938461,-3080.22354,32,0.13046811999999997,0.0453476,0.0018553591730554177
55,Sp030,Sp028,1,1,0.00519007,1e-08,0.0,0.0,0.0,0.0,0.004444,1e-06,0.0,0.0,-3074.283529,-3080.22354,32,0.13046811999999997,0.0453476,-0.0019284350381921114
56,N4,Sp027,29,1,7e-08,0.00073746,0.0453476,0.0,0.12899304,0.0,1e-06,0.000737,0.045204,0.0,-3081.557304,-3080.22354,32,0.13046811999999997,0.0453476,0.00043300883285892096
57,Sp028,Sp027,1,1,1e-08,0.00073746,0.0,0.0,0.0,0.0,0.000738,0.000737,0.0,0.0,-3081.55733,-3080.22354,32,0.13046811999999997,0.0453476,0.0004330172738047887
