idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
2,Sp000,Sp003,1,1,0.00792308,0.0083637,0.0,0,0.0,0,0.005934,0.012543,0.0,0,-2025.172579,-2018.96154,9,0.09387063999999999,0.0244133,0.0030763533019059035
3,N13,Sp003,2,1,9e-08,0.0083637,0.00206323,0,0.0030938700000000003,0,1e-06,0.012549,0.002066,0,-2030.913385,-2018.96154,9,0.09387063999999999,0.0244133,0.005919798254304561
4,N10,Sp008,3,1,0.00393241,0.0244133,0.00792308,0,0.01101704,0,0.00594,0.030752,0.006032,0,-2051.034267,-2018.96154,9,0.09387063999999999,0.0244133,0.015885754317043595
5,Sp003,Sp008,1,1,0.0083637,0.0244133,0.0,0,0.0,0,0.012528,0.03066,0.0,0,-2051.032245,-2018.96154,9,0.09387063999999999,0.0244133,0.01588475281208173
6,N8,Sp007,4,1,0.0101436,0.0125842,0.0083637,0,0.023313149999999998,0,0.010751,0.012776,0.008369,0,-2019.633502,-2018.96154,9,0.09387063999999999,0.0244133,0.00033282555743973903
7,Sp008,Sp007,1,1,0.0244133,0.0125842,0.0,0,0.0,0,0.025025,0.012776,0.0,0,-2019.633503,-2018.96154,9,0.09387063999999999,0.0244133,0.00033282605274392955
8,N6,Sp006,5,1,0.0008026,0.00311385,0.0244133,0,0.05787004999999999,0,0.008779,0.003567,0.024543,0,-2053.305316,-2018.96154,9,0.09387063999999999,0.0244133,0.017010614278467104
9,Sp007,Sp006,1,1,0.0125842,0.00311385,0.0,0,0.0,0,0.020693,0.003567,0.0,0,-2053.305339,-2018.96154,9,0.09387063999999999,0.0244133,0.017010625670462246
10,N4,Sp005,6,1,0.00822814,0.00519339,0.0244133,0,0.07125685,0,0.009664,0.005807,0.024431,0,-2025.039776,-2018.96154,9,0.09387063999999999,0.0244133,0.0030105754268107856
11,Sp006,Sp005,1,1,0.00311385,0.00519339,0.0,0,0.0,0,0.00456,0.005807,0.0,0,-2025.039802,-2018.96154,9,0.09387063999999999,0.0244133,0.003010588304718274
