idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp020,N41,1,7,0.00170594,9e-08,0.0,0.0102354,0.0,0.04624559,0.002784,0.000615,0.0,0.010237,-2570.501551,-2565.23064,34,0.47217593999999996,0.0307999,0.0020547513029860014
1,Sp010,N41,1,7,0.00169995,9e-08,0.0,0.0102354,0.0,0.04624559,0.002734,0.000655,0.0,0.010238,-2570.501982,-2565.23064,34,0.47217593999999996,0.0307999,0.0020549193190675455
2,Sp029,N51,1,5,0.0102354,0.00166154,0.0,0.00686148,0.0,0.029252809999999997,0.011946,0.001663,0.0,0.006867,-2568.47122,-2565.23064,34,0.47217593999999996,0.0307999,0.0012632704246818452
3,Sp022,N51,1,5,0.0034124,0.00166154,0.0,0.00686148,0.0,0.029252809999999997,0.005121,0.001663,0.0,0.006867,-2568.471212,-2565.23064,34,0.47217593999999996,0.0307999,0.001263267306053892
4,Sp016,N61,1,2,0.00457427,0.00340326,0.0,0.00686148,0.0,0.010251389999999999,0.006856,0.003406,0.0,0.006867,-2568.748998,-2565.23064,34,0.47217593999999996,0.0307999,0.001371556204396423
5,Sp005,N61,1,2,0.00535901,0.00340326,0.0,0.00686148,0.0,0.010251389999999999,0.00715,0.003407,0.0,0.006867,-2568.749291,-2565.23064,34,0.47217593999999996,0.0307999,0.0013716704241455119
6,Sp012,N60,1,2,0.00338991,0.00227013,0.0,0.00535901,0.0,0.00993328,0.005669,0.002273,0.0,0.005365,-2573.491016,-2565.23064,34,0.47217593999999996,0.0307999,0.003220129945118589
7,Sp008,N60,1,2,0.00686148,0.00227013,0.0,0.00535901,0.0,0.00993328,0.010296,0.002273,0.0,0.005366,-2573.005407,-2565.23064,34,0.47217593999999996,0.0307999,0.0030308257194370182
9,N61,Sp018,2,1,0.00340326,0.00339468,0.00686148,0.0,0.010251389999999999,0.0,0.003413,0.003389,0.008571,0.0,-2564.36538,-2565.23064,34,0.47217593999999996,0.0307999,-0.0003373030036784664
10,Sp018,N50,1,2,0.00339468,0.00168344,0.0,0.0102354,0.0,0.0136478,0.005079,0.001685,0.0,0.010245,-2567.93425,-2565.23064,34,0.47217593999999996,0.0307999,0.0010539442176628496
11,N59,N50,4,2,7e-08,0.00168344,0.00686148,0.0102354,0.025858059999999995,0.0136478,1e-06,0.001685,0.008579,0.010246,-2567.934178,-2565.23064,34,0.47217593999999996,0.0307999,0.0010539161500112725
14,N40,N33,2,2,0.00169973,0.012039,0.00170594,0.00169547,0.00340589,0.0016955599999999998,0.001706,0.017351,0.001712,0.001701,-2576.663647,-2565.23064,34,0.47217593999999996,0.0307999,0.0044569119133863275
15,N41,N33,7,2,9e-08,0.012039,0.0102354,0.00169547,0.04624559,0.0016955599999999998,1e-06,0.017352,0.010275,0.001702,-2576.663691,-2565.23064,34,0.47217593999999996,0.0307999,0.004456929065840246
16,Sp031,N32,1,9,9e-08,0.00679933,0.0,0.0102354,0.0,0.05135130000000001,1e-06,0.017372,0.0,0.010277,-2594.457539,-2565.23064,34,0.47217593999999996,0.0307999,0.011393478053887495
17,Sp017,N32,1,9,0.00169547,0.00679933,0.0,0.0102354,0.0,0.05135130000000001,0.001702,0.017372,0.0,0.010277,-2594.457541,-2565.23064,34,0.47217593999999996,0.0307999,0.011393478833544572
20,N24,N21,11,2,1.7e-07,0.00541841,0.012039,0.0181361,0.07188519,0.0346061,0.001808,0.00582,0.011916,0.018134,-2568.808519,-2565.23064,34,0.47217593999999996,0.0307999,0.0013947591862538873
21,Sp021,N21,1,2,0.0210434,0.00541841,0.0,0.0181361,0.0,0.0346061,0.022457,0.005817,0.0,0.018134,-2568.808248,-2565.23064,34,0.47217593999999996,0.0307999,0.0013946535427315806
22,Sp026,N20,1,12,0.0181361,0.00174408,0.0,0.0210434,0.0,0.09292876,0.023716,0.001721,0.0,0.021084,-2571.115491,-2565.23064,34,0.47217593999999996,0.0307999,0.0022940826092736045
23,Sp001,N20,1,12,0.01647,0.00174408,0.0,0.0210434,0.0,0.09292876,0.021633,0.00178,0.0,0.021285,-2571.14961,-2565.23064,34,0.47217593999999996,0.0307999,0.002307383167698214
24,N20,N17,12,11,0.00174408,0.00169091,0.0210434,0.0307999,0.09292876,0.17544056000000002,0.003393,0.001746,0.021056,0.030825,-2567.938297,-2565.23064,34,0.47217593999999996,0.0307999,0.0010555218535826963
25,N21,N17,2,11,0.00541841,0.00169091,0.0181361,0.0307999,0.0346061,0.17544056000000002,0.005879,0.001747,0.018119,0.030825,-2567.938825,-2565.23064,34,0.47217593999999996,0.0307999,0.0010557276830281263
26,Sp013,Sp033,1,1,0.0158389,0.0307999,0.0,0.0,0.0,0.0,0.019485,0.031932,0.0,0.0,-2570.69633,-2565.23064,34,0.47217593999999996,0.0307999,0.0021306817074350846
27,Sp004,Sp033,1,1,0.0286216,0.0307999,0.0,0.0,0.0,0.0,0.032097,0.02853,0.0,0.0,-2567.694122,-2565.23064,34,0.47217593999999996,0.0307999,0.0009603354807892275
28,Sp033,Sp024,1,1,0.0307999,0.0156618,0.0,0.0,0.0,0.0,0.035512,0.015808,0.0,0.0,-2568.619499,-2565.23064,34,0.47217593999999996,0.0307999,0.0013210738041081888
29,N45,Sp024,2,1,0.00541713,0.0156618,0.0286216,0.0,0.0444605,0.0,0.007751,0.011432,0.027605,0.0,-2565.062863,-2565.23064,34,0.47217593999999996,0.0307999,-6.54042554240326e-05
