idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp013,N21,1,2,0.0271047,0.0471229,0.0,0.0782496,0.0,0.08259194,0.02226,0.05353,0.0,0.076584,-3017.438704,-3011.64601,14,0.8854867499999999,0.144641,0.0019234312335400304
1,Sp003,N21,1,2,0.00808494,0.0471229,0.0,0.0782496,0.0,0.08259194,0.009132,0.046038,0.0,0.076577,-3015.67405,-3011.64601,14,0.8854867499999999,0.144641,0.0013374878676395792
2,Sp011,N20,1,2,0.0782496,0.00775554,0.0,0.0271047,0.0,0.03518964,0.098955,0.008354,0.0,0.025445,-3030.315101,-3011.64601,14,0.8854867499999999,0.144641,0.006198965926941795
3,Sp007,N20,1,2,0.00434234,0.00775554,0.0,0.0271047,0.0,0.03518964,0.045395,0.007911,0.0,0.025028,-3031.489518,-3011.64601,14,0.8854867499999999,0.144641,0.006588924440027375
4,N20,Sp005,2,1,0.00775554,0.0343019,0.0271047,0.0,0.03518964,0.0,0.016061,0.038454,0.027444,0.0,-3021.257624,-3011.64601,14,0.8854867499999999,0.144641,0.0031914819896113615
5,N21,Sp005,2,1,0.0471229,0.0343019,0.0782496,0.0,0.08259194,0.0,0.051896,0.038456,0.074518,0.0,-3021.25819,-3011.64601,14,0.8854867499999999,0.144641,0.0031916699267056556
6,N18,Sp012,4,1,0.0118098,0.0198444,0.0782496,0.0,0.17266002,0.0,0.016751,0.021448,0.078107,0.0,-3022.650209,-3011.64601,14,0.8854867499999999,0.144641,0.0036538819514183116
7,Sp005,Sp012,1,1,0.0343019,0.0198444,0.0,0.0,0.0,0.0,0.046784,0.021453,0.0,0.0,-3022.650483,-3011.64601,14,0.8854867499999999,0.144641,0.0036539729315664036
8,Sp012,N11,1,2,0.0198444,0.0211297,0.0,0.0205893,0.0,0.032909,0.019893,0.021333,0.0,0.020534,-3011.538294,-3011.64601,14,0.8854867499999999,0.144641,-3.576648770882012e-05
9,N15,N11,5,2,0.0130547,0.0211297,0.0782496,0.0205893,0.21877172,0.032909,0.013047,0.020715,0.078252,0.020535,-3011.080414,-3011.64601,14,0.8854867499999999,0.144641,-0.0001878029483285501
10,Sp010,N10,1,6,0.0205893,0.00168089,0.0,0.0782496,0.0,0.25167082,0.030823,0.008344,0.0,0.078603,-3036.605137,-3011.64601,14,0.8854867499999999,0.144641,0.008287536754693186
11,Sp006,N10,1,6,0.0123197,0.00168089,0.0,0.0782496,0.0,0.25167082,0.029879,0.008859,0.0,0.078626,-3037.697515,-3011.64601,14,0.8854867499999999,0.144641,0.008650254682488367
12,N10,N9,6,2,0.00168089,0.00659083,0.0782496,0.115025,0.25167082,0.160087,0.008864,0.016985,0.078339,0.118452,-3022.301806,-3011.64601,14,0.8854867499999999,0.144641,0.003538196708583294
13,N11,N9,2,2,0.0211297,0.00659083,0.0205893,0.115025,0.032909,0.160087,0.021267,0.016837,0.02005,0.118465,-3022.301916,-3011.64601,14,0.8854867499999999,0.144641,0.00353823323346025
14,Sp008,N8,1,8,0.045062,0.016798,0.0,0.0782496,0.0,0.30739041,0.049846,0.013287,0.0,0.078184,-3010.668917,-3011.64601,14,0.8854867499999999,0.144641,-0.00032443819650635765
15,Sp004,N8,1,8,0.115025,0.016798,0.0,0.0782496,0.0,0.30739041,0.117983,0.016944,0.0,0.078309,-3011.965988,-3011.64601,14,0.8854867499999999,0.144641,0.00010624688258099493
16,N8,Sp009,8,1,0.016798,0.0215044,0.0782496,0.0,0.30739041,0.0,0.018698,0.024137,0.078343,0.0,-3013.221133,-3011.64601,14,0.8854867499999999,0.144641,0.0005230106708324847
17,N9,Sp009,2,1,0.00659083,0.0215044,0.115025,0.0,0.160087,0.0,0.005973,0.022645,0.112165,0.0,-3010.724562,-3011.64601,14,0.8854867499999999,0.144641,-0.00030596158942333826
18,N6,Sp001,10,1,0.00403471,0.0697115,0.115025,0.0,0.49086623999999995,0.0,0.004002,0.07801,0.113429,0.0,-3014.257611,-3011.64601,14,0.8854867499999999,0.144641,0.0008671673202389627
19,Sp009,Sp001,1,1,0.0215044,0.0697115,0.0,0.0,0.0,0.0,0.023051,0.077962,0.0,0.0,-3014.257667,-3011.64601,14,0.8854867499999999,0.144641,0.0008671859147217382
20,N4,Sp002,11,1,0.0102063,0.125183,0.115025,0.0,0.51640535,0.0,0.009285,0.139218,0.114981,0.0,-3013.510551,-3011.64601,14,0.8854867499999999,0.144641,0.0006191102785017943
21,Sp001,Sp002,1,1,0.0697115,0.125183,0.0,0.0,0.0,0.0,0.06246,0.142202,0.0,0.0,-3012.822921,-3011.64601,14,0.8854867499999999,0.144641,0.00039078663165994674
