idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp001,Sp002,1,1,0.0146977,0.0168159,0.0,0.0,0.0,0.0,0.015088,0.024925,0.0,0.0,-2645.402281,-2638.79035,11,1.5914630800000003,0.273243,0.002505667416890437
1,Sp000,Sp002,1,1,0.00407853,0.0168159,0.0,0.0,0.0,0.0,0.004573,0.024926,0.0,0.0,-2645.402396,-2638.79035,11,1.5914630800000003,0.273243,0.002505710997465083
2,N14,N11,2,2,0.00878216,0.0328193,0.0146977,0.0255193,0.018776229999999998,0.0475502,0.00888,0.048102,0.014706,0.025332,-2640.487388,-2638.79035,11,1.5914630800000003,0.273243,0.0006431120986931731
3,Sp002,N11,1,2,0.0168159,0.0328193,0.0,0.0255193,0.0,0.0475502,0.01394,0.047967,0.0,0.025325,-2640.267777,-2638.79035,11,1.5914630800000003,0.273243,0.0005598879804906845
4,Sp004,N10,1,3,0.0255193,0.0154935,0.0,0.0168159,0.0,0.04437429,0.02245,0.047532,0.0,0.016732,-2644.80909,-2638.79035,11,1.5914630800000003,0.273243,0.0022808708543291356
5,Sp003,N10,1,3,0.0220309,0.0154935,0.0,0.0168159,0.0,0.04437429,0.007336,0.047525,0.0,0.016654,-2642.927085,-2638.79035,11,1.5914630800000003,0.273243,0.0015676633803059
6,N10,Sp005,3,1,0.0154935,0.205882,0.0168159,0.0,0.04437429,0.0,0.017443,0.352485,0.016836,0.0,-2653.835537,-2638.79035,11,1.5914630800000003,0.273243,0.005701546922816249
7,N11,Sp005,2,1,0.0328193,0.205882,0.0255193,0.0,0.0475502,0.0,0.02642,0.352856,0.02558,0.0,-2653.654775,-2638.79035,11,1.5914630800000003,0.273243,0.005633045080674846
8,N6,N5,5,3,0.141146,0.130571,0.0328193,0.273243,0.14023729,0.706609,0.149859,0.15122,0.032011,0.260331,-2644.766762,-2638.79035,11,1.5914630800000003,0.273243,0.002264830171142615
9,Sp005,N5,1,3,0.205882,0.130571,0.0,0.273243,0.0,0.706609,0.223537,0.1699,0.0,0.25832,-2647.491602,-2638.79035,11,1.5914630800000003,0.273243,0.0032974396772368973
10,Sp010,Sp008,1,1,0.15706,0.273243,0.0,0.0,0.0,0.0,0.16021,0.376326,0.0,0.0,-2652.208746,-2638.79035,11,1.5914630800000003,0.273243,0.005085055733965214
11,Sp009,Sp008,1,1,0.106132,0.273243,0.0,0.0,0.0,0.0,0.114873,0.370146,0.0,0.0,-2651.508735,-2638.79035,11,1.5914630800000003,0.273243,0.004819778501918377
12,N8,N4,2,6,0.170174,0.0941833,0.15706,0.205882,0.263192,0.48726528999999996,0.241367,0.107523,0.168803,0.194661,-2645.41151,-2638.79035,11,1.5914630800000003,0.273243,0.0025091648527514475
13,Sp008,N4,1,6,0.273243,0.0941833,0.0,0.205882,0.0,0.48726528999999996,0.351251,0.10752,0.0,0.194511,-2645.411559,-2638.79035,11,1.5914630800000003,0.273243,0.0025091834218659726
14,N4,Sp007,6,1,0.0941833,0.0117859,0.205882,0.0,0.48726528999999996,0.0,0.231799,0.011151,0.213775,0.0,-2653.249954,-2638.79035,11,1.5914630800000003,0.273243,0.005479633499493308
15,N5,Sp007,3,1,0.130571,0.0117859,0.273243,0.0,0.706609,0.0,0.265416,0.011156,0.315209,0.0,-2653.249992,-2638.79035,11,1.5914630800000003,0.273243,0.0054796479000310885
