idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp007,N7,1,4,0.0130387,0.00895224,0.0,0.0371651,0.0,0.06809298,0.012495,0.010825,0.0,0.037049,-2940.681804,-2931.65389,9,0.1440688,0.0371651,0.003079461061482869
1,Sp006,N7,1,4,0.00685043,0.00895224,0.0,0.0371651,0.0,0.06809298,0.009333,0.010542,0.0,0.037165,-2944.65976,-2931.65389,9,0.1440688,0.0371651,0.004436359300244668
2,Sp008,Sp001,1,1,0.0371651,0.00366388,0.0,0.0,0.0,0.0,0.037799,0.004955,0.0,0.0,-2934.823805,-2931.65389,9,0.1440688,0.0371651,0.0010812719096250296
3,Sp000,Sp001,1,1,1.1e-07,0.00366388,0.0,0.0,0.0,0.0,0.000273,0.00524,0.0,0.0,-2934.820022,-2931.65389,9,0.1440688,0.0371651,0.001079981511732899
4,N12,Sp002,2,1,0.00176879,0.011982,0.0371651,0.0,0.03716521,0.0,0.001456,0.024818,0.037292,0.0,-2960.315098,-2931.65389,9,0.1440688,0.0371651,0.009776463755753919
5,Sp001,Sp002,1,1,0.00366388,0.011982,0.0,0.0,0.0,0.0,0.002977,0.025241,0.0,0.0,-2960.616654,-2931.65389,9,0.1440688,0.0371651,0.00987932582996688
6,N10,N6,3,2,0.0135131,0.00976448,0.0371651,0.0130387,0.04259788,0.01988913,0.015401,0.012539,0.03718,0.012558,-2944.477668,-2931.65389,9,0.1440688,0.0371651,0.004374246920396168
7,Sp002,N6,1,2,0.011982,0.00976448,0.0,0.0130387,0.0,0.01988913,0.012928,0.010638,0.0,0.012505,-2938.661185,-2931.65389,9,0.1440688,0.0371651,0.002390219058225828
8,N6,Sp005,2,1,0.00976448,0.0139791,0.0130387,0.0,0.01988913,0.0,0.011888,0.014813,0.012537,0.0,-2934.421434,-2931.65389,9,0.1440688,0.0371651,0.0009440213967412831
9,N7,Sp005,4,1,0.00895224,0.0139791,0.0371651,0.0,0.06809298,0.0,0.00927,0.013812,0.037154,0.0,-2930.957159,-2931.65389,9,0.1440688,0.0371651,-0.0002376579999353197
10,N4,Sp004,6,1,0.00495352,0.00289837,0.0371651,0.0,0.10669883000000001,0.0,0.020028,0.002921,0.03735,0.0,-2965.761805,-2931.65389,9,0.1440688,0.0371651,0.01163435940250097
11,Sp005,Sp004,1,1,0.0139791,0.00289837,0.0,0.0,0.0,0.0,0.027548,0.003004,0.0,0.0,-2965.858464,-2931.65389,9,0.1440688,0.0371651,0.011667330211343559
