idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
12,N44,N40,2,5,1e-07,1e-08,0.00081694,1e-08,0.0008169500000000001,7.999999999999999e-08,1e-06,0.000817,0.000817,1e-06,-2536.781097,-2527.80708,29,0.0750200299999999,0.00881955,0.0035501194181321795
13,N45,N40,2,5,1e-08,1e-08,0.0008171,1e-08,0.00081719,7.999999999999999e-08,1e-06,0.000817,0.000817,1e-06,-2536.781096,-2527.80708,29,0.0750200299999999,0.00881955,0.0035501190225324156
18,N34,Sp001,10,1,6e-08,0.00081701,0.0008171,0.0,0.00245139,0.0,1e-06,0.001636,0.000817,0.0,-2535.009101,-2527.80708,29,0.0750200299999999,0.00881955,0.002849118137607265
19,Sp007,Sp001,1,1,0.00081691,0.00081701,0.0,0.0,0.0,0.0,0.000818,0.001636,0.0,0.0,-2535.009152,-2527.80708,29,0.0750200299999999,0.00881955,0.0028491383131975575
22,N24,N21,12,5,9e-08,0.00081733,0.0008171,0.00658716,0.0048697,0.01313595,0.000785,0.000818,0.000818,0.006589,-2533.143833,-2527.80708,29,0.0750200299999999,0.00881955,0.002111218471624838
23,Sp025,N21,1,5,0.00740937,0.00081733,0.0,0.00658716,0.0,0.01313595,0.008242,0.000818,0.0,0.006589,-2533.143892,-2527.80708,29,0.0750200299999999,0.00881955,0.0021112418120136007
24,Sp014,Sp024,1,1,1e-08,0.00658716,0.0,0.0,0.0,0.0,1e-06,0.007414,0.0,0.0,-2531.625287,-2527.80708,29,0.0750200299999999,0.00881955,0.0015104819628876907
25,Sp013,Sp024,1,1,1e-08,0.00658716,0.0,0.0,0.0,0.0,1e-06,0.007414,0.0,0.0,-2531.625287,-2527.80708,29,0.0750200299999999,0.00881955,0.0015104819628876907
26,Sp024,N27,1,2,0.00658716,0.00246002,0.0,0.0016373,0.0,0.00245364,0.007228,0.002642,0.0,0.001638,-2531.806078,-2527.80708,29,0.0750200299999999,0.00881955,0.0015820028480971059
27,N31,N27,2,2,0.00081593,0.00246002,1e-08,0.0016373,2e-08,0.00245364,0.001452,0.002646,1e-06,0.001638,-2531.806168,-2527.80708,29,0.0750200299999999,0.00881955,0.0015820384520799859
