idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp016,Sp003,1,1,0.0121709,0.0260578,0.0,0.0,0.0,0.0,0.016527,0.032235,0.0,0.0,-7113.280682,-7106.43541,53,2.7041417800000005,0.33812,0.0009632497314148625
1,Sp008,Sp003,1,1,0.0122481,0.0260578,0.0,0.0,0.0,0.0,0.014775,0.032466,0.0,0.0,-7113.169886,-7106.43541,53,2.7041417800000005,0.33812,0.000947658792553443
2,N70,N59,2,2,0.0110131,0.0213612,0.0122481,0.0346513,0.024419,0.0470854,0.010909,0.021649,0.012743,0.033467,-7108.267702,-7106.43541,53,2.7041417800000005,0.33812,0.00025783559468108247
3,Sp003,N59,1,2,0.0260578,0.0213612,0.0,0.0346513,0.0,0.0470854,0.026863,0.022357,0.0,0.033643,-7108.771969,-7106.43541,53,2.7041417800000005,0.33812,0.00032879479868519717
4,Sp014,N58,1,3,0.0346513,0.00533428,0.0,0.0260578,0.0,0.0614899,0.050169,0.006751,0.0,0.026426,-7126.563657,-7106.43541,53,2.7041417800000005,0.33812,0.0028323970934395148
5,Sp001,N58,1,3,0.0124341,0.00533428,0.0,0.0260578,0.0,0.0614899,0.02876,0.005885,0.0,0.026575,-7125.854586,-7106.43541,53,2.7041417800000005,0.33812,0.0027326183775165467
6,N58,N51,3,2,0.00533428,0.0232643,0.0260578,0.0168538,0.0614899,0.030646,0.00827,0.02881,0.02669,0.016719,-7113.32167,-7106.43541,53,2.7041417800000005,0.33812,0.000969017461315422
7,N59,N51,2,2,0.0213612,0.0232643,0.0346513,0.0168538,0.0470854,0.030646,0.023156,0.029467,0.03612,0.01677,-7113.406821,-7106.43541,53,2.7041417800000005,0.33812,0.0009809996992570335
8,Sp015,N50,1,5,0.0137922,0.0192931,0.0,0.0346513,0.0,0.13527078,0.016572,0.029053,0.0,0.034388,-7121.726939,-7106.43541,53,2.7041417800000005,0.33812,0.0021517861090360746
9,Sp012,N50,1,5,0.0168538,0.0192931,0.0,0.0346513,0.0,0.13527078,0.020738,0.029054,0.0,0.034388,-7121.726953,-7106.43541,53,2.7041417800000005,0.33812,0.0021517880790814467
