idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp024,Sp028,1,1,1.6e-07,0.00499614,0.0,0.0,0.0,0.0,0.001913,0.006434,0.0,0.0,-2869.537104,-2862.21176,30,0.5514353900000001,0.118893,0.00255932985196031
1,Sp020,Sp028,1,1,0.00165812,0.00499614,0.0,0.0,0.0,0.0,0.001917,0.00643,0.0,0.0,-2869.53708,-2862.21176,30,0.5514353900000001,0.118893,0.0025593214668365137
4,Sp026,N22,1,3,0.00946513,3.4e-07,0.0,0.00499614,0.0,0.01164801,0.011288,1e-06,0.0,0.005,-2864.212073,-2862.21176,30,0.5514353900000001,0.118893,0.0006988696741292144
5,Sp013,N22,1,3,0.0101129,3.4e-07,0.0,0.00499614,0.0,0.01164801,0.011744,1e-06,0.0,0.005,-2864.212313,-2862.21176,30,0.5514353900000001,0.118893,0.0006989535253673384
8,N14,N11,5,7,2.1e-07,0.0007756,0.0101129,0.0370507,0.03301042,0.16247441999999998,1e-06,1e-06,0.010117,0.037591,-2865.013182,-2862.21176,30,0.5514353900000001,0.118893,0.000978761263981391
9,Sp007,N11,1,7,0.00684223,0.0007756,0.0,0.0370507,0.0,0.16247441999999998,0.00685,0.000679,0.0,0.037085,-2865.968837,-2862.21176,30,0.5514353900000001,0.118893,0.0013126481598970698
10,Sp029,N17,1,5,0.00162017,0.00193259,0.0,0.0370507,0.0,0.14194901999999998,0.005311,0.005713,0.0,0.03757,-2886.318993,-2862.21176,30,0.5514353900000001,0.118893,0.00842258890027051
11,Sp025,N17,1,5,0.00644334,0.00193259,0.0,0.0370507,0.0,0.14194901999999998,0.011424,0.00399,0.0,0.037582,-2886.192335,-2862.21176,30,0.5514353900000001,0.118893,0.00837833710808317
12,Sp023,Sp022,1,1,0.0370507,0.017259,0.0,0.0,0.0,0.0,0.051129,0.019448,0.0,0.0,-2887.109824,-2862.21176,30,0.5514353900000001,0.118893,0.008698889560847859
13,Sp010,Sp022,1,1,0.00564401,0.017259,0.0,0.0,0.0,0.0,0.022016,0.017927,0.0,0.0,-2886.763266,-2862.21176,30,0.5514353900000001,0.118893,0.008577809071680912
14,N42,Sp016,2,1,0.0195624,0.0259661,0.0370507,0.0,0.04269471,0.0,0.02305,0.027632,0.0371,0.0,-2866.422175,-2862.21176,30,0.5514353900000001,0.118893,0.001471035462449505
15,Sp022,Sp016,1,1,0.017259,0.0259661,0.0,0.0,0.0,0.0,0.020539,0.027645,0.0,0.0,-2866.416066,-2862.21176,30,0.5514353900000001,0.118893,0.0014689010990576157
16,N34,Sp006,3,1,0.00540868,0.0284617,0.0370507,0.0,0.07951611,0.0,0.006828,0.029659,0.037183,0.0,-2864.329922,-2862.21176,30,0.5514353900000001,0.118893,0.000740043776495334
17,Sp016,Sp006,1,1,0.0259661,0.0284617,0.0,0.0,0.0,0.0,0.02694,0.028267,0.0,0.0,-2863.028771,-2862.21176,30,0.5514353900000001,0.118893,0.00028544743314157803
18,N26,N16,4,2,0.00259643,0.0105293,0.0370507,0.00644334,0.11089088999999999,0.00806351,0.004286,0.007518,0.036939,0.007335,-2860.351311,-2862.21176,30,0.5514353900000001,0.118893,-0.0006500039675611717
19,Sp006,N16,1,2,0.0284617,0.0105293,0.0,0.00644334,0.0,0.00806351,0.029667,0.009708,0.0,0.006439,-2861.475241,-2862.21176,30,0.5514353900000001,0.118893,-0.0002573251253778804
20,N16,N10,2,6,0.0105293,0.00388369,0.00644334,0.0101129,0.00806351,0.03985286,0.011294,1e-06,0.00644,0.010101,-2857.514343,-2862.21176,30,0.5514353900000001,0.118893,-0.0016411842986768785
21,N17,N10,5,6,0.00193259,0.00388369,0.0370507,0.0101129,0.14194901999999998,0.03985286,0.001935,0.003883,0.037011,0.010113,-2862.30212,-2862.21176,30,0.5514353900000001,0.118893,3.156999117343133e-05
24,Sp027,Sp019,1,1,0.0075821,0.0192466,0.0,0.0,0.0,0.0,0.011253,0.022403,0.0,0.0,-2871.450371,-2862.21176,30,0.5514353900000001,0.118893,0.0032277873807631074
25,Sp001,Sp019,1,1,0.0239661,0.0192466,0.0,0.0,0.0,0.0,0.025893,0.021632,0.0,0.0,-2870.394731,-2862.21176,30,0.5514353900000001,0.118893,0.002858967709642743
26,N36,N29,2,7,0.00757999,0.0325069,0.0239661,0.00802262,0.0315482,0.027474460000000003,0.009062,0.031904,0.022818,0.008023,-2865.237416,-2862.21176,30,0.5514353900000001,0.118893,0.001057104174570158
27,Sp019,N29,1,7,0.0192466,0.0325069,0.0,0.00802262,0.0,0.027474460000000003,0.022538,0.034541,0.0,0.00803,-2867.235112,-2862.21176,30,0.5514353900000001,0.118893,0.001755059520823052
28,Sp018,Sp021,1,1,1e-08,0.00158156,0.0,0.0,0.0,0.0,1e-06,0.009642,0.0,0.0,-2888.024472,-2862.21176,30,0.5514353900000001,0.118893,0.009018449424580632
29,Sp015,Sp021,1,1,1e-08,0.00158156,0.0,0.0,0.0,0.0,1e-06,0.009642,0.0,0.0,-2888.024472,-2862.21176,30,0.5514353900000001,0.118893,0.009018449424580632
30,Sp021,N47,1,3,0.00158156,0.00668705,0.0,0.00159007,0.0,0.0015901,0.002094,0.00911,0.0,0.00159,-2866.582327,-2862.21176,30,0.5514353900000001,0.118893,0.0015269893936848114
31,N51,N47,2,3,0.00802262,0.00668705,1e-08,0.00159007,2e-08,0.0015901,0.008515,0.009104,1e-06,0.00159,-2866.582311,-2862.21176,30,0.5514353900000001,0.118893,0.0015269838036022804
32,Sp017,Sp008,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,0.001591,0.0,0.0,-2867.845866,-2862.21176,30,0.5514353900000001,0.118893,0.001968444850495609
33,Sp005,Sp008,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,0.001591,0.0,0.0,-2867.845866,-2862.21176,30,0.5514353900000001,0.118893,0.001968444850495609
34,N52,N46,2,3,0.00159007,0.00292836,1e-08,0.00802262,2e-08,0.0096042,0.001593,0.009704,1e-06,0.008077,-2879.966628,-2862.21176,30,0.5514353900000001,0.118893,0.006203198606101732
35,Sp008,N46,1,3,1e-08,0.00292836,0.0,0.00802262,0.0,0.0096042,1e-06,0.009704,0.0,0.008077,-2879.966653,-2862.21176,30,0.5514353900000001,0.118893,0.0062032073406056475
36,N46,Sp002,3,1,0.00292836,0.00275631,0.00802262,0.0,0.0096042,0.0,0.001778,0.006265,0.008021,0.0,-2865.057678,-2862.21176,30,0.5514353900000001,0.118893,0.0009943072835393505
37,N47,Sp002,3,1,0.00668705,0.00275631,0.00159007,0.0,0.0015901,0.0,0.007196,0.006678,0.001592,0.0,-2867.003465,-2862.21176,30,0.5514353900000001,0.118893,0.0016741266551150071
38,N38,N28,6,3,0.00390844,0.00815268,0.00802262,0.0239661,0.020809710000000002,0.058374789999999996,0.003353,0.036533,0.008061,0.024595,-2921.676188,-2862.21176,30,0.5514353900000001,0.118893,0.020775691313629347
39,Sp002,N28,1,3,0.00275631,0.00815268,0.0,0.0239661,0.0,0.058374789999999996,0.002945,0.037231,0.0,0.024612,-2923.189039,-2862.21176,30,0.5514353900000001,0.118893,0.021304251436658105
