idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp012,N53,1,2,0.028289,0.00729874,0.0,0.0409501,0.0,0.0633201,0.046139,0.007549,0.0,0.041352,-24053.648919,-24008.83555,38,4.850079849999999,0.464853,0.0018665365467922291
1,Sp011,N53,1,2,0.0247832,0.00729874,0.0,0.0409501,0.0,0.0633201,0.042618,0.004851,0.0,0.040964,-24049.52986,-24008.83555,38,4.850079849999999,0.464853,0.001694972249497496
2,Sp009,N52,1,2,0.0409501,0.0209313,0.0,0.028289,0.0,0.0530722,0.0424,0.021921,0.0,0.026831,-24015.300031,-24008.83555,38,4.850079849999999,0.464853,0.000269254249608914
3,Sp008,N52,1,2,0.02237,0.0209313,0.0,0.028289,0.0,0.0530722,0.024136,0.022002,0.0,0.026953,-24015.888404,-24008.83555,38,4.850079849999999,0.464853,0.0002937607692515262
4,N52,Sp010,2,1,0.0209313,0.0420012,0.028289,0.0,0.0530722,0.0,0.020457,0.040752,0.028987,0.0,-24003.606738,-24008.83555,38,4.850079849999999,0.464853,-0.00021778698884049788
6,N46,Sp013,4,1,1.8e-07,0.0648478,0.0409501,0.0,0.14462234,0.0,1e-06,0.063002,0.041025,0.0,-24007.824112,-24008.83555,38,4.850079849999999,0.464853,-4.212774076006208e-05
7,Sp010,Sp013,1,1,0.0420012,0.0648478,0.0,0.0,0.0,0.0,0.04247,0.066878,0.0,0.0,-24010.885895,-24008.83555,38,4.850079849999999,0.464853,8.539960198109866e-05
8,Sp013,N39,1,12,0.0648478,1e-07,0.0,0.0754447,0.0,0.43041167,0.074571,1e-06,0.0,0.07568,-24036.318511,-24008.83555,38,4.850079849999999,0.464853,0.0011447019553599935
9,N43,N39,5,12,0.00333992,1e-07,0.0420012,0.0754447,0.18662372,0.43041167,0.016893,1e-06,0.041534,0.075674,-24036.316516,-24008.83555,38,4.850079849999999,0.464853,0.001144618860950929
10,Sp018,Sp019,1,1,0.00187826,0.00313973,0.0,0.0,0.0,0.0,0.002016,0.005522,0.0,0.0,-24026.426323,-24008.83555,38,4.850079849999999,0.464853,0.0007326791407007617
11,Sp017,Sp019,1,1,0.00062717,0.00313973,0.0,0.0,0.0,0.0,0.000764,0.005523,0.0,0.0,-24026.426255,-24008.83555,38,4.850079849999999,0.464853,0.0007326763084100806
12,Sp019,Sp021,1,1,0.00313973,0.00629699,0.0,0.0,0.0,0.0,0.004864,0.007117,0.0,0.0,-24026.753632,-24008.83555,38,4.850079849999999,0.464853,0.0007463119967932031
13,N71,Sp021,2,1,0.00251141,0.00629699,0.00187826,0.0,0.0025054300000000003,0.0,0.004228,0.007128,0.00188,0.0,-24026.754557,-24008.83555,38,4.850079849999999,0.464853,0.0007463505242760689
16,N66,Sp022,4,1,1.1e-07,0.013756,0.00629699,0.0,0.01696844,0.0,1e-06,0.016598,0.006301,0.0,-24019.014183,-24008.83555,38,4.850079849999999,0.464853,0.0004239536306874132
17,Sp020,Sp022,1,1,0.00882656,0.013756,0.0,0.0,0.0,0.0,0.007602,0.016591,0.0,0.0,-24014.381062,-24008.83555,38,4.850079849999999,0.464853,0.00023097796594306712
18,Sp022,Sp023,1,1,0.013756,0.0310643,0.0,0.0,0.0,0.0,0.013107,0.036395,0.0,0.0,-24020.236414,-24008.83555,38,4.850079849999999,0.464853,0.0004748611808455356
19,N65,Sp023,5,1,0.00278921,0.0310643,0.00882656,0.0,0.025795110000000003,0.0,0.002982,0.036557,0.007948,0.0,-24022.710712,-24008.83555,38,4.850079849999999,0.464853,0.0005779189903277202
20,Sp023,Sp026,1,1,0.0310643,0.056476,0.0,0.0,0.0,0.0,0.03456,0.076236,0.0,0.0,-24094.798463,-24008.83555,38,4.850079849999999,0.464853,0.003580469899132588
21,N63,Sp026,6,1,0.00651535,0.056476,0.013756,0.0,0.04234032,0.0,0.010198,0.07427,0.013113,0.0,-24092.808555,-24008.83555,38,4.850079849999999,0.464853,0.0034975875787528494
22,Sp026,Sp025,1,1,0.056476,0.0584785,0.0,0.0,0.0,0.0,0.058214,0.057574,0.0,0.0,-24010.150889,-24008.83555,38,4.850079849999999,0.464853,5.478562245392516e-05
23,N55,Sp025,7,1,0.0257074,0.0584785,0.0310643,0.0,0.07991997,0.0,0.027601,0.057868,0.031172,0.0,-24010.798966,-24008.83555,38,4.850079849999999,0.464853,8.177889327076038e-05
24,N48,N45,8,3,0.00239179,0.0161484,0.056476,0.0754447,0.16210337,0.18804957,0.004549,0.01666,0.056694,0.074939,-24015.405745,-24008.83555,38,4.850079849999999,0.464853,0.00027365737860619567
25,Sp025,N45,1,3,0.0584785,0.0161484,0.0,0.0754447,0.0,0.18804957,0.061075,0.017018,0.0,0.075336,-24015.583774,-24008.83555,38,4.850079849999999,0.464853,0.00028107252373591384
26,Sp016,Sp015,1,1,0.0540799,0.0754447,0.0,0.0,0.0,0.0,0.055032,0.063404,0.0,0.0,-23991.912008,-24008.83555,38,4.850079849999999,0.464853,-0.000704888080255123
27,Sp014,Sp015,1,1,0.0564185,0.0754447,0.0,0.0,0.0,0.0,0.057215,0.073367,0.0,0.0,-24007.603233,-24008.83555,38,4.850079849999999,0.464853,-5.132764550083094e-05
28,N50,N44,2,9,0.00210647,0.00324004,0.0564185,0.0584785,0.1104984,0.22297366000000002,0.014485,0.00376,0.058227,0.058494,-24028.155927,-24008.83555,38,4.850079849999999,0.464853,0.0008047194525433787
29,Sp015,N44,1,9,0.0754447,0.00324004,0.0,0.0584785,0.0,0.22297366000000002,0.087193,0.003762,0.0,0.058498,-24028.15585,-24008.83555,38,4.850079849999999,0.464853,0.0008047162453907269
30,N44,N38,9,6,0.00324004,0.0143991,0.0584785,0.0648478,0.22297366000000002,0.25481144,0.002223,0.009792,0.058424,0.065293,-23996.237869,-24008.83555,38,4.850079849999999,0.464853,-0.0005247102040315023
33,N39,Sp006,12,1,1e-07,0.0710488,0.0754447,0.0,0.43041167,0.0,1e-06,0.067949,0.075501,0.0,-24003.303539,-24008.83555,38,4.850079849999999,0.464853,-0.00023041563129867535
34,N34,N33,18,3,5.9e-07,0.0172878,0.0754447,0.107221,0.69962231,0.2359356,1e-06,0.015053,0.075474,0.108049,-24004.281119,-24008.83555,38,4.850079849999999,0.464853,-0.00018969812136517705
