idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp036,N53,1,5,0.00381918,0.0145207,0.0,0.00556971,0.0,0.01314561,0.006233,0.023796,0.0,0.00517,-4909.742713,-4893.35376,37,1.5084658799999997,0.126216,0.003349227095324429
1,Sp001,N53,1,5,0.0219808,0.0145207,0.0,0.00556971,0.0,0.01314561,0.023093,0.025024,0.0,0.005176,-4910.339074,-4893.35376,37,1.5084658799999997,0.126216,0.0034710987255498304
6,N66,Sp005,3,1,3.8e-07,0.00556971,0.00346731,0.0,0.0034674899999999997,0.0,1e-06,0.007392,0.003469,0.0,-4895.559493,-4893.35376,37,1.5084658799999997,0.126216,0.0004507609930085623
7,Sp016,Sp005,1,1,0.00180952,0.00556971,0.0,0.0,0.0,0.0,1e-06,0.007394,0.0,0.0,-4890.349219,-4893.35376,37,1.5084658799999997,0.126216,-0.0006140044532566648
8,N64,N52,4,2,0.00229851,0.0136824,0.00346731,0.0219808,0.00527739,0.02579998,0.006986,0.019837,0.003475,0.020492,-4907.721538,-4893.35376,37,1.5084658799999997,0.126216,0.0029361821574085045
9,Sp005,N52,1,2,0.00556971,0.0136824,0.0,0.0219808,0.0,0.02579998,0.00897,0.0198,0.0,0.020492,-4907.721479,-4893.35376,37,1.5084658799999997,0.126216,0.0029361701002381343
10,N52,Sp027,2,1,0.0136824,0.0291446,0.0219808,0.0,0.02579998,0.0,0.019487,0.029728,0.022094,0.0,-4900.080094,-4893.35376,37,1.5084658799999997,0.126216,0.0013745856788412436
11,N53,Sp027,5,1,0.0145207,0.0291446,0.00556971,0.0,0.01314561,0.0,0.02009,0.0258,0.005609,0.0,-4896.404622,-4893.35376,37,1.5084658799999997,0.126216,0.0006234705581556098
12,Sp027,Sp002,1,1,0.0291446,0.0304648,0.0,0.0,0.0,0.0,0.02822,0.029923,0.0,0.0,-4892.778924,-4893.35376,37,1.5084658799999997,0.126216,-0.00011747280662573176
13,N45,Sp002,7,1,0.00641766,0.0304648,0.0219808,0.0,0.06714869,0.0,0.006369,0.029452,0.021976,0.0,-4893.12959,-4893.35376,37,1.5084658799999997,0.126216,-4.58111166686655e-05
14,N36,N31,8,2,1.4e-07,0.00557801,0.0291446,0.0352864,0.10271095000000001,0.0668036,1e-06,0.009109,0.029258,0.035893,-4896.845118,-4893.35376,37,1.5084658799999997,0.126216,0.0007134898009091046
15,Sp002,N31,1,2,0.0304648,0.00557801,0.0,0.0352864,0.0,0.0668036,0.030592,0.009108,0.0,0.035893,-4896.844902,-4893.35376,37,1.5084658799999997,0.126216,0.0007134456594039206
16,Sp024,N30,1,9,0.0315172,0.00446176,0.0,0.0304648,0.0,0.13317589000000002,0.036487,0.005317,0.0,0.030479,-4895.940194,-4893.35376,37,1.5084658799999997,0.126216,0.000528560600123018
17,Sp018,N30,1,9,0.0352864,0.00446176,0.0,0.0304648,0.0,0.13317589000000002,0.038376,0.004477,0.0,0.028994,-4894.120823,-4893.35376,37,1.5084658799999997,0.126216,0.00015675608950868795
18,N30,Sp015,9,1,0.00446176,0.0272724,0.0304648,0.0,0.13317589000000002,0.0,0.005736,0.029433,0.030982,0.0,-4897.202222,-4893.35376,37,1.5084658799999997,0.126216,0.0007864671529490905
19,N31,Sp015,2,1,0.00557801,0.0272724,0.0352864,0.0,0.0668036,0.0,0.004801,0.028929,0.03393,0.0,-4894.411979,-4893.35376,37,1.5084658799999997,0.126216,0.0002162563860906028
