idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp027,Sp002,1,1,0.00623384,0.07908,0.0,0.0,0.0,0.0,0.005816,0.134921,0.0,0.0,-8535.910755,-8492.23124,48,3.1296028299999996,0.171341,0.005143467454614629
1,Sp010,Sp002,1,1,0.00701732,0.07908,0.0,0.0,0.0,0.0,0.007994,0.13719,0.0,0.0,-8536.928498,-8492.23124,48,3.1296028299999996,0.171341,0.005263311459239086
2,N88,Sp033,2,1,0.0670632,0.127534,0.00701732,0.0,0.01325116,0.0,0.078348,0.12357,0.007678,0.0,-8496.624284,-8492.23124,48,3.1296028299999996,0.171341,0.0005173015048516712
3,Sp002,Sp033,1,1,0.07908,0.127534,0.0,0.0,0.0,0.0,0.090576,0.129428,0.0,0.0,-8497.010267,-8492.23124,48,3.1296028299999996,0.171341,0.0005627528107678445
4,Sp033,Sp044,1,1,0.127534,0.0895198,0.0,0.0,0.0,0.0,0.127677,0.08762,0.0,0.0,-8491.805848,-8492.23124,48,3.1296028299999996,0.171341,-5.009190022941394e-05
5,N83,Sp044,3,1,0.0192001,0.0895198,0.07908,0.0,0.15939436,0.0,0.020353,0.088819,0.079203,0.0,-8492.338498,-8492.23124,48,3.1296028299999996,0.171341,1.2630131819161538e-05
6,Sp044,N61,1,4,0.0895198,0.00572804,0.0,0.102161,0.0,0.34103795,0.097394,0.009365,0.0,0.101946,-8495.060491,-8492.23124,48,3.1296028299999996,0.171341,0.0003331575554225043
7,N73,N61,4,4,0.00251668,0.00572804,0.127534,0.102161,0.30612846,0.34103795,0.004738,0.002774,0.129614,0.101413,-8488.594435,-8492.23124,48,3.1296028299999996,0.171341,-0.0004282508209230389
8,Sp037,Sp018,1,1,0.102161,0.0977961,0.0,0.0,0.0,0.0,0.089075,0.11921,0.0,0.0,-8493.176219,-8492.23124,48,3.1296028299999996,0.171341,0.00011127570285070272
9,Sp030,Sp018,1,1,0.00772695,0.0977961,0.0,0.0,0.0,0.0,0.014292,0.11844,0.0,0.0,-8500.523282,-8492.23124,48,3.1296028299999996,0.171341,0.0009764267794480062
