idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp005,Sp020,1,1,9e-08,0.00891817,0.0,0.0,0.0,0.0,1e-06,0.011932,0.0,0.0,-3180.013654,-3169.05333,21,0.6849784399999999,0.232478,0.0034585482977655263
1,Sp003,Sp020,1,1,0.0014754,0.00891817,0.0,0.0,0.0,0.0,0.001475,0.011932,0.0,0.0,-3180.013655,-3169.05333,21,0.6849784399999999,0.232478,0.0034585486133172807
7,Sp018,Sp007,1,1,0.00742747,0.015028,0.0,0.0,0.0,0.0,0.005993,0.015033,0.0,0.0,-3167.187279,-3169.05333,21,0.6849784399999999,0.232478,-0.0005888354677830462
8,N30,Sp010,5,1,8e-08,0.0473034,0.0144634,0.0,0.03523839,0.0,1e-06,0.071658,0.015546,0.0,-3213.39421,-3169.05333,21,0.6849784399999999,0.232478,0.013991837745437921
9,Sp007,Sp010,1,1,0.015028,0.0473034,0.0,0.0,0.0,0.0,0.015847,0.072707,0.0,0.0,-3213.753945,-3169.05333,21,0.6849784399999999,0.232478,0.014105352717431153
10,N26,N25,6,2,0.0281073,0.0112569,0.015028,0.0149957,0.05026647,0.0284929,0.031549,0.011587,0.015046,0.015052,-3170.987431,-3169.05333,21,0.6849784399999999,0.232478,0.0006103087574104749
11,Sp010,N25,1,2,0.0473034,0.0112569,0.0,0.0149957,0.0,0.0284929,0.050696,0.011585,0.0,0.01505,-3170.98735,-3169.05333,21,0.6849784399999999,0.232478,0.0006102831977269663
12,Sp014,N24,1,7,0.0149957,0.00403828,0.0,0.0473034,0.0,0.12567717,0.024904,0.004592,0.0,0.047774,-3189.981343,-3169.05333,21,0.6849784399999999,0.232478,0.006603868985694771
13,Sp001,N24,1,7,0.0134972,0.00403828,0.0,0.0473034,0.0,0.12567717,0.023462,0.004592,0.0,0.047773,-3189.981454,-3169.05333,21,0.6849784399999999,0.232478,0.006603904011927759
14,N24,Sp015,7,1,0.00403828,0.0441229,0.0473034,0.0,0.12567717,0.0,0.004859,0.045245,0.047317,0.0,-3170.985668,-3169.05333,21,0.6849784399999999,0.232478,0.0006097524398554749
15,N25,Sp015,2,1,0.0112569,0.0441229,0.0149957,0.0,0.0284929,0.0,0.011732,0.045244,0.015002,0.0,-3170.985772,-3169.05333,21,0.6849784399999999,0.232478,0.0006097852572268987
16,Sp015,Sp008,1,1,0.0441229,0.0341078,0.0,0.0,0.0,0.0,0.044282,0.035298,0.0,0.0,-3169.506687,-3169.05333,21,0.6849784399999999,0.232478,0.00014305754835620548
17,N21,Sp008,9,1,0.00178248,0.0341078,0.0473034,0.0,0.16946525,0.0,0.001773,0.033594,0.04732,0.0,-3168.758157,-3169.05333,21,0.6849784399999999,0.232478,-9.314232651300223e-05
18,N16,N15,10,3,0.00128961,0.00823133,0.0473034,0.232478,0.21537063,0.29313990999999995,1e-06,0.008317,0.047041,0.232137,-3167.032924,-3169.05333,21,0.6849784399999999,0.232478,-0.0006375424423671953
19,Sp008,N15,1,3,0.0341078,0.00823133,0.0,0.232478,0.0,0.29313990999999995,0.031412,0.00983,0.0,0.232441,-3167.613993,-3169.05333,21,0.6849784399999999,0.232478,-0.00045418516197714173
20,Sp006,Sp002,1,1,0.00790251,0.0417566,0.0,0.0,0.0,0.0,0.016782,0.038691,0.0,0.0,-3173.049238,-3169.05333,21,0.6849784399999999,0.232478,0.001260915353544988
21,Sp000,Sp002,1,1,0.232478,0.0417566,0.0,0.0,0.0,0.0,0.242159,0.043493,0.0,0.0,-3173.551243,-3169.05333,21,0.6849784399999999,0.232478,0.001419323858459554
22,N18,N14,2,11,0.0110028,0.00214916,0.232478,0.0473034,0.24038051,0.25076804,0.012235,0.006475,0.230684,0.047918,-3172.544841,-3169.05333,21,0.6849784399999999,0.232478,0.0011017520490889682
23,Sp002,N14,1,11,0.0417566,0.00214916,0.0,0.0473034,0.0,0.25076804,0.042061,0.00585,0.0,0.047844,-3170.556263,-3169.05333,21,0.6849784399999999,0.232478,0.00047425298456550653
24,N14,Sp012,11,1,0.00214916,0.0172726,0.0473034,0.0,0.25076804,0.0,0.002858,0.028497,0.047361,0.0,-3189.875863,-3169.05333,21,0.6849784399999999,0.232478,0.006570584597893157
25,N15,Sp012,3,1,0.00823133,0.0172726,0.232478,0.0,0.29313990999999995,0.0,0.008316,0.030803,0.233806,0.0,-3196.365631,-3169.05333,21,0.6849784399999999,0.232478,0.008618441583625838
