idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
6,N26,N25,4,4,9e-08,0.00139293,0.00172818,0.0219581,0.0017284499999999999,0.02755371,0.001393,1e-06,0.001728,0.021959,-2543.368813,-2543.04142,21,0.7393181199999997,0.442527,0.00012874072652738355
7,Sp013,N25,1,4,0.00418926,0.00139293,0.0,0.0219581,0.0,0.02755371,0.005602,0.001395,0.0,0.021979,-2548.894924,-2543.04142,21,0.7393181199999997,0.442527,0.0023017729691560264
8,Sp015,Sp019,1,1,7e-08,0.0219581,0.0,0.0,0.0,0.0,1e-06,0.02652,0.0,0.0,-2553.630629,-2543.04142,21,0.7393181199999997,0.442527,0.004163993915600561
9,Sp014,Sp019,1,1,1e-08,0.0219581,0.0,0.0,0.0,0.0,1e-06,0.026519,0.0,0.0,-2553.630576,-2543.04142,21,0.7393181199999997,0.442527,0.00416397307441418
10,Sp019,Sp011,1,1,0.0219581,2.6e-07,0.0,0.0,0.0,0.0,0.021882,1e-06,0.0,0.0,-2541.047122,-2543.04142,21,0.7393181199999997,0.442527,-0.0007842176632734797
11,N33,Sp011,2,1,0.00422687,2.6e-07,7e-08,0.0,8e-08,0.0,0.005608,1e-06,1e-06,0.0,-2545.342291,-2543.04142,21,0.7393181199999997,0.442527,0.0009047713426547003
12,N28,N24,3,5,0.0013684,0.00139249,0.0219581,0.00418926,0.02618505,0.0059178,0.001357,0.001393,0.020461,0.004189,-2544.202913,-2543.04142,21,0.7393181199999997,0.442527,0.00045673381128022054
13,Sp011,N24,1,5,2.6e-07,0.00139249,0.0,0.00418926,0.0,0.0059178,1e-06,0.001395,0.0,0.002793,-2545.273725,-2543.04142,21,0.7393181199999997,0.442527,0.0008778091392628582
16,N22,Sp008,9,1,8e-08,9e-08,0.0219581,0.0,0.03625693,0.0,1e-06,0.001393,0.021959,0.0,-2544.592825,-2543.04142,21,0.7393181199999997,0.442527,0.0006100588798117802
17,Sp012,Sp008,1,1,0.00139208,9e-08,0.0,0.0,0.0,0.0,0.001392,0.001393,0.0,0.0,-2544.592823,-2543.04142,21,0.7393181199999997,0.442527,0.0006100580933518325
18,N16,Sp018,10,1,0.00139252,0.00651541,0.0219581,0.0,0.037649089999999996,0.0,1e-06,0.011525,0.02196,0.0,-2546.692025,-2543.04142,21,0.7393181199999997,0.442527,0.0014355271492195413
19,Sp008,Sp018,1,1,9e-08,0.00651541,0.0,0.0,0.0,0.0,1e-06,0.011536,0.0,0.0,-2549.486735,-2543.04142,21,0.7393181199999997,0.442527,0.002534490767358377
20,N12,N11,11,4,0.00525221,0.0111688,0.0219581,0.0247906,0.0390417,0.06747458,0.012539,0.053967,0.022251,0.028213,-2643.211947,-2543.04142,21,0.7393181199999997,0.442527,0.03939004933706497
21,Sp018,N11,1,4,0.00651541,0.0111688,0.0,0.0247906,0.0,0.06747458,0.007881,0.053956,0.0,0.028209,-2643.186642,-2543.04142,21,0.7393181199999997,0.442527,0.039380098653682215
22,Sp007,N15,1,2,0.0247906,0.0206869,0.0,0.0014012,0.0,0.00140128,0.028282,0.024875,0.0,0.001402,-2550.005056,-2543.04142,21,0.7393181199999997,0.442527,0.002738310097992801
23,Sp000,N15,1,2,0.0128096,0.0206869,0.0,0.0014012,0.0,0.00140128,0.015592,0.024853,0.0,0.001402,-2550.003146,-2543.04142,21,0.7393181199999997,0.442527,0.0027375590288261993
24,Sp002,N14,1,2,8e-08,0.0077862,0.0,0.0247906,0.0,0.0376002,0.002249,0.024124,0.0,0.027464,-2579.373168,-2543.04142,21,0.7393181199999997,0.442527,0.01428673072890809
25,Sp001,N14,1,2,0.0014012,0.0077862,0.0,0.0247906,0.0,0.0376002,0.001452,0.024121,0.0,0.027463,-2579.372953,-2543.04142,21,0.7393181199999997,0.442527,0.014286646184473093
26,N14,N10,2,12,0.0077862,0.0580294,0.0247906,0.0219581,0.0376002,0.05080932,0.00863,0.06456,0.025055,0.022024,-2554.326443,-2543.04142,21,0.7393181199999997,0.442527,0.004437608806230104
27,N15,N10,2,12,0.0206869,0.0580294,0.0014012,0.0219581,0.00140128,0.05080932,0.02158,0.063178,0.001404,0.02201,-2551.745683,-2543.04142,21,0.7393181199999997,0.442527,0.00342277673165075
28,N10,Sp020,12,1,0.0580294,0.442527,0.0219581,0.0,0.05080932,0.0,0.057594,0.436299,0.021944,0.0,-2541.911698,-2543.04142,21,0.7393181199999997,0.442527,-0.00044424050316889017
