idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
6,N12,Sp005,4,1,2.1e-07,0.00836048,0.0212947,0.0,0.03624452,0.0,1e-06,0.010023,0.021294,0.0,-2288.181175,-2285.1564,29,0.3950528500000002,0.0803264,0.0013236621353358213
7,Sp006,Sp005,1,1,0.00665341,0.00836048,0.0,0.0,0.0,0.0,0.004941,0.01002,0.0,0.0,-2284.532433,-2285.1564,29,0.3950528500000002,0.0803264,-0.00027305220771759576
8,N8,N7,5,20,0.00171285,0.00125935,0.0212947,0.0803264,0.04289814,0.30675134000000004,0.002524,0.004536,0.021332,0.08032,-2293.378696,-2285.1564,29,0.3950528500000002,0.0803264,0.0035981327142423905
9,Sp005,N7,1,20,0.00836048,0.00125935,0.0,0.0803264,0.0,0.30675134000000004,0.010795,0.004531,0.0,0.08032,-2293.378605,-2285.1564,29,0.3950528500000002,0.0803264,0.0035980928920226344
10,Sp028,N35,1,3,0.00164613,1.1e-07,0.0,0.00662088,0.0,0.01820444,0.003301,1e-06,0.0,0.006629,-2291.340586,-2285.1564,29,0.3950528500000002,0.0803264,0.002706241900991965
11,Sp001,N35,1,3,1e-08,1.1e-07,0.0,0.00662088,0.0,0.01820444,1e-06,0.001632,0.0,0.006655,-2289.225062,-2285.1564,29,0.3950528500000002,0.0803264,0.0017804741942390164
12,Sp025,Sp027,1,1,0.00163842,0.00662088,0.0,0.0,0.0,0.0,0.00338,0.010029,0.0,0.0,-2300.851161,-2285.1564,29,0.3950528500000002,0.0803264,0.006868134277373837
13,Sp008,Sp027,1,1,0.0049711,0.00662088,0.0,0.0,0.0,0.0,0.007067,0.009621,0.0,0.0,-2300.823137,-2285.1564,29,0.3950528500000002,0.0803264,0.00685587078416165
18,N28,N21,5,5,1.1e-07,9e-08,0.00662088,0.0049793,0.02149719,0.01490671,0.010047,1e-06,0.006654,0.005004,-2308.005002,-2285.1564,29,0.3950528500000002,0.0803264,0.009998703808632105
19,Sp009,N21,1,5,0.0271172,9e-08,0.0,0.0049793,0.0,0.01490671,0.03801,1e-06,0.0,0.005004,-2308.00497,-2285.1564,29,0.3950528500000002,0.0803264,0.009998689805214256
20,Sp023,Sp015,1,1,0.00166009,0.0049793,0.0,0.0,0.0,0.0,0.002454,0.005887,0.0,0.0,-2290.413608,-2285.1564,29,0.3950528500000002,0.0803264,0.0023005900165082756
21,Sp018,Sp015,1,1,0.00166068,0.0049793,0.0,0.0,0.0,0.0,0.002455,0.005887,0.0,0.0,-2290.4136,-2285.1564,29,0.3950528500000002,0.0803264,0.0023005865156538133
24,Sp010,N30,1,3,0.00163765,1e-07,0.0,0.0049793,0.0,0.00996048,0.004937,1e-06,0.0,0.004981,-2298.122282,-2285.1564,29,0.3950528500000002,0.0803264,0.005673958246358965
25,Sp004,N30,1,3,1e-08,1e-07,0.0,0.0049793,0.0,0.00996048,1e-06,0.003323,0.0,0.004995,-2299.823671,-2285.1564,29,0.3950528500000002,0.0803264,0.006418497657315821
28,N20,Sp013,6,1,0.010197,0.00675984,0.0271172,0.0,0.048614500000000005,0.0,0.010191,0.008337,0.027138,0.0,-2286.512312,-2285.1564,29,0.3950528500000002,0.0803264,0.0005933563234446402
29,N21,Sp013,5,1,9e-08,0.00675984,0.0049793,0.0,0.01490671,0.0,1e-06,0.008337,0.004983,0.0,-2286.512303,-2285.1564,29,0.3950528500000002,0.0803264,0.0005933523849834199
30,N14,N11,11,8,0.00158575,0.00455779,0.0271172,0.0803264,0.0737183,0.21447346,0.002454,0.008978,0.027146,0.080196,-2294.482613,-2285.1564,29,0.3950528500000002,0.0803264,0.0040812143098828075
31,Sp013,N11,1,8,0.00675984,0.00455779,0.0,0.0803264,0.0,0.21447346,0.00669,0.010021,0.0,0.081983,-2292.686925,-2285.1564,29,0.3950528500000002,0.0803264,0.003295409014455258
34,N52,Sp002,2,1,7e-08,0.0222035,0.00999338,0.0,0.01831607,0.0,1e-06,0.024084,0.01002,0.0,-2289.59783,-2285.1564,29,0.3950528500000002,0.0803264,0.0019436000091723742
