idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp007,Sp008,1,1,0.00041894,0.00081473,0.0,0.0,0.0,0.0,0.001632,0.000815,0.0,0.0,-2268.616374,-2261.63994,24,0.06862990999999997,0.0267285,0.0030846793411333875
1,Sp006,Sp008,1,1,0.00053389,0.00081473,0.0,0.0,0.0,0.0,0.001727,0.000815,0.0,0.0,-2268.616374,-2261.63994,24,0.06862990999999997,0.0267285,0.0030846793411333875
4,Sp016,N26,1,3,1e-08,5e-08,0.0,0.00152316,0.0,0.00329072,0.000815,1e-06,0.0,0.001523,-2268.114474,-2261.63994,24,0.06862990999999997,0.0267285,0.0028627607275099453
5,Sp015,N26,1,3,0.00163124,5e-08,0.0,0.00152316,0.0,0.00329072,0.00245,1e-06,0.0,0.001523,-2268.114474,-2261.63994,24,0.06862990999999997,0.0267285,0.0028627607275099453
10,N28,N20,2,5,1e-07,1.2e-07,1.1e-07,0.00163124,1.2000000000000002e-07,0.005736729999999999,0.000807,1e-06,1e-06,0.001632,-2268.421031,-2261.63994,24,0.06862990999999997,0.0267285,0.00299830706031829
11,Sp009,N20,1,5,0.00081478,1.2e-07,0.0,0.00163124,0.0,0.005736729999999999,0.001632,1e-06,0.0,0.001632,-2268.421044,-2261.63994,24,0.06862990999999997,0.0267285,0.002998312808359823
14,Sp011,Sp014,1,1,0.00081455,0.00081632,0.0,0.0,0.0,0.0,0.000815,0.002452,0.0,0.0,-2271.916137,-2261.63994,24,0.06862990999999997,0.0267285,0.0045436927506684105
15,Sp010,Sp014,1,1,9e-08,0.00081632,0.0,0.0,0.0,0.0,1e-06,0.002452,0.0,0.0,-2271.916139,-2261.63994,24,0.06862990999999997,0.0267285,0.0045436936349823685
16,Sp014,N12,1,8,0.00081632,1.1e-07,0.0,0.00163124,0.0,0.007358449999999999,0.003274,1e-06,0.0,0.001634,-2276.731319,-2261.63994,24,0.06862990999999997,0.0267285,0.006672759325253144
17,N23,N12,2,8,0.00163296,1.1e-07,0.00081455,0.00163124,0.00081464,0.007358449999999999,0.004097,1e-06,0.000816,0.001634,-2276.731318,-2261.63994,24,0.06862990999999997,0.0267285,0.006672758883096165
18,N12,N9,8,6,1.1e-07,0.0049218,0.00163124,0.0032327,0.007358449999999999,0.0080935,1e-06,0.005746,0.001632,0.003234,-2265.657538,-2261.63994,24,0.06862990999999997,0.0267285,0.001776409201545984
19,N13,N9,3,6,0.00244996,0.0049218,0.00163296,0.0032327,0.00326392,0.0080935,0.002452,0.005746,0.001634,0.003234,-2265.657555,-2261.63994,24,0.06862990999999997,0.0267285,0.0017764167182154338
20,Sp003,N33,1,2,0.00080596,0.00082275,0.0,6e-08,0.0,6.999999999999999e-08,0.000807,0.003306,0.0,1e-06,-2282.484494,-2261.63994,24,0.06862990999999997,0.0267285,0.00921656609937645
21,Sp002,N33,1,2,1e-08,0.00082275,0.0,6e-08,0.0,6.999999999999999e-08,1e-06,0.003306,0.0,1e-06,-2282.48449,-2261.63994,24,0.06862990999999997,0.0267285,0.009216564330748333
22,Sp001,N32,1,2,1e-08,0.00242297,0.0,0.00080596,0.0,0.00080597,1e-06,0.003234,0.0,0.000806,-2267.726084,-2261.63994,24,0.06862990999999997,0.0267285,0.0026910313584220997
23,Sp000,N32,1,2,6e-08,0.00242297,0.0,0.00080596,0.0,0.00080597,1e-06,0.003235,0.0,0.000806,-2267.726394,-2261.63994,24,0.06862990999999997,0.0267285,0.00269116842710152
28,Sp005,N8,1,11,0.0032327,0.00080506,0.0,0.00244996,0.0,0.013072439999999998,0.003238,0.005692,0.0,0.002453,-2296.576204,-2261.63994,24,0.06862990999999997,0.0267285,0.015447314748076096
29,N15,N8,5,11,1e-07,0.00080506,0.00242297,0.00244996,0.0048607,0.013072439999999998,1e-06,0.005692,0.002426,0.002453,-2296.576205,-2261.63994,24,0.06862990999999997,0.0267285,0.015447315190233075
30,N8,N7,11,4,0.00080506,0.00163467,0.00244996,0.00244921,0.013072439999999998,0.00571085,0.000894,0.003183,0.002451,0.00245,-2267.105825,-2261.63994,24,0.06862990999999997,0.0267285,0.0024167794808222526
31,N9,N7,6,4,0.0049218,0.00163467,0.0032327,0.00244921,0.0080935,0.00571085,0.005009,0.003182,0.003234,0.00245,-2267.105903,-2261.63994,24,0.06862990999999997,0.0267285,0.002416813969070648
34,Sp018,N10,1,2,1e-08,1.2e-07,0.0,0.00081542,0.0,0.00163043,1e-06,0.002453,0.0,0.000818,-2279.121653,-2261.63994,24,0.06862990999999997,0.0267285,0.0077296623086697555
