idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
2,Sp047,N95,1,2,0.00645859,2.3e-07,0.0,0.00643218,0.0,0.0096359,0.009728,1e-06,0.0,0.006437,-2569.201064,-2558.04128,58,0.41243739,0.121089,0.004362628581193164
3,N99,N95,2,2,1e-07,2.3e-07,9e-08,0.00643218,1e-07,0.0096359,1e-06,0.004286,1e-06,0.006449,-2570.171281,-2558.04128,58,0.41243739,0.121089,0.004741909794356404
6,N94,Sp057,3,1,0.00300254,8e-08,0.00645859,0.0,0.006458790000000001,0.0,0.004512,1e-06,0.006463,0.0,-2563.3765,-2558.04128,58,0.41243739,0.121089,0.0020856661077806905
7,N95,Sp057,2,1,2.3e-07,8e-08,0.00643218,0.0,0.0096359,0.0,0.002392,1e-06,0.006449,0.0,-2563.376541,-2558.04128,58,0.41243739,0.121089,0.0020856821356691215
12,N102,N97,2,4,2.5e-07,1e-07,0.0060433,0.00300365,0.00925438,0.00300387,0.000955,1e-06,0.006851,0.003007,-2564.397469,-2558.04128,58,0.41243739,0.121089,0.00248478750116186
13,Sp040,N97,1,4,1e-08,1e-07,0.0,0.00300365,0.0,0.00300387,0.001606,1e-06,0.0,0.003007,-2564.396978,-2558.04128,58,0.41243739,0.121089,0.002484595557425994
20,N96,Sp002,3,1,0.00300554,1e-08,0.0060433,0.0,0.00925464,0.0,0.003006,1e-06,0.006044,0.0,-2558.063895,-2558.04128,58,0.41243739,0.121089,8.840748652758144e-06
21,N97,Sp002,4,1,1e-07,1e-08,0.00300365,0.0,0.00300387,0.0,1e-06,1e-06,0.003004,0.0,-2558.063566,-2558.04128,58,0.41243739,0.121089,8.71213462196144e-06
22,N88,N78,7,6,0.00128411,8e-08,0.0060433,0.00645859,0.01526415,0.02059744,0.003003,1e-06,0.006044,0.006459,-2558.063895,-2558.04128,58,0.41243739,0.121089,8.840748652758144e-06
23,Sp002,N78,1,6,1e-08,8e-08,0.0,0.00645859,0.0,0.02059744,1e-06,1e-06,0.0,0.006459,-2558.063701,-2558.04128,58,0.41243739,0.121089,8.764909376334283e-06
28,N80,N70,2,14,8e-08,1.2e-07,1e-08,0.00645859,2e-08,0.03885787,1e-06,0.003005,1e-06,0.006464,-2565.450502,-2558.04128,58,0.41243739,0.121089,0.0028964434850716043
29,Sp018,N70,1,14,0.0031922,1.2e-07,0.0,0.00645859,0.0,0.03885787,0.001662,0.003005,0.0,0.006463,-2564.151128,-2558.04128,58,0.41243739,0.121089,0.002388486866013381
30,N70,N63,14,5,1.2e-07,0.00486023,0.00645859,0.121089,0.03885787,0.21878151,1e-06,0.003022,0.006462,0.123251,-2556.041873,-2558.04128,58,0.41243739,0.121089,-0.0007816163936180858
31,N71,N63,3,5,0.00300329,0.00486023,0.0031922,0.121089,0.0031923,0.21878151,0.003007,0.004925,0.003196,0.122962,-2560.336941,-2558.04128,58,0.41243739,0.121089,0.0008974292236597954
32,Sp050,N73,1,3,0.0450225,0.00344334,0.0,0.0197521,0.0,0.04040064,0.054099,0.002604,0.0,0.020206,-2560.123653,-2558.04128,58,0.41243739,0.121089,0.0008140498029805792
33,Sp000,N73,1,3,0.121089,0.00344334,0.0,0.0197521,0.0,0.04040064,0.130411,0.003446,0.0,0.019865,-2560.756688,-2558.04128,58,0.41243739,0.121089,0.0010615184442997047
34,Sp042,Sp039,1,1,0.00449151,0.012521,0.0,0.0,0.0,0.0,0.007107,0.013806,0.0,0.0,-2563.753003,-2558.04128,58,0.41243739,0.121089,0.0022328502063891217
35,Sp004,Sp039,1,1,0.0197521,0.012521,0.0,0.0,0.0,0.0,0.017339,0.01212,0.0,0.0,-2555.085998,-2558.04128,58,0.41243739,0.121089,-0.0011552909732558724
36,N84,N72,2,2,0.00363603,0.00882603,0.0197521,0.121089,0.024243610000000002,0.1661115,0.004148,0.00835,0.01808,0.121289,-2558.859559,-2558.04128,58,0.41243739,0.121089,0.0003198849863752297
37,Sp039,N72,1,2,0.012521,0.00882603,0.0,0.121089,0.0,0.1661115,0.014579,0.009748,0.0,0.121048,-2560.698561,-2558.04128,58,0.41243739,0.121089,0.0010387951988015765
38,N72,N62,2,17,0.00882603,0.00150045,0.121089,0.00645859,0.1661115,0.04505358,0.009872,0.001453,0.123245,0.006472,-2562.471102,-2558.04128,58,0.41243739,0.121089,0.0017317242042317856
