idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
2,Sp007,Sp004,1,1,0.00132766,1.3e-07,0.0,0.0,0.0,0.0,0.004274,1e-06,0.0,0.0,-1536.317183,-1536.31418,10,0.07269678,0.0295834,1.9546783067739255e-06
3,Sp006,Sp004,1,1,0.0104975,1.3e-07,0.0,0.0,0.0,0.0,0.010501,1e-06,0.0,0.0,-1536.317142,-1536.31418,10,0.07269678,0.0295834,1.927991057157983e-06
4,N14,N10,2,2,0.00294611,3e-07,0.0104975,0.00202692,0.01182516,0.00202722,0.00643,1e-06,0.010508,0.002028,-1541.867594,-1536.31418,10,0.07269678,0.0295834,0.0036147645268756
5,Sp004,N10,1,2,1.3e-07,3e-07,0.0,0.00202692,0.0,0.00202722,0.001971,1e-06,0.0,0.002028,-1541.867559,-1536.31418,10,0.07269678,0.0295834,0.003614741745077136
6,N10,Sp000,2,1,3e-07,0.00778005,0.00202692,0.0,0.00202722,0.0,1e-06,0.009747,0.002028,0.0,-1540.593855,-1536.31418,10,0.07269678,0.0295834,0.0027856769505310414
7,N11,Sp000,3,1,0.00213013,0.00778005,0.0104975,0.0,0.014771399999999999,0.0,0.002132,0.009747,0.010504,0.0,-1540.593895,-1536.31418,10,0.07269678,0.0295834,0.0027857029868720577
8,N6,N5,5,2,0.00213172,1.3e-07,0.0104975,2.9e-07,0.018929050000000003,3e-07,0.004273,1e-06,0.010503,1e-06,-1540.500773,-1536.31418,10,0.07269678,0.0295834,0.002725089083015495
9,Sp000,N5,1,2,0.00778005,1.3e-07,0.0,2.9e-07,0.0,3e-07,0.009745,1e-06,0.0,1e-06,-1540.500699,-1536.31418,10,0.07269678,0.0295834,0.0027250409157844667
12,N4,Sp009,6,1,0.00203573,0.0295834,0.0104975,0.0,0.028840820000000003,0.0,0.002038,0.033815,0.010516,0.0,-1540.510858,-1536.31418,10,0.07269678,0.0295834,0.0027316534955109375
13,N5,Sp009,2,1,1.3e-07,0.0295834,2.9e-07,0.0,3e-07,0.0,1e-06,0.033815,1e-06,0.0,-1540.510861,-1536.31418,10,0.07269678,0.0295834,0.0027316554482364397
