idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp011,Sp007,1,1,0.00259238,0.00119188,0.0,0.0,0.0,0.0,0.003891,0.001192,0.0,0.0,-1664.169982,-1659.56161,16,0.06649230999999999,0.0109042,0.002776861053082517
1,Sp008,Sp007,1,1,0.00119457,0.00119188,0.0,0.0,0.0,0.0,0.00239,0.001192,0.0,0.0,-1664.169983,-1659.56161,16,0.06649230999999999,0.0109042,0.002776861655651355
5,N13,N9,3,5,6e-08,1.7e-07,0.00259238,0.0109042,0.00617076,0.02227212,1e-06,1e-06,0.002593,0.009673,-1659.116168,-1659.56161,16,0.06649230999999999,0.0109042,-0.00026840943856248716
8,Sp003,N20,1,2,1e-08,3.3e-07,0.0,0.0109042,0.0,0.012136949999999999,1e-06,0.00368,0.0,0.008324,-1665.352647,-1659.56161,16,0.06649230999999999,0.0109042,0.003489498048825051
9,Sp002,N20,1,2,0.00379027,3.3e-07,0.0,0.0109042,0.0,0.012136949999999999,0.005053,0.00388,0.0,0.008201,-1665.35015,-1659.56161,16,0.06649230999999999,0.0109042,0.0034879934346034986
10,N20,Sp004,2,1,3.3e-07,1e-08,0.0109042,0.0,0.012136949999999999,0.0,1e-06,0.001244,0.010912,0.0,-1661.137951,-1659.56161,16,0.06649230999999999,0.0109042,0.0009498538592971891
11,N21,Sp004,2,1,0.00380112,1e-08,0.00379027,0.0,0.00379028,0.0,0.006745,1e-06,0.003371,0.0,-1664.288916,-1659.56161,16,0.06649230999999999,0.0109042,0.002848526967311565
12,N14,N8,4,4,0.00254343,6e-08,0.0109042,0.00259238,0.01972868,0.00736302,1e-06,1e-06,0.010907,0.002593,-1652.633774,-1659.56161,16,0.06649230999999999,0.0109042,-0.004174497625309657
14,N8,N7,4,4,6e-08,8e-08,0.00259238,0.00603398,0.00736302,0.010806330000000001,0.001193,1e-06,0.002593,0.006035,-1661.1379,-1659.56161,16,0.06649230999999999,0.0109042,0.0009498231282898691
15,N9,N7,5,4,1.7e-07,8e-08,0.0109042,0.00603398,0.02227212,0.010806330000000001,1e-06,0.001179,0.010911,0.006038,-1665.938568,-1659.56161,16,0.06649230999999999,0.0109042,0.0038425557457912388
16,Sp009,Sp013,1,1,7e-08,0.00603398,0.0,0.0,0.0,0.0,1e-06,0.007247,0.0,0.0,-1664.081307,-1659.56161,16,0.06649230999999999,0.0109042,0.002723428267300032
17,Sp001,Sp013,1,1,1e-08,0.00603398,0.0,0.0,0.0,0.0,1e-06,0.007247,0.0,0.0,-1664.081298,-1659.56161,16,0.06649230999999999,0.0109042,0.0027234228441811734
18,Sp013,Sp010,1,1,0.00603398,0.00241218,0.0,0.0,0.0,0.0,0.007243,0.002413,0.0,0.0,-1663.450109,-1659.56161,16,0.06649230999999999,0.0109042,0.0023430880640822596
19,N17,Sp010,2,1,0.00118292,0.00241218,7e-08,0.0,8e-08,0.0,0.002363,0.002413,1e-06,0.0,-1663.449547,-1659.56161,16,0.06649230999999999,0.0109042,0.0023427494204327644
22,N6,Sp005,9,1,0.00143692,0.00118784,0.0109042,0.0,0.029635369999999998,0.0,0.001438,0.002389,0.010907,0.0,-1664.02265,-1659.56161,16,0.06649230999999999,0.0109042,0.002688083390890284
23,N7,Sp005,4,1,8e-08,0.00118784,0.00603398,0.0,0.010806330000000001,0.0,1e-06,0.002389,0.006036,0.0,-1664.022503,-1659.56161,16,0.06649230999999999,0.0109042,0.0026879948132808047
24,N4,Sp015,13,1,0.00144444,0.0095852,0.0109042,0.0,0.0418787,0.0,0.001524,0.016748,0.010923,0.0,-1678.808854,-1659.56161,16,0.06649230999999999,0.0109042,0.01159778816527344
25,Sp005,Sp015,1,1,0.00118784,0.0095852,0.0,0.0,0.0,0.0,0.001281,0.016749,0.0,0.0,-1678.809074,-1659.56161,16,0.06649230999999999,0.0109042,0.011597920730403034
