idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
6,Sp016,Sp005,1,1,0.0116349,1e-08,0.0,0.0,0.0,0.0,0.012819,1e-06,0.0,0.0,-1856.217396,-1851.57171,18,0.12903368,0.0813509,0.002509050000553351
7,Sp009,Sp005,1,1,8e-08,1e-08,0.0,0.0,0.0,0.0,0.001179,1e-06,0.0,0.0,-1856.217137,-1851.57171,18,0.12903368,0.0813509,0.0025089101193926508
16,Sp015,N10,1,9,0.0006573,8e-08,0.0,0.0116349,0.0,0.013916249999999998,0.00121,1e-06,0.0,0.011635,-1851.580753,-1851.57171,18,0.12903368,0.0813509,4.88395882869677e-06
17,Sp001,N10,1,9,1e-08,8e-08,0.0,0.0116349,0.0,0.013916249999999998,1e-06,1e-06,0.0,0.011635,-1851.580751,-1851.57171,18,0.12903368,0.0813509,4.882878665296049e-06
20,Sp013,Sp011,1,1,0.0022903,0.00125282,0.0,0.0,0.0,0.0,0.00229,0.001252,0.0,0.0,-1851.585769,-1851.57171,18,0.12903368,0.0813509,7.5930086445792685e-06
21,Sp012,Sp011,1,1,0.00118096,0.00125282,0.0,0.0,0.0,0.0,0.001181,0.001253,0.0,0.0,-1851.586567,-1851.57171,18,0.12903368,0.0813509,8.023993842571739e-06
22,N12,N8,2,11,0.00030513,8e-08,0.0022903,0.0116349,0.00347126,0.015125969999999997,0.001144,1e-06,0.00229,0.011635,-1851.582755,-1851.57171,18,0.12903368,0.0813509,5.965202395519065e-06
23,Sp011,N8,1,11,0.00125282,8e-08,0.0,0.0116349,0.0,0.015125969999999997,0.001254,1e-06,0.0,0.011635,-1851.582755,-1851.57171,18,0.12903368,0.0813509,5.965202395519065e-06
24,N8,Sp014,11,1,8e-08,0.0057444,0.0116349,0.0,0.015125969999999997,0.0,1e-06,0.008059,0.011644,0.0,-1859.837877,-1851.57171,18,0.12903368,0.0813509,0.004464405540091124
25,N9,Sp014,3,1,0.00083834,0.0057444,0.0022903,0.0,0.005029209999999999,0.0,0.000831,0.008059,0.002292,0.0,-1859.837878,-1851.57171,18,0.12903368,0.0813509,0.0044644060801728854
26,N6,Sp010,14,1,0.0022841,0.00447415,0.0116349,0.0,0.020993599999999994,0.0,0.003245,0.007079,0.011645,0.0,-1863.24143,-1851.57171,18,0.12903368,0.0813509,0.0063026022362375035
27,Sp014,Sp010,1,1,0.0057444,0.00447415,0.0,0.0,0.0,0.0,0.006726,0.007054,0.0,0.0,-1863.241517,-1851.57171,18,0.12903368,0.0813509,0.006302649223345496
28,N4,Sp017,15,1,0.00360217,0.00580023,0.0116349,0.0,0.029022099999999995,0.0,0.003662,0.010505,0.011653,0.0,-1858.459111,-1851.57171,18,0.12903368,0.0813509,0.003719759252532517
29,Sp010,Sp017,1,1,0.00447415,0.00580023,0.0,0.0,0.0,0.0,0.00463,0.010505,0.0,0.0,-1858.459375,-1851.57171,18,0.12903368,0.0813509,0.0037199018341017806
