idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp010,Sp005,1,1,0.00268787,0.120037,0.0,0.0,0.0,0.0,0.002715,0.157421,0.0,0.0,-3284.662015,-3260.0772,14,0.8051393100000002,0.21236,0.007541175712035195
1,Sp008,Sp005,1,1,0.0115471,0.120037,0.0,0.0,0.0,0.0,0.011734,0.157418,0.0,0.0,-3284.661561,-3260.0772,14,0.8051393100000002,0.21236,0.007541036451529343
2,N12,N9,2,6,0.0408139,0.0340274,0.0115471,0.0421528,0.01423497,0.18349274,0.053842,0.03204,0.011504,0.04301,-3265.136964,-3260.0772,14,0.8051393100000002,0.21236,0.0015520380928401424
3,Sp005,N9,1,6,0.120037,0.0340274,0.0,0.0421528,0.0,0.18349274,0.130867,0.034496,0.0,0.042878,-3265.761791,-3260.0772,14,0.8051393100000002,0.21236,0.0017436982780652333
4,Sp013,Sp012,1,1,0.00858726,0.0147362,0.0,0.0,0.0,0.0,0.002111,0.02004,0.0,0.0,-3259.451441,-3260.0772,14,0.8051393100000002,0.21236,-0.00019194606802563335
5,Sp007,Sp012,1,1,0.00622858,0.0147362,0.0,0.0,0.0,0.0,0.004499,0.021028,0.0,0.0,-3268.647516,-3260.0772,14,0.8051393100000002,0.21236,0.0026288690341442897
6,N22,Sp004,2,1,0.00699121,0.0350342,0.00858726,0.0,0.01481584,0.0,0.008904,0.049523,0.010006,0.0,-3284.942267,-3260.0772,14,0.8051393100000002,0.21236,0.0076271405474691596
7,Sp012,Sp004,1,1,0.0147362,0.0350342,0.0,0.0,0.0,0.0,0.019237,0.04992,0.0,0.0,-3285.049739,-3260.0772,14,0.8051393100000002,0.21236,0.007660106637965465
8,N18,N15,3,2,0.0234952,0.00833909,0.0147362,0.0421528,0.03654325,0.0674554,0.030181,0.012501,0.01465,0.043401,-3268.807695,-3260.0772,14,0.8051393100000002,0.21236,0.002678002533191481
9,Sp004,N15,1,2,0.0350342,0.00833909,0.0,0.0421528,0.0,0.0674554,0.04076,0.012485,0.0,0.043386,-3268.809279,-3260.0772,14,0.8051393100000002,0.21236,0.0026784884112559925
10,Sp006,N14,1,4,0.0253026,0.0126256,0.0,0.0350342,0.0,0.09507265000000001,0.03026,0.016795,0.0,0.035679,-3265.277331,-3260.0772,14,0.8051393100000002,0.21236,0.0015950944351868725
11,Sp001,N14,1,4,0.0421528,0.0126256,0.0,0.0350342,0.0,0.09507265000000001,0.03928,0.015748,0.0,0.036126,-3263.015237,-3260.0772,14,0.8051393100000002,0.21236,0.0009012170018550158
12,N14,N8,4,3,0.0126256,0.018879,0.0350342,0.120037,0.09507265000000001,0.17508587,0.015865,0.045642,0.03409,0.116646,-3302.927587,-3260.0772,14,0.8051393100000002,0.21236,0.013143979228467335
13,N15,N8,2,3,0.00833909,0.018879,0.0421528,0.120037,0.0674554,0.17508587,0.010773,0.043258,0.040356,0.116022,-3301.241228,-3260.0772,14,0.8051393100000002,0.21236,0.012626703441255835
14,N8,N7,3,2,0.018879,0.00346632,0.120037,0.0412372,0.17508587,0.0755996,0.024258,0.008932,0.12019,0.041956,-3262.123782,-3260.0772,14,0.8051393100000002,0.21236,0.0006277710233364854
15,N9,N7,6,2,0.0340274,0.00346632,0.0421528,0.0412372,0.18349274,0.0755996,0.031547,0.008397,0.041281,0.041612,-3260.57498,-3260.0772,14,0.8051393100000002,0.21236,0.0001526896356931956
16,Sp003,N6,1,9,0.0343624,0.0108629,0.0,0.120037,0.0,0.41148501,0.034709,0.013139,0.0,0.120019,-3260.419951,-3260.0772,14,0.8051393100000002,0.21236,0.00010513585383796434
17,Sp002,N6,1,9,0.0412372,0.0108629,0.0,0.120037,0.0,0.41148501,0.039138,0.012926,0.0,0.119403,-3259.821811,-3260.0772,14,0.8051393100000002,0.21236,-7.833832892067021e-05
18,N6,Sp000,9,1,0.0108629,0.21236,0.120037,0.0,0.41148501,0.0,0.008129,0.232389,0.12019,0.0,-3263.540714,-3260.0772,14,0.8051393100000002,0.21236,0.0010624024486291404
19,N7,Sp000,2,1,0.00346632,0.21236,0.0412372,0.0,0.0755996,0.0,0.003404,0.230916,0.040923,0.0,-3264.601593,-3260.0772,14,0.8051393100000002,0.21236,0.0013878177486102755
20,N4,Sp011,11,1,0.026545,0.00143673,0.120037,0.0,0.50141383,0.0,0.082032,0.001304,0.119988,0.0,-3278.653949,-3260.0772,14,0.8051393100000002,0.21236,0.005698254323547871
21,Sp000,Sp011,1,1,0.21236,0.00143673,0.0,0.0,0.0,0.0,0.271589,0.001424,0.0,0.0,-3278.656409,-3260.0772,14,0.8051393100000002,0.21236,0.005699008906905638
