idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
2,N20,N15,2,2,5e-08,9e-08,1.2e-07,0.00524455,1.3e-07,0.00806496,1e-06,0.003236,1e-06,0.005264,-2851.22813,-2833.26456,15,0.10343647999999997,0.0440058,0.006340237425621803
3,Sp006,N15,1,2,1e-08,9e-08,0.0,0.00524455,0.0,0.00806496,1e-06,0.003236,0.0,0.005264,-2851.22813,-2833.26456,15,0.10343647999999997,0.0440058,0.006340237425621803
6,N14,N11,3,3,0.00282255,0.00070458,1.2e-07,0.00393693,1.9e-07,0.007361449999999999,0.004156,0.001553,1e-06,0.003942,-2852.157038,-2833.26456,15,0.10343647999999997,0.0440058,0.006668095266048771
7,N15,N11,2,3,9e-08,0.00070458,0.00524455,0.00393693,0.00806496,0.007361449999999999,1e-06,0.003545,0.005258,0.003948,-2855.758366,-2833.26456,15,0.10343647999999997,0.0440058,0.00793918306026457
8,Sp010,Sp008,1,1,0.00393693,0.0021141,0.0,0.0,0.0,0.0,0.004501,0.002819,0.0,0.0,-2839.135027,-2833.26456,15,0.10343647999999997,0.0440058,0.0020719798224560202
9,Sp009,Sp008,1,1,1e-08,0.0021141,0.0,0.0,0.0,0.0,1e-06,0.00282,0.0,0.0,-2839.134863,-2833.26456,15,0.10343647999999997,0.0440058,0.0020719219386982164
10,N16,N10,2,5,0.00131041,0.00282701,0.00393693,0.00524455,0.00393694,0.01088779,0.001598,0.003355,0.003836,0.005244,-2837.104485,-2833.26456,15,0.10343647999999997,0.0440058,0.0013553005441891265
11,Sp008,N10,1,5,0.0021141,0.00282701,0.0,0.00524455,0.0,0.01088779,0.002295,0.003353,0.0,0.005244,-2837.104479,-2833.26456,15,0.10343647999999997,0.0440058,0.0013552984264907507
12,N10,N9,5,3,0.00282701,0.00282762,0.00524455,0.00140955,0.01088779,0.00384861,0.003327,0.003752,0.005258,0.00141,-2844.358549,-2833.26456,15,0.10343647999999997,0.0440058,0.003915620573039591
13,N11,N9,3,3,0.00070458,0.00282762,0.00393693,0.00140955,0.007361449999999999,0.00384861,0.001906,0.003752,0.003943,0.00141,-2844.35856,-2833.26456,15,0.10343647999999997,0.0440058,0.0039156244554868005
14,Sp003,Sp001,1,1,0.00102953,0.00140944,0.0,0.0,0.0,0.0,0.001245,0.001974,0.0,0.0,-2838.880785,-2833.26456,15,0.10343647999999997,0.0440058,0.001982245173743944
15,Sp002,Sp001,1,1,9e-08,0.00140944,0.0,0.0,0.0,0.0,0.000849,0.00197,0.0,0.0,-2838.880544,-2833.26456,15,0.10343647999999997,0.0440058,0.0019821601128558308
16,N12,N8,2,8,0.00140955,0.00212144,0.00102953,0.00524455,0.00102962,0.02178083,0.001617,0.00475,0.00103,0.005248,-2852.049098,-2833.26456,15,0.10343647999999997,0.0440058,0.006629997870724746
17,Sp001,N8,1,8,0.00140944,0.00212144,0.0,0.00524455,0.0,0.02178083,0.001616,0.00475,0.0,0.005248,-2852.049099,-2833.26456,15,0.10343647999999997,0.0440058,0.0066299982236744485
18,N8,Sp000,8,1,0.00212144,0.0440058,0.00524455,0.0,0.02178083,0.0,0.002174,0.046579,0.005251,0.0,-2838.90286,-2833.26456,15,0.10343647999999997,0.0440058,0.0019900365393340012
19,N9,Sp000,3,1,0.00282762,0.0440058,0.00140955,0.0,0.00384861,0.0,0.002881,0.046579,0.00141,0.0,-2838.902871,-2833.26456,15,0.10343647999999997,0.0440058,0.001990040421781051
20,N6,Sp012,11,1,0.00223903,0.00936239,0.00524455,0.0,0.030578499999999998,0.0,0.005631,0.010078,0.005248,0.0,-2847.322187,-2833.26456,15,0.10343647999999997,0.0440058,0.004961635845259766
21,Sp000,Sp012,1,1,0.0440058,0.00936239,0.0,0.0,0.0,0.0,0.047179,0.01033,0.0,0.0,-2846.620801,-2833.26456,15,0.10343647999999997,0.0440058,0.004714081836395805
22,N4,Sp014,12,1,0.00434925,0.002422,0.0440058,0.0,0.07682333,0.0,0.005988,0.00306,0.043434,0.0,-2844.001111,-2833.26456,15,0.10343647999999997,0.0440058,0.003789462922587068
23,Sp012,Sp014,1,1,0.00936239,0.002422,0.0,0.0,0.0,0.0,0.010906,0.002976,0.0,0.0,-2842.320317,-2833.26456,15,0.10343647999999997,0.0440058,0.0031962271112444527
