idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp003,N11,1,3,0.00786545,0.021609,0.0,0.0668512,0.0,0.11475969999999999,0.006174,0.043072,0.0,0.067362,-3450.39633,-3444.25131,10,1.1297414500000003,0.215643,0.0017841381034416827
1,Sp001,N11,1,3,0.0287723,0.021609,0.0,0.0668512,0.0,0.11475969999999999,0.025436,0.044233,0.0,0.067373,-3451.224965,-3444.25131,10,1.1297414500000003,0.215643,0.0020247230449626456
2,Sp007,Sp005,1,1,0.0236644,0.0130811,0.0,0.0,0.0,0.0,0.039799,0.051805,0.0,0.0,-3520.833776,-3444.25131,10,1.1297414500000003,0.215643,0.022234865898911375
3,Sp006,Sp005,1,1,0.011163,0.0130811,0.0,0.0,0.0,0.0,0.022604,0.052861,0.0,0.0,-3520.813223,-3444.25131,10,1.1297414500000003,0.215643,0.022228898564315275
4,N14,N10,2,2,0.0668512,0.0229764,0.0236644,0.0287723,0.034827399999999994,0.03663775,0.064387,0.04075,0.023524,0.028334,-3451.180096,-3444.25131,10,1.1297414500000003,0.215643,0.002011695830639009
5,Sp005,N10,1,2,0.0130811,0.0229764,0.0,0.0287723,0.0,0.03663775,0.016514,0.04068,0.0,0.028358,-3451.402862,-3444.25131,10,1.1297414500000003,0.215643,0.002076373457196946
6,N10,Sp000,2,1,0.0229764,0.100765,0.0287723,0.0,0.03663775,0.0,0.019169,0.192197,0.029667,0.0,-3463.212478,-3444.25131,10,1.1297414500000003,0.215643,0.005505163907450126
7,N11,Sp000,3,1,0.021609,0.100765,0.0668512,0.0,0.11475969999999999,0.0,0.018054,0.192283,0.067127,0.0,-3463.34555,-3444.25131,10,1.1297414500000003,0.215643,0.005543799880270612
8,N8,Sp004,5,1,0.0943884,0.187119,0.0668512,0.0,0.19598285,0.0,0.114834,0.338098,0.066646,0.0,-3518.496849,-3444.25131,10,1.1297414500000003,0.215643,0.021556365177081115
9,Sp000,Sp004,1,1,0.100765,0.187119,0.0,0.0,0.0,0.0,0.127873,0.338424,0.0,0.0,-3518.496461,-3444.25131,10,1.1297414500000003,0.215643,0.02155625252560333
10,N6,Sp002,6,1,0.215643,0.163938,0.100765,0.0,0.39113624999999996,0.0,0.240715,0.158264,0.101768,0.0,-3445.85459,-3444.25131,10,1.1297414500000003,0.215643,0.0004654944879732987
11,Sp004,Sp002,1,1,0.187119,0.163938,0.0,0.0,0.0,0.0,0.213675,0.154393,0.0,0.0,-3445.981598,-3444.25131,10,1.1297414500000003,0.215643,0.0005023698459447623
12,N4,Sp009,7,1,0.0322214,0.0570859,0.215643,0.0,0.79389825,0.0,0.058258,0.050427,0.220855,0.0,-3451.512914,-3444.25131,10,1.1297414500000003,0.215643,0.0021083258294528474
13,Sp002,Sp009,1,1,0.163938,0.0570859,0.0,0.0,0.0,0.0,0.210787,0.05656,0.0,0.0,-3453.087465,-3444.25131,10,1.1297414500000003,0.215643,0.002565479172308121
