idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp023,Sp014,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,-669.480434,-669.4607,67,0.15206286999999977,0.0111504,2.9477458497520877e-05
1,Sp022,Sp014,1,1,0.00182178,1e-08,0.0,0.0,0.0,0.0,0.003659,1e-06,0.0,0.0,-669.480434,-669.4607,67,0.15206286999999977,0.0111504,2.9477458497520877e-05
12,Sp025,Sp018,1,1,0.00356668,1e-08,0.0,0.0,0.0,0.0,0.007357,1e-06,0.0,0.0,-669.474629,-669.4607,67,0.15206286999999977,0.0111504,2.080629975751463e-05
13,Sp017,Sp018,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,-669.474494,-669.4607,67,0.15206286999999977,0.0111504,2.0604644903091932e-05
32,Sp031,Sp035,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,-669.477912,-669.4607,67,0.15206286999999977,0.0111504,2.5710247068979926e-05
33,Sp030,Sp035,1,1,1.9e-07,1e-08,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,-669.477912,-669.4607,67,0.15206286999999977,0.0111504,2.5710247068979926e-05
35,N89,Sp034,2,1,0.00340094,1e-08,1.9e-07,0.0,2.0000000000000002e-07,0.0,0.003377,1e-06,1e-06,0.0,-669.480069,-669.4607,67,0.15206286999999977,0.0111504,2.8932243520767265e-05
36,N74,N62,3,2,0.00169336,2.2e-07,0.00340094,0.0110797,0.00340115,0.01107971,0.003936,1e-06,0.003386,0.011081,-669.480066,-669.4607,67,0.15206286999999977,0.0111504,2.8927762301791412e-05
37,Sp034,N62,1,2,1e-08,2.2e-07,0.0,0.0110797,0.0,0.01107971,1e-06,1e-06,0.0,0.011081,-669.47993,-669.4607,67,0.15206286999999977,0.0111504,2.8724613707710097e-05
46,Sp052,Sp046,1,1,0.00188744,1e-08,0.0,0.0,0.0,0.0,0.003675,1e-06,0.0,0.0,-669.479489,-669.4607,67,0.15206286999999977,0.0111504,2.8065874516561983e-05
47,Sp051,Sp046,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,-669.479489,-669.4607,67,0.15206286999999977,0.0111504,2.8065874516561983e-05
74,N54,Sp008,15,1,2e-07,1e-08,0.00188744,0.0,0.003669649999999999,0.0,1e-06,0.003666,0.001924,0.0,-675.136681,-669.4607,67,0.15206286999999977,0.0111504,0.008478437942660382
