idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp008,Sp005,1,1,1e-08,0.00170605,0.0,0.0,0.0,0.0,1e-06,0.005141,0.0,0.0,-4953.13818,-4942.97903,26,1.8260719399999994,0.244026,0.0020552686827804523
1,Sp002,Sp005,1,1,7e-08,0.00170605,0.0,0.0,0.0,0.0,1e-06,0.005141,0.0,0.0,-4953.13818,-4942.97903,26,1.8260719399999994,0.244026,0.0020552686827804523
2,N46,Sp009,2,1,0.00341974,0.00170547,7e-08,0.0,8e-08,0.0,0.00514,0.001708,1e-06,0.0,-4947.333223,-4942.97903,26,1.8260719399999994,0.244026,0.000880884376318953
3,Sp005,Sp009,1,1,0.00170605,0.00170547,0.0,0.0,0.0,0.0,0.003419,0.001708,0.0,0.0,-4947.333513,-4942.97903,26,1.8260719399999994,0.244026,0.0008809430453924387
8,Sp007,Sp016,1,1,0.00512517,8e-08,0.0,0.0,0.0,0.0,0.005128,0.001708,0.0,0.0,-4946.103797,-4942.97903,26,1.8260719399999994,0.244026,0.000632162706140256
9,N41,Sp016,5,1,9e-08,8e-08,0.00341974,0.0,0.01024158,0.0,1e-06,0.001708,0.003422,0.0,-4946.103799,-4942.97903,26,1.8260719399999994,0.244026,0.0006321631107546929
10,N38,Sp004,6,1,0.00170308,0.0170962,0.00512517,0.0,0.01536684,0.0,1e-06,0.019196,0.005131,0.0,-4942.328388,-4942.97903,26,1.8260719399999994,0.244026,-0.00013162952868131354
11,Sp016,Sp004,1,1,8e-08,0.0170962,0.0,0.0,0.0,0.0,1e-06,0.019196,0.0,0.0,-4943.711086,-4942.97903,26,1.8260719399999994,0.244026,0.00014810016299013703
13,Sp004,Sp014,1,1,0.0170962,0.0279766,0.0,0.0,0.0,0.0,0.012852,0.027353,0.0,0.0,-4937.607551,-4942.97903,26,1.8260719399999994,0.244026,-0.0010866886076998717
14,N26,N23,8,2,2.7e-07,0.021101,0.0170962,0.100721,0.036169759999999995,0.1851334,0.000256,0.027052,0.015778,0.101302,-4948.414244,-4942.97903,26,1.8260719399999994,0.244026,0.0010995826539039915
15,Sp014,N23,1,2,0.0279766,0.021101,0.0,0.100721,0.0,0.1851334,0.024677,0.026497,0.0,0.101115,-4945.747869,-4942.97903,26,1.8260719399999994,0.244026,0.0005601559268600394
16,Sp022,N22,1,9,0.100721,0.00785361,0.0,0.0279766,0.0,0.06414663,0.120183,0.008959,0.0,0.028455,-4950.785849,-4942.97903,26,1.8260719399999994,0.244026,0.00157937530234666
17,Sp017,N22,1,9,0.0844124,0.00785361,0.0,0.0279766,0.0,0.06414663,0.105059,0.009231,0.0,0.028442,-4950.88877,-4942.97903,26,1.8260719399999994,0.244026,0.0016001969565303104
18,N22,N19,9,5,0.00785361,0.0149145,0.0279766,0.086555,0.06414663,0.26670664000000005,0.01611,0.03237,0.028329,0.087473,-4967.969514,-4942.97903,26,1.8260719399999994,0.244026,0.005055753594811411
19,N23,N19,2,5,0.021101,0.0149145,0.100721,0.086555,0.1851334,0.26670664000000005,0.025865,0.032195,0.101292,0.087472,-4967.970177,-4942.97903,26,1.8260719399999994,0.244026,0.005055887724451812
20,Sp020,Sp024,1,1,0.0551855,0.0427283,0.0,0.0,0.0,0.0,0.06113,0.045992,0.0,0.0,-4948.503674,-4942.97903,26,1.8260719399999994,0.244026,0.0011176749823272405
21,Sp013,Sp024,1,1,0.0174228,0.0427283,0.0,0.0,0.0,0.0,0.021243,0.04171,0.0,0.0,-4946.573978,-4942.97903,26,1.8260719399999994,0.244026,0.0007272836842279565
22,Sp024,N25,1,2,0.0427283,0.00698174,0.0,0.086555,0.0,0.12255590000000001,0.047769,0.010025,0.0,0.084602,-4948.970386,-4942.97903,26,1.8260719399999994,0.244026,0.0012120941569115945
23,N31,N25,2,2,0.0104617,0.00698174,0.0551855,0.086555,0.0726083,0.12255590000000001,0.015561,0.010035,0.055188,0.084615,-4948.970161,-4942.97903,26,1.8260719399999994,0.244026,0.0012120486378028935
24,Sp010,N24,1,3,0.0360009,0.0113707,0.0,0.0551855,0.0,0.1257983,0.039547,0.00876,0.0,0.055064,-4942.722375,-4942.97903,26,1.8260719399999994,0.244026,-5.192314157969168e-05
25,Sp000,N24,1,3,0.086555,0.0113707,0.0,0.0551855,0.0,0.1257983,0.089751,0.012495,0.0,0.054797,-4944.476632,-4942.97903,26,1.8260719399999994,0.244026,0.000302975592433266
26,N24,N18,3,11,0.0113707,0.0298436,0.0551855,0.100721,0.1257983,0.27823464,0.01392,0.036478,0.055092,0.101208,-4947.651034,-4942.97903,26,1.8260719399999994,0.244026,0.0009451798139633247
27,N25,N18,2,11,0.00698174,0.0298436,0.086555,0.100721,0.12255590000000001,0.27823464,0.008499,0.03865,0.087334,0.101295,-4949.394456,-4942.97903,26,1.8260719399999994,0.244026,0.001297886550006175
28,N18,N17,11,2,0.0298436,0.0202451,0.100721,0.0674526,0.27823464,0.0874892,0.032841,0.02299,0.10069,0.070693,-4946.352833,-4942.97903,26,1.8260719399999994,0.244026,0.0006825444695442087
29,N19,N17,5,2,0.0149145,0.0202451,0.086555,0.0674526,0.26670664000000005,0.0874892,0.011098,0.020653,0.088398,0.07193,-4945.086949,-4942.97903,26,1.8260719399999994,0.244026,0.0004264470852912213
30,Sp011,N16,1,16,0.0674526,0.0109987,0.0,0.100721,0.0,0.58969938,0.078098,0.011284,0.0,0.100998,-4951.833086,-4942.97903,26,1.8260719399999994,0.244026,0.0017912388351765307
31,Sp006,N16,1,16,0.0200366,0.0109987,0.0,0.100721,0.0,0.58969938,0.032554,0.01472,0.0,0.100997,-4952.558756,-4942.97903,26,1.8260719399999994,0.244026,0.0019380470647070369
32,N16,Sp023,16,1,0.0109987,0.113056,0.100721,0.0,0.58969938,0.0,0.008993,0.110051,0.101052,0.0,-4937.790367,-4942.97903,26,1.8260719399999994,0.244026,-0.0010497036237681176
33,N17,Sp023,2,1,0.0202451,0.113056,0.0674526,0.0,0.0874892,0.0,0.020268,0.117884,0.067062,0.0,-4944.181006,-4942.97903,26,1.8260719399999994,0.244026,0.00024316833891147957
34,N12,N11,18,2,0.005966,0.141017,0.100721,0.00383083,0.7084323800000001,0.00512388,0.007333,0.150481,0.101057,0.003838,-4947.798336,-4942.97903,26,1.8260719399999994,0.244026,0.0009749800617704451
35,Sp023,N11,1,2,0.113056,0.141017,0.0,0.00383083,0.0,0.00512388,0.117883,0.155177,0.0,0.003802,-4948.276873,-4942.97903,26,1.8260719399999994,0.244026,0.0010717915184033006
36,Sp019,N10,1,19,0.00129305,0.0199264,0.0,0.113056,0.0,0.8274543800000002,1e-06,0.156151,0.0,0.103919,-5063.120207,-4942.97903,26,1.8260719399999994,0.244026,0.02430541911483681
37,Sp001,N10,1,19,0.00383083,0.0199264,0.0,0.113056,0.0,0.8274543800000002,0.00409,0.156141,0.0,0.103909,-5063.169534,-4942.97903,26,1.8260719399999994,0.244026,0.024315398319624114
38,N10,Sp025,19,1,0.0199264,0.194404,0.113056,0.0,0.8274543800000002,0.0,0.019195,0.187633,0.113545,0.0,-4942.260518,-4942.97903,26,1.8260719399999994,0.244026,-0.00014536011495083634
39,N11,Sp025,2,1,0.141017,0.194404,0.00383083,0.0,0.00512388,0.0,0.131841,0.195069,0.003769,0.0,-4938.118494,-4942.97903,26,1.8260719399999994,0.244026,-0.0009833211855645153
40,N8,Sp003,21,1,0.00640548,0.148883,0.141017,0.0,0.9935216600000001,0.0,0.015133,0.147013,0.138103,0.0,-4943.697832,-4942.97903,26,1.8260719399999994,0.244026,0.00014541878402413814
41,Sp025,Sp003,1,1,0.194404,0.148883,0.0,0.0,0.0,0.0,0.184337,0.162227,0.0,0.0,-4944.048889,-4942.97903,26,1.8260719399999994,0.244026,0.0002164401251767538
42,N6,Sp015,22,1,0.0347707,0.127606,0.194404,0.0,1.19433114,0.0,0.046077,0.153615,0.192667,0.0,-4946.580093,-4942.97903,26,1.8260719399999994,0.244026,0.0007285207924499647
43,Sp003,Sp015,1,1,0.148883,0.127606,0.0,0.0,0.0,0.0,0.129395,0.152714,0.0,0.0,-4944.297113,-4942.97903,26,1.8260719399999994,0.244026,0.0002666576151748727
44,N4,Sp018,23,1,0.0388567,0.0184765,0.194404,0.0,1.3779848399999999,0.0,0.252982,0.019845,0.174774,0.0,-5057.839596,-4942.97903,26,1.8260719399999994,0.244026,0.023237113753241913
45,Sp015,Sp018,1,1,0.127606,0.0184765,0.0,0.0,0.0,0.0,0.351311,0.01727,0.0,0.0,-5056.672415,-4942.97903,26,1.8260719399999994,0.244026,0.023000984691614112
