idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp006,N41,1,2,0.00128099,1.4e-07,0.0,0.00542808,0.0,0.007993440000000001,0.002255,1e-06,0.0,0.005433,-1913.35385,-1909.37337,25,0.16305399,0.0440546,0.0020847048893323276
1,Sp005,N41,1,2,0.00385765,1.4e-07,0.0,0.00542808,0.0,0.007993440000000001,0.004839,1e-06,0.0,0.005433,-1913.353605,-1909.37337,25,0.16305399,0.0440546,0.0020845765749838616
4,N40,Sp007,2,1,0.00127851,0.00127918,0.00385765,0.0,0.00513864,0.0,1e-06,0.002567,0.003851,0.0,-1910.626803,-1909.37337,25,0.16305399,0.0440546,0.000656463015402842
5,N41,Sp007,2,1,1.4e-07,0.00127918,0.00542808,0.0,0.007993440000000001,0.0,1e-06,0.002567,0.005428,0.0,-1911.860696,-1909.37337,25,0.16305399,0.0440546,0.0013026923068482615
10,N38,N34,2,5,8e-08,6e-08,0.00643579,0.00542808,0.00643585,0.01697148,1e-06,0.00257,0.006447,0.005437,-1920.655066,-1909.37337,25,0.16305399,0.0440546,0.005908585600520872
11,Sp009,N34,1,5,0.00385637,6e-08,0.0,0.00542808,0.0,0.01697148,0.004171,0.00098,0.0,0.005437,-1920.27121,-1909.37337,25,0.16305399,0.0440546,0.005707547916623603
12,N34,Sp021,5,1,6e-08,0.0128246,0.00542808,0.0,0.01697148,0.0,1e-06,0.015631,0.005433,0.0,-1914.583791,-1909.37337,25,0.16305399,0.0440546,0.0027288643917768667
13,N35,Sp021,3,1,0.00256246,0.0128246,0.00643579,0.0,0.0102923,0.0,0.002566,0.015631,0.006442,0.0,-1914.58374,-1909.37337,25,0.16305399,0.0440546,0.002728837681443107
14,N30,N29,8,2,0.0027465,0.00134326,0.00643579,0.00363785,0.0298263,0.00515333,0.002761,0.001363,0.006438,0.003683,-1911.254101,-1909.37337,25,0.16305399,0.0440546,0.000984999073282335
15,Sp021,N29,1,2,0.0128246,0.00134326,0.0,0.00363785,0.0,0.00515333,0.013848,0.001377,0.0,0.003442,-1912.146863,-1909.37337,25,0.16305399,0.0440546,0.0014525671320114392
16,Sp020,N28,1,9,0.00151548,0.00127216,0.0,0.0128246,0.0,0.0453974,0.002716,0.001492,0.0,0.012648,-1913.805983,-1909.37337,25,0.16305399,0.0440546,0.0023215014253602723
17,Sp019,N28,1,9,0.00363785,0.00127216,0.0,0.0128246,0.0,0.0453974,0.003615,0.001537,0.0,0.012508,-1913.799101,-1909.37337,25,0.16305399,0.0440546,0.0023178971014977765
18,N28,Sp003,9,1,0.00127216,0.00531535,0.0128246,0.0,0.0453974,0.0,0.001382,0.006398,0.012943,0.0,-1913.359593,-1909.37337,25,0.16305399,0.0440546,0.0020877126824073605
19,N29,Sp003,2,1,0.00134326,0.00531535,0.00363785,0.0,0.00515333,0.0,0.001452,0.005968,0.003725,0.0,-1913.333218,-1909.37337,25,0.16305399,0.0440546,0.0020738992499931878
20,N26,Sp002,11,1,0.00129327,0.00120201,0.0128246,0.0,0.053166149999999995,0.0,0.001297,0.001287,0.011731,0.0,-1909.62733,-1909.37337,25,0.16305399,0.0440546,0.0001330069875228261
21,Sp003,Sp002,1,1,0.00531535,0.00120201,0.0,0.0,0.0,0.0,0.006393,0.001287,0.0,0.0,-1909.627477,-1909.37337,25,0.16305399,0.0440546,0.00013308397613190568
22,N24,Sp000,12,1,0.00113615,0.0440546,0.0128246,0.0,0.05977476999999999,0.0,0.001178,0.048782,0.013026,0.0,-1917.479587,-1909.37337,25,0.16305399,0.0440546,0.004245485522823655
23,Sp002,Sp000,1,1,0.00120201,0.0440546,0.0,0.0,0.0,0.0,1e-06,0.048739,0.0,0.0,-1916.616824,-1909.37337,25,0.16305399,0.0440546,0.003793628901402311
24,N22,Sp023,13,1,0.00468018,0.00571463,0.0128246,0.0,0.06211293,0.0,0.006018,0.005849,0.01276,0.0,-1910.793044,-1909.37337,25,0.16305399,0.0440546,0.0007435287525770752
25,Sp000,Sp023,1,1,0.0440546,0.00571463,0.0,0.0,0.0,0.0,0.044244,0.005669,0.0,0.0,-1909.359396,-1909.37337,25,0.16305399,0.0440546,-7.3186314523502344e-06
26,N18,Sp018,14,1,0.00146562,0.00904684,0.0440546,0.0,0.11084771,0.0,0.003085,0.009061,0.044238,0.0,-1915.200988,-1909.37337,25,0.16305399,0.0440546,0.0030521102323743153
27,Sp023,Sp018,1,1,0.00571463,0.00904684,0.0,0.0,0.0,0.0,0.009604,0.009061,0.0,0.0,-1915.201102,-1909.37337,25,0.16305399,0.0440546,0.003052169937826235
34,Sp024,Sp017,1,1,0.00981067,0.00513844,0.0,0.0,0.0,0.0,0.009808,0.003852,0.0,0.0,-1905.398382,-1909.37337,25,0.16305399,0.0440546,-0.0020818285529979603
42,N4,Sp015,18,1,8e-08,1e-08,0.0440546,0.0,0.13509641000000003,0.0,0.005148,1e-06,0.04413,0.0,-1936.56215,-1909.37337,25,0.16305399,0.0440546,0.01423963506938402
43,N5,Sp015,5,1,7e-08,1e-08,0.00981067,0.0,0.02281959,0.0,0.005148,1e-06,0.009824,0.0,-1936.56215,-1909.37337,25,0.16305399,0.0440546,0.01423963506938402
