idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp017,N13,1,2,1.3e-07,0.00455349,0.0,1e-08,0.0,2e-08,1e-06,0.00915,0.0,1e-06,-1217.097376,-1208.76667,21,0.18065168999999992,0.0477812,0.006891905780294193
1,Sp009,N13,1,2,1e-08,0.00455349,0.0,1e-08,0.0,2e-08,1e-06,0.00915,0.0,1e-06,-1217.097312,-1208.76667,21,0.18065168999999992,0.0477812,0.0068918528337649524
2,Sp008,N12,1,2,1e-08,0.00526296,0.0,1.3e-07,0.0,1.4e-07,1e-06,0.009885,0.0,1e-06,-1217.687703,-1208.76667,21,0.18065168999999992,0.0477812,0.007380277121638438
3,Sp007,N12,1,2,1e-08,0.00526296,0.0,1.3e-07,0.0,1.4e-07,1e-06,0.009885,0.0,1e-06,-1217.687703,-1208.76667,21,0.18065168999999992,0.0477812,0.007380277121638438
4,N12,N9,2,10,0.00526296,1.4e-07,1.3e-07,0.009012,1.4e-07,0.052866109999999994,0.010597,1e-06,1e-06,0.009024,-1217.004296,-1208.76667,21,0.18065168999999992,0.0477812,0.006814901671635346
5,N13,N9,2,10,0.00455349,1.4e-07,1e-08,0.009012,2e-08,0.052866109999999994,0.009147,1e-06,1e-06,0.009024,-1217.004365,-1208.76667,21,0.18065168999999992,0.0477812,0.006814958754612278
10,N34,Sp015,3,1,2.8e-07,1e-08,0.00222378,0.0,0.0044466,0.0,1e-06,0.002228,0.002224,0.0,-1214.639839,-1208.76667,21,0.18065168999999992,0.0477812,0.004858811171555517
11,Sp010,Sp015,1,1,0.00670716,1e-08,0.0,0.0,0.0,0.0,0.008978,1e-06,0.0,0.0,-1214.58285,-1208.76667,21,0.18065168999999992,0.0477812,0.0048116647690162
12,N32,Sp013,4,1,0.0020865,0.00672826,0.00670716,0.0,0.01115404,0.0,0.002087,0.008985,0.006711,0.0,-1212.681375,-1208.76667,21,0.18065168999999992,0.0477812,0.003238594426168214
13,Sp015,Sp013,1,1,1e-08,0.00672826,0.0,0.0,0.0,0.0,1e-06,0.008985,0.0,0.0,-1212.681343,-1208.76667,21,0.18065168999999992,0.0477812,0.0032385679529035936
