idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
8,N124,N121,2,2,2.3e-07,1.3e-07,0.00202094,0.00202295,0.00202095,0.00404534,1e-06,0.002026,0.002023,0.002031,-2647.538811,-2640.25576,69,0.6671112700000007,0.0476766,0.0027584642027255295
9,Sp023,N121,1,2,1e-08,1.3e-07,0.0,0.00202295,0.0,0.00404534,1e-06,0.002026,0.0,0.002031,-2647.538811,-2640.25576,69,0.6671112700000007,0.0476766,0.0027584642027255295
20,N132,Sp021,2,1,2.4e-07,1e-08,0.00405575,0.0,0.00607943,0.0,0.00203,1e-06,0.004074,0.0,-2645.670075,-2640.25576,69,0.6671112700000007,0.0476766,0.0020506782267184554
21,Sp029,Sp021,1,1,0.00405546,1e-08,0.0,0.0,0.0,0.0,0.006111,1e-06,0.0,0.0,-2645.670075,-2640.25576,69,0.6671112700000007,0.0476766,0.0020506782267184554
32,N94,Sp025,17,1,2.4e-07,3.1e-07,0.0060994,0.0,0.03040597,0.0,1e-06,0.002025,0.006103,0.0,-2642.607125,-2640.25576,69,0.6671112700000007,0.0476766,0.000890582282074062
33,Sp028,Sp025,1,1,0.00202476,3.1e-07,0.0,0.0,0.0,0.0,0.002026,0.002025,0.0,0.0,-2642.607126,-2640.25576,69,0.6671112700000007,0.0476766,0.0008905826608252038
34,N84,Sp013,18,1,0.00202399,0.00610424,0.0060994,0.0,0.032430969999999996,0.0,0.002025,0.008163,0.006102,0.0,-2646.449882,-2640.25576,69,0.6671112700000007,0.0476766,0.002346031052688577
35,Sp025,Sp013,1,1,3.1e-07,0.00610424,0.0,0.0,0.0,0.0,1e-06,0.006103,0.0,0.0,-2641.156634,-2640.25576,69,0.6671112700000007,0.0476766,0.00034120709578526996
38,N56,N45,20,7,2.7e-07,2.2e-07,0.00610424,0.0040562,0.042580599999999996,0.010135890000000002,1e-06,0.004069,0.006114,0.004064,-2650.294409,-2640.25576,69,0.6671112700000007,0.0476766,0.003802150212902131
39,Sp026,N45,1,7,1.3e-07,2.2e-07,0.0,0.0040562,0.0,0.010135890000000002,1e-06,0.004069,0.0,0.004064,-2650.294437,-2640.25576,69,0.6671112700000007,0.0476766,0.0038021608179353073
48,N74,Sp036,5,1,2.5e-07,0.00203004,0.0040562,0.0,0.006082110000000001,0.0,1e-06,0.004071,0.004057,0.0,-2646.800686,-2640.25576,69,0.6671112700000007,0.0476766,0.0024788984836832746
49,Sp034,Sp036,1,1,1e-08,0.00203004,0.0,0.0,0.0,0.0,1e-06,0.004071,0.0,0.0,-2646.800686,-2640.25576,69,0.6671112700000007,0.0476766,0.0024788984836832746
52,N44,Sp012,21,1,0.00405613,0.0104489,0.00610424,0.0,0.042580999999999994,0.0,0.004062,0.016721,0.006113,0.0,-2649.438867,-2640.25576,69,0.6671112700000007,0.0476766,0.0034781126658728835
53,N45,Sp012,7,1,2.2e-07,0.0104489,0.0040562,0.0,0.010135890000000002,0.0,1e-06,0.016721,0.004061,0.0,-2649.438867,-2640.25576,69,0.6671112700000007,0.0476766,0.0034781126658728835
54,N34,Sp041,28,1,0.00615473,0.0187177,0.00610424,0.0,0.056773239999999996,0.0,0.014542,0.018765,0.006119,0.0,-2654.467957,-2640.25576,69,0.6671112700000007,0.0476766,0.0053828864670291765
55,Sp012,Sp041,1,1,0.0104489,0.0187177,0.0,0.0,0.0,0.0,0.018896,0.018765,0.0,0.0,-2654.467959,-2640.25576,69,0.6671112700000007,0.0476766,0.005382887224531632
58,Sp067,N31,1,8,0.0210905,0.00215187,0.0,0.0394527,0.0,0.14784103,0.047698,0.002148,0.0,0.039633,-2673.295841,-2640.25576,69,0.6671112700000007,0.0476766,0.012513969858738268
59,Sp066,N31,1,8,0.0234456,0.00215187,0.0,0.0394527,0.0,0.14784103,0.05014,0.002159,0.0,0.039633,-2673.296256,-2640.25576,69,0.6671112700000007,0.0476766,0.01251412704048038
60,Sp010,Sp065,1,1,0.0104079,0.0394527,0.0,0.0,0.0,0.0,0.010671,0.055119,0.0,0.0,-2654.352834,-2640.25576,69,0.6671112700000007,0.0476766,0.005339283494262614
61,Sp009,Sp065,1,1,0.00196735,0.0394527,0.0,0.0,0.0,0.0,0.002155,0.055127,0.0,0.0,-2654.353276,-2640.25576,69,0.6671112700000007,0.0476766,0.005339450902286759
64,Sp064,N46,1,3,0.00965335,6.1e-07,0.0,0.0394527,0.0,0.07485495,0.018952,1e-06,0.0,0.039641,-2651.946975,-2640.25576,69,0.6671112700000007,0.0476766,0.0044280615450678264
