idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp021,Sp017,1,1,3.966e-05,0.0020966,0.0,0.0,0.0,0.0,0.000377,0.002096,0.0,0.0,-5564.759996,-5564.42689,64,0.27602788,0.089687,5.986348757653341e-05
1,Sp020,Sp017,1,1,0.00273257,0.0020966,0.0,0.0,0.0,0.0,0.003824,0.001322,0.0,0.0,-5564.535231,-5564.42689,64,0.27602788,0.089687,1.947028905974349e-05
2,N70,Sp022,2,1,0.0016547,1e-08,0.00273257,0.0,0.00277223,0.0,0.002734,1e-06,0.002738,0.0,-5568.336618,-5564.42689,64,0.27602788,0.089687,0.0007026290536814909
3,Sp017,Sp022,1,1,0.0020966,1e-08,0.0,0.0,0.0,0.0,0.003146,1e-06,0.0,0.0,-5568.33473,-5564.42689,64,0.27602788,0.089687,0.0007022897554863644
4,Sp022,Sp023,1,1,1e-08,0.00980629,0.0,0.0,0.0,0.0,1e-06,0.012159,0.0,0.0,-5585.928553,-5564.42689,64,0.27602788,0.089687,0.0038641289435649337
5,N53,Sp023,3,1,0.00108272,0.00980629,0.00273257,0.0,0.00652353,0.0,0.001123,0.012159,0.002829,0.0,-5585.928377,-5564.42689,64,0.27602788,0.089687,0.003864097314072259
12,Sp006,Sp060,1,1,0.00113314,0.00114939,0.0,0.0,0.0,0.0,0.001133,0.001151,0.0,0.0,-5564.478112,-5564.42689,64,0.27602788,0.089687,9.205260669720563e-06
13,Sp005,Sp060,1,1,0.00112913,0.00114939,0.0,0.0,0.0,0.0,0.001129,0.001151,0.0,0.0,-5564.479879,-5564.42689,64,0.27602788,0.089687,9.522813588571952e-06
14,Sp060,N73,1,4,0.00114939,3e-08,0.0,0.0022593,0.0,0.00565248,0.001151,1e-06,0.0,0.002259,-5564.684327,-5564.42689,64,0.27602788,0.089687,4.626478253544079e-05
15,N91,N73,2,4,0.00050706,3e-08,0.00113314,0.0022593,0.0022622700000000003,0.00565248,0.003404,1e-06,0.001131,0.002259,-5564.475061,-5564.42689,64,0.27602788,0.089687,8.656956224357167e-06
