idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp007,N27,1,4,0.00435216,8e-08,0.0,0.0094668,0.0,0.012519059999999999,0.00448,1e-06,0.0,0.00947,-4247.058091,-4246.97072,20,1.50874421,0.502047,2.0572545882685255e-05
1,Sp005,N27,1,4,0.0008062,8e-08,0.0,0.0094668,0.0,0.012519059999999999,0.001488,1e-06,0.0,0.00947,-4247.058091,-4246.97072,20,1.50874421,0.502047,2.0572545882685255e-05
2,Sp018,Sp001,1,1,0.00156473,1e-08,0.0,0.0,0.0,0.0,0.011083,1e-06,0.0,0.0,-4282.555718,-4246.97072,20,1.50874421,0.502047,0.00837891295845792
3,Sp017,Sp001,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,0.009011,0.0,0.0,-4286.196916,-4246.97072,20,1.50874421,0.502047,0.00923627653359466
10,N22,N21,6,3,2.8e-07,0.0530872,0.0094668,0.103954,0.01848451,0.10993837,1e-06,0.11491,0.009509,0.104242,-4259.929544,-4246.97072,20,1.50874421,0.502047,0.0030513099463985397
11,Sp009,N21,1,3,0.00597876,0.0530872,0.0,0.103954,0.0,0.10993837,0.006008,0.114902,0.0,0.104236,-4259.929571,-4246.97072,20,1.50874421,0.502047,0.0030513163038711536
14,Sp016,N20,1,7,0.00288706,0.0616677,0.0,0.0094668,0.0,0.024463549999999997,1e-06,0.114879,0.0,0.009524,-4253.576769,-4246.97072,20,1.50874421,0.502047,0.001555473167943099
15,N25,N20,2,7,7.7e-07,0.0616677,0.103954,0.0094668,0.10705054,0.024463549999999997,1e-06,0.114911,0.104514,0.009521,-4256.135107,-4246.97072,20,1.50874421,0.502047,0.0021578644177701807
16,N20,Sp015,7,1,0.0616677,0.196271,0.0094668,0.0,0.024463549999999997,0.0,0.039419,0.335111,0.009479,0.0,-4256.6443,-4246.97072,20,1.50874421,0.502047,0.0022777599935983723
17,N21,Sp015,3,1,0.0530872,0.196271,0.103954,0.0,0.10993837,0.0,0.05026,0.33581,0.103678,0.0,-4257.93068,-4246.97072,20,1.50874421,0.502047,0.0025806535346210575
18,N18,Sp000,10,1,0.140708,0.0910124,0.103954,0.0,0.24915681999999997,0.0,0.564188,0.105843,0.10348,0.0,-4370.06679,-4246.97072,20,1.50874421,0.502047,0.02898444046725135
19,Sp015,Sp000,1,1,0.196271,0.0910124,0.0,0.0,0.0,0.0,0.627885,0.105983,0.0,0.0,-4370.075331,-4246.97072,20,1.50874421,0.502047,0.028986451547751604
20,N14,N11,11,2,0.502047,0.0191145,0.196271,0.00496062,0.58613582,0.00977656,0.639318,0.018792,0.211105,0.004983,-4262.615769,-4246.97072,20,1.50874421,0.502047,0.003683813718404855
21,Sp000,N11,1,2,0.0910124,0.0191145,0.0,0.00496062,0.0,0.00977656,0.248767,0.019298,0.0,0.004983,-4262.8315,-4246.97072,20,1.50874421,0.502047,0.0037346101599683213
22,Sp012,N10,1,12,0.00481594,0.155506,0.0,0.502047,0.0,1.17919522,0.005113,0.166246,0.0,0.5035,-4251.977411,-4246.97072,20,1.50874421,0.502047,0.0011788852172730758
23,Sp006,N10,1,12,0.00496062,0.155506,0.0,0.502047,0.0,1.17919522,0.004869,0.166287,0.0,0.501955,-4252.24486,-4246.97072,20,1.50874421,0.502047,0.0012418592798773835
24,N10,Sp008,12,1,0.155506,0.0285354,0.502047,0.0,1.17919522,0.0,0.165133,0.02883,0.503367,0.0,-4250.58459,-4246.97072,20,1.50874421,0.502047,0.0008509288710142398
25,N11,Sp008,2,1,0.0191145,0.0285354,0.00496062,0.0,0.00977656,0.0,0.035053,0.016664,0.004991,0.0,-4246.28056,-4246.97072,20,1.50874421,0.502047,-0.0001625064182218109
26,N6,N5,14,3,0.0163267,1.2e-07,0.502047,0.026376,1.3635922799999998,0.052236849999999994,0.01361,1e-06,0.502211,0.026344,-4244.025049,-4246.97072,20,1.50874421,0.502047,-0.0006935934326385943
27,Sp008,N5,1,3,0.0285354,1.2e-07,0.0,0.026376,0.0,0.052236849999999994,0.027965,1e-06,0.0,0.026363,-4246.711403,-4246.97072,20,1.50874421,0.502047,-6.105928604094779e-05
28,Sp019,Sp013,1,1,0.00573988,0.00921697,0.0,0.0,0.0,0.0,0.013053,0.012438,0.0,0.0,-4265.057658,-4246.97072,20,1.50874421,0.502047,0.004258785659817185
29,Sp002,Sp013,1,1,0.026376,0.00921697,0.0,0.0,0.0,0.0,0.033117,0.012408,0.0,0.0,-4265.057163,-4246.97072,20,1.50874421,0.502047,0.004258669106152948
31,Sp013,N4,1,15,0.00921697,2.8e-07,0.0,0.502047,0.0,1.4084543799999998,0.006109,1e-06,0.0,0.5014,-4239.184059,-4246.97072,20,1.50874421,0.502047,-0.0018334623696205032
32,N4,Sp011,15,1,2.8e-07,0.00447848,0.502047,0.0,1.4084543799999998,0.0,0.002036,0.020355,0.508049,0.0,-4284.652284,-4246.97072,20,1.50874421,0.502047,0.008872574473506029
33,N5,Sp011,3,1,1.2e-07,0.00447848,0.026376,0.0,0.052236849999999994,0.0,0.002297,0.020351,0.026481,0.0,-4284.651996,-4246.97072,20,1.50874421,0.502047,0.008872506660464883
