idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp037,Sp017,1,1,0.00122736,1e-08,0.0,0.0,0.0,0.0,0.001247,1e-06,0.0,0.0,-2945.479151,-2944.98047,45,0.3274138099999999,0.0922841,0.00016933253211014784
1,Sp036,Sp017,1,1,0.00136954,1e-08,0.0,0.0,0.0,0.0,0.00135,1e-06,0.0,0.0,-2945.479675,-2944.98047,45,0.3274138099999999,0.0922841,0.00016951046198281734
36,N16,N10,2,18,2.3e-07,9e-08,0.00199692,0.0922841,0.00199693,0.10985392999999997,1e-06,0.001535,0.001997,0.092323,-2948.074105,-2944.98047,45,0.3274138099999999,0.0922841,0.0010504772549476964
37,Sp015,N10,1,18,1e-08,9e-08,0.0,0.0922841,0.0,0.10985392999999997,1e-06,0.001535,0.0,0.092323,-2948.074105,-2944.98047,45,0.3274138099999999,0.0922841,0.0010504772549476964
38,N10,N9,18,20,9e-08,0.0055418,0.0922841,0.0224999,0.10985392999999997,0.14340261999999998,0.000124,0.012384,0.093129,0.022207,-2955.845155,-2944.98047,45,0.3274138099999999,0.0922841,0.0036892214093358685
39,N11,N9,3,20,0.00199939,0.0055418,0.00199692,0.0224999,0.00199717,0.14340261999999998,1e-06,0.012463,0.002001,0.022184,-2955.026505,-2944.98047,45,0.3274138099999999,0.0922841,0.0034112399393941813
40,Sp039,Sp034,1,1,1e-08,0.011124,0.0,0.0,0.0,0.0,1e-06,0.026906,0.0,0.0,-2993.96535,-2944.98047,45,0.3274138099999999,0.0922841,0.01663334629855796
41,Sp038,Sp034,1,1,1e-08,0.011124,0.0,0.0,0.0,0.0,1e-06,0.026906,0.0,0.0,-2993.96535,-2944.98047,45,0.3274138099999999,0.0922841,0.01663334629855796
42,N30,Sp032,2,1,0.0172697,0.00450629,1e-08,0.0,2e-08,0.0,0.022594,0.00698,1e-06,0.0,-2957.862914,-2944.98047,45,0.3274138099999999,0.0922841,0.004374373321395863
43,Sp034,Sp032,1,1,0.011124,0.00450629,0.0,0.0,0.0,0.0,0.016179,0.006983,0.0,0.0,-2957.862538,-2944.98047,45,0.3274138099999999,0.0922841,0.0043742456465254214
44,N24,N19,3,15,0.00743098,0.00666031,0.0172697,0.00870692,0.028393719999999997,0.06641232,0.003729,0.005894,0.018722,0.008697,-2934.354229,-2944.98047,45,0.3274138099999999,0.0922841,-0.003608255167817781
46,Sp033,N73,1,2,7e-08,0.0024624,0.0,0.00371237,0.0,0.00494389,1e-06,0.006204,0.0,0.003718,-2958.676666,-2944.98047,45,0.3274138099999999,0.0922841,0.00465069162241333
47,Sp024,N73,1,2,1e-08,0.0024624,0.0,0.00371237,0.0,0.00494389,1e-06,0.006204,0.0,0.003718,-2958.67669,-2944.98047,45,0.3274138099999999,0.0922841,0.0046506997718731265
48,Sp026,N72,1,2,0.00371237,0.00361257,0.0,7e-08,0.0,8e-08,0.00395,0.005787,0.0,1e-06,-2952.137766,-2944.98047,45,0.3274138099999999,0.0922841,0.0024303373393847532
49,Sp025,N72,1,2,0.00123152,0.00361257,0.0,7e-08,0.0,8e-08,0.001468,0.005788,0.0,1e-06,-2952.137789,-2944.98047,45,0.3274138099999999,0.0922841,0.002430345149283763
50,N72,N67,2,2,0.00361257,0.00382092,7e-08,6e-08,8e-08,6.999999999999999e-08,0.007789,0.004477,1e-06,1e-06,-2962.993582,-2944.98047,45,0.3274138099999999,0.0922841,0.0061165471837577555
51,N73,N67,2,2,0.0024624,0.00382092,0.00371237,6e-08,0.00494389,6.999999999999999e-08,0.006794,0.00445,0.003721,1e-06,-2962.993091,-2944.98047,45,0.3274138099999999,0.0922841,0.006116380459392267
