idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
13,Sp004,Sp019,1,1,0.00053279,1e-08,0.0,0.0,0.0,0.0,0.000532,1e-06,0.0,0.0,-3246.421899,-3246.38956,27,0.30443004999999995,0.154272,9.961527845680153e-06
14,Sp019,N24,1,7,1e-08,1.1e-07,0.0,0.00072305,0.0,0.0007236000000000003,1e-06,1e-06,0.0,0.000723,-3246.422574,-3246.38956,27,0.30443004999999995,0.154272,1.0169451136386048e-05
15,N33,N24,2,7,0.00029865,1.1e-07,0.00053279,0.00072305,0.0005328,0.0007236000000000003,0.000914,1e-06,0.000532,0.000723,-3246.422573,-3246.38956,27,0.30443004999999995,0.154272,1.0169143101777122e-05
16,N24,N21,7,3,1.1e-07,7e-08,0.00072305,0.00165905,0.0007236000000000003,0.00165918,1e-06,0.001416,0.000724,0.00166,-3252.687738,-3246.38956,27,0.30443004999999995,0.154272,0.001940056140397398
17,N25,N21,3,3,0.0006152,7e-08,0.00053279,0.00165905,0.0008314600000000001,0.00165918,0.001019,0.001416,0.000428,0.00166,-3252.689402,-3246.38956,27,0.30443004999999995,0.154272,0.001940568709813094
22,N20,N17,10,5,0.00072399,0.0007228,0.00072305,1.2e-07,0.0021703700000000005,4.7000000000000005e-07,0.000724,0.001447,0.000723,1e-06,-3251.808132,-3246.38956,27,0.30443004999999995,0.154272,0.0016691071419044484
23,N21,N17,3,5,7e-08,0.0007228,0.00165905,1.2e-07,0.00165918,4.7000000000000005e-07,1e-06,0.001448,0.001659,1e-06,-3251.808363,-3246.38956,27,0.30443004999999995,0.154272,0.0016691782978750169
30,Sp015,N16,1,13,1e-08,0.00072351,0.0,0.00165905,0.0,0.00455361,1e-06,0.00109,0.0,0.00166,-3251.268545,-3246.38956,27,0.30443004999999995,0.154272,0.0015028957276463856
31,N23,N16,4,13,1.2e-07,0.00072351,1.2e-07,0.00165905,3.4000000000000003e-07,0.00455361,1e-06,0.00109,1e-06,0.00166,-3251.268545,-3246.38956,27,0.30443004999999995,0.154272,0.0015028957276463856
32,N16,Sp016,13,1,0.00072351,0.00144777,0.00165905,0.0,0.00455361,0.0,0.000798,0.002801,0.00166,0.0,-3255.655269,-3246.38956,27,0.30443004999999995,0.154272,0.0028541580820016523
33,N17,Sp016,5,1,0.0007228,0.00144777,1.2e-07,0.0,4.7000000000000005e-07,0.0,0.000823,0.002801,1e-06,0.0,-3255.655256,-3246.38956,27,0.30443004999999995,0.154272,0.002854154077553137
34,N12,N11,18,3,0.00145129,0.00086532,0.00165905,0.00506756,0.0060003899999999995,0.01034111,0.003457,0.00163,0.001662,0.004348,-3264.407072,-3246.38956,27,0.30443004999999995,0.154272,0.005550015383859199
35,Sp016,N11,1,3,0.00144777,0.00086532,0.0,0.00506756,0.0,0.01034111,0.003172,0.00166,0.0,0.004328,-3264.458902,-3246.38956,27,0.30443004999999995,0.154272,0.005565980812234924
36,Sp023,Sp000,1,1,0.00165942,0.00506756,0.0,0.0,0.0,0.0,0.002393,0.005474,0.0,0.0,-3250.964212,-3246.38956,27,0.30443004999999995,0.154272,0.0014091506627441801
37,Sp001,Sp000,1,1,0.00179923,0.00506756,0.0,0.0,0.0,0.0,0.003201,0.005476,0.0,0.0,-3250.963746,-3246.38956,27,0.30443004999999995,0.154272,0.0014090071186650276
38,N14,N10,2,19,0.0018149,0.00348165,0.00179923,0.00165905,0.0034586499999999997,0.00889945,0.002875,0.002908,0.00166,0.001658,-3245.965505,-3246.38956,27,0.30443004999999995,0.154272,-0.0001306235718673125
39,Sp000,N10,1,19,0.00506756,0.00348165,0.0,0.00165905,0.0,0.00889945,0.005788,0.003634,0.0,0.001659,-3249.830143,-3246.38956,27,0.30443004999999995,0.154272,0.001059818280095769
41,N11,Sp017,3,1,0.00086532,0.0012983,0.00506756,0.0,0.01034111,0.0,0.000688,1e-06,0.005069,0.0,-3239.995972,-3246.38956,27,0.30443004999999995,0.154272,-0.0019694457124855677
42,N8,Sp002,22,1,7e-08,0.00169545,0.00506756,0.0,0.02358753,0.0,1e-06,0.003619,0.005071,0.0,-3249.49997,-3246.38956,27,0.30443004999999995,0.154272,0.000958113603593456
43,Sp017,Sp002,1,1,0.0012983,0.00169545,0.0,0.0,0.0,0.0,0.00144,0.003619,0.0,0.0,-3249.499916,-3246.38956,27,0.30443004999999995,0.154272,0.0009580969697303173
44,N6,Sp026,23,1,0.00207106,0.154272,0.00506756,0.0,0.0248859,0.0,0.002111,0.203448,0.005087,0.0,-3261.661576,-3246.38956,27,0.30443004999999995,0.154272,0.004704307883493777
45,Sp002,Sp026,1,1,0.00169545,0.154272,0.0,0.0,0.0,0.0,0.001502,0.203466,0.0,0.0,-3261.651931,-3246.38956,27,0.30443004999999995,0.154272,0.004701336890696446
46,N4,Sp025,24,1,0.0488384,1.3e-07,0.00506756,0.0,0.02865241,0.0,0.094503,1e-06,0.005099,0.0,-3284.022902,-3246.38956,27,0.30443004999999995,0.154272,0.01159236786111402
47,Sp026,Sp025,1,1,0.154272,1.3e-07,0.0,0.0,0.0,0.0,0.169479,1e-06,0.0,0.0,-3284.022893,-3246.38956,27,0.30443004999999995,0.154272,0.01159236508880338
