idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp013,Sp011,1,1,0.00507892,0.00081599,0.0,0.0,0.0,0.0,0.005788,0.000815,0.0,0.0,-2479.562897,-2478.63475,20,0.09885727000000001,0.0274403,0.0003744589637499539
1,Sp000,Sp011,1,1,0.0274403,0.00081599,0.0,0.0,0.0,0.0,0.028219,0.000816,0.0,0.0,-2479.564132,-2478.63475,20,0.09885727000000001,0.0274403,0.00037495722191412226
8,Sp019,N27,1,2,0.00247697,0.00154539,0.0,0.00048003,0.0,0.00094085,0.003306,0.001549,0.0,0.000486,-2483.971321,-2478.63475,20,0.09885727000000001,0.0274403,0.0021530283959747686
9,Sp017,N27,1,2,0.00083586,0.00154539,0.0,0.00048003,0.0,0.00094085,0.001672,0.000827,0.0,0.000826,-2479.589135,-2478.63475,20,0.09885727000000001,0.0274403,0.0003850446299116891
10,Sp015,N26,1,2,0.00048003,0.00082204,0.0,0.00247697,0.0,0.00331283,0.000531,0.001646,0.0,0.001675,-2485.231391,-2478.63475,20,0.09885727000000001,0.0274403,0.0026614009990780754
11,Sp014,N26,1,2,0.00046082,0.00082204,0.0,0.00247697,0.0,0.00331283,1e-06,0.001646,0.0,0.001675,-2485.352496,-2478.63475,20,0.09885727000000001,0.0274403,0.002710260557752531
14,N20,Sp016,5,1,1.2e-07,0.00084112,0.0274403,0.0,0.034850880000000015,0.0,1e-06,0.001658,0.02745,0.0,-2481.146472,-2478.63475,20,0.09885727000000001,0.0274403,0.00101334898173268
15,N21,Sp016,4,1,7e-08,0.00084112,0.00247697,0.0,0.00662111,0.0,1e-06,0.001657,0.001667,0.0,-2478.307153,-2478.63475,20,0.09885727000000001,0.0274403,-0.00013216832371125629
16,N12,N9,9,2,0.00079867,0.00081773,0.0274403,0.00491712,0.04147218000000001,0.0066181,0.000808,0.001631,0.027443,0.00495,-2481.764281,-2478.63475,20,0.09885727000000001,0.0274403,0.0012626027291838954
17,Sp016,N9,1,2,0.00084112,0.00081773,0.0,0.00491712,0.0,0.0066181,0.00085,0.001631,0.0,0.004949,-2481.763094,-2478.63475,20,0.09885727000000001,0.0274403,0.0012621238365191736
18,Sp010,N8,1,10,0.00170098,0.00084559,0.0,0.0274403,0.0,0.04311197000000001,0.001958,0.00145,0.0,0.027447,-2481.443302,-2478.63475,20,0.09885727000000001,0.0274403,0.0011331044237155002
19,Sp009,N8,1,10,0.00491712,0.00084559,0.0,0.0274403,0.0,0.04311197000000001,0.004369,0.001418,0.0,0.027431,-2479.707249,-2478.63475,20,0.09885727000000001,0.0274403,0.00043269747589873
20,N8,N7,10,5,0.00084559,0.00084701,0.0274403,0.0105633,0.04311197000000001,0.0263702,0.001675,0.011451,0.027558,0.010606,-2539.925023,-2478.63475,20,0.09885727000000001,0.0274403,0.024727432309257995
21,N9,N7,2,5,0.00081773,0.00084701,0.00491712,0.0105633,0.0066181,0.0263702,0.000934,0.011451,0.004226,0.010606,-2539.925023,-2478.63475,20,0.09885727000000001,0.0274403,0.024727432309257995
22,Sp007,Sp008,1,1,0.00167879,0.00657221,0.0,0.0,0.0,0.0,0.002501,0.006588,0.0,0.0,-2484.0807,-2478.63475,20,0.09885727000000001,0.0274403,0.0021971571245016277
23,Sp006,Sp008,1,1,0.004084,0.00657221,0.0,0.0,0.0,0.0,0.005011,0.007238,0.0,0.0,-2485.966545,-2478.63475,20,0.09885727000000001,0.0274403,0.002957997341076597
24,Sp008,N11,1,2,0.00657221,0.00025031,0.0,0.0105633,0.0,0.010563399999999999,0.007384,0.000891,0.0,0.010566,-2483.907902,-2478.63475,20,0.09885727000000001,0.0274403,0.0021274421332145668
25,N17,N11,2,2,0.00163011,0.00025031,0.004084,0.0105633,0.00576279,0.010563399999999999,0.002378,0.000892,0.004136,0.010566,-2483.906937,-2478.63475,20,0.09885727000000001,0.0274403,0.0021270528059852425
26,Sp002,N10,1,3,1e-07,0.00159138,0.0,0.00657221,0.0,0.013965110000000001,1e-06,0.00168,0.0,0.006571,-2478.680288,-2478.63475,20,0.09885727000000001,0.0274403,1.8372210750233088e-05
27,Sp001,N10,1,3,0.0105633,0.00159138,0.0,0.00657221,0.0,0.013965110000000001,0.010563,0.00168,0.0,0.006571,-2478.680273,-2478.63475,20,0.09885727000000001,0.0274403,1.836615903161024e-05
28,N10,N6,3,12,0.00159138,0.01144,0.00657221,0.0274403,0.013965110000000001,0.05139339000000002,0.001671,0.011498,0.006569,0.027439,-2478.976161,-2478.63475,20,0.09885727000000001,0.0274403,0.000137741553086787
29,N11,N6,2,12,0.00025031,0.01144,0.0105633,0.0274403,0.010563399999999999,0.05139339000000002,0.000784,0.010944,0.010558,0.027427,-2478.628997,-2478.63475,20,0.09885727000000001,0.0274403,-2.321035804233781e-06
30,N6,Sp003,12,1,0.01144,0.00246167,0.0274403,0.0,0.05139339000000002,0.0,0.013125,0.003323,0.027462,0.0,-2491.760502,-2478.63475,20,0.09885727000000001,0.0274403,0.005295557161054052
31,N7,Sp003,5,1,0.00084701,0.00246167,0.0105633,0.0,0.0263702,0.0,0.003173,0.003316,0.010572,0.0,-2491.759686,-2478.63475,20,0.09885727000000001,0.0274403,0.005295227947562546
32,N4,Sp005,17,1,0.00309395,0.00163336,0.0274403,0.0,0.09005060000000002,0.0,0.004617,0.001634,0.02746,0.0,-2486.600363,-2478.63475,20,0.09885727000000001,0.0274403,0.0032137098860571724
33,Sp003,Sp005,1,1,0.00246167,0.00163336,0.0,0.0,0.0,0.0,0.004099,0.001634,0.0,0.0,-2486.600296,-2478.63475,20,0.09885727000000001,0.0274403,0.0032136828550474827
