idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
12,N44,Sp019,7,1,1.3e-07,0.00294569,0.0029441,0.0,0.0029450899999999996,0.0,1e-06,0.005914,0.002946,0.0,-1040.743296,-1035.18242,30,0.23378082999999994,0.0387267,0.005371880252757776
13,Sp016,Sp019,1,1,1e-08,0.00294569,0.0,0.0,0.0,0.0,1e-06,0.005914,0.0,0.0,-1040.743265,-1035.18242,30,0.23378082999999994,0.0387267,0.005371850306345013
16,N36,N29,9,3,1.4e-07,0.00294404,0.00294569,0.00294608,0.008418519999999999,0.0029462399999999997,0.002533,0.002943,0.00296,0.002947,-1040.201279,-1035.18242,30,0.23378082999999994,0.0387267,0.004848284614416095
17,Sp028,N29,1,3,0.00623831,0.00294404,0.0,0.00294608,0.0,0.0029462399999999997,0.009393,0.002945,0.0,0.002947,-1040.201675,-1035.18242,30,0.23378082999999994,0.0387267,0.004848667155688298
20,Sp014,N28,1,10,0.00294608,0.00252755,0.0,0.00623831,0.0,0.014656969999999998,0.005919,0.002531,0.0,0.006251,-1040.52038,-1035.18242,30,0.23378082999999994,0.0387267,0.005156540428883866
21,N39,N28,2,10,1.4e-07,0.00252755,1e-08,0.00623831,2e-08,0.014656969999999998,0.002949,0.002531,1e-06,0.006251,-1040.520379,-1035.18242,30,0.23378082999999994,0.0387267,0.0051565394628706645
24,Sp015,N20,1,13,0.00593592,2.9e-07,0.0,0.00623831,0.0,0.0230748,0.008943,1e-06,0.0,0.006246,-1039.994609,-1035.18242,30,0.23378082999999994,0.0387267,0.004648638642839383
25,Sp013,N20,1,13,1.6e-07,2.9e-07,0.0,0.00623831,0.0,0.0230748,0.002949,1e-06,0.0,0.006246,-1039.994609,-1035.18242,30,0.23378082999999994,0.0387267,0.004648638642839383
28,Sp022,Sp010,1,1,1.3e-07,0.00591264,0.0,0.0,0.0,0.0,1e-06,0.011915,0.0,0.0,-1045.286049,-1035.18242,30,0.23378082999999994,0.0387267,0.009760240132362328
29,Sp021,Sp010,1,1,0.00893589,0.00591264,0.0,0.0,0.0,0.0,0.008949,0.011915,0.0,0.0,-1045.285962,-1035.18242,30,0.23378082999999994,0.0387267,0.009760156089203904
32,N16,Sp020,15,1,2.8e-07,1.4e-07,0.00623831,0.0,0.03195517,0.0,1e-06,0.002974,0.006242,0.0,-1037.777133,-1035.18242,30,0.23378082999999994,0.0387267,0.002506527303661084
33,N17,Sp020,3,1,1.5e-07,1.4e-07,0.00893589,0.0,0.02074571,0.0,1e-06,0.002974,0.008942,0.0,-1037.777185,-1035.18242,30,0.23378082999999994,0.0387267,0.002506577536353278
40,Sp024,N18,1,3,2.4e-07,1.8e-07,0.0,0.00395785,0.0,0.00395825,1e-06,0.003951,0.0,0.00394,-1039.69444,-1035.18242,30,0.23378082999999994,0.0387267,0.004358671392429455
41,Sp023,N18,1,3,0.00391846,1.8e-07,0.0,0.00395785,0.0,0.00395825,0.007887,1e-06,0.0,0.003966,-1040.008429,-1035.18242,30,0.23378082999999994,0.0387267,0.004661988946836911
43,N19,Sp025,2,1,0.00390918,0.00421563,0.00391846,0.0,0.003918700000000001,0.0,1e-06,0.004205,0.003908,0.0,-1033.965832,-1035.18242,30,0.23378082999999994,0.0387267,-0.0011752402054895808
44,N14,N10,5,19,3.2e-07,7.7e-07,0.00395785,0.00893589,0.011786310000000001,0.055229419999999994,0.004703,0.00703,0.004665,0.008942,-1040.738777,-1035.18242,30,0.23378082999999994,0.0387267,0.005367514838592346
45,Sp025,N10,1,19,0.00421563,7.7e-07,0.0,0.00893589,0.0,0.055229419999999994,0.004336,0.007033,0.0,0.008941,-1040.738458,-1035.18242,30,0.23378082999999994,0.0387267,0.005367206680345232
46,N10,Sp004,19,1,7.7e-07,0.00506579,0.00893589,0.0,0.055229419999999994,0.0,0.005378,0.042227,0.008976,0.0,-1058.899708,-1035.18242,30,0.23378082999999994,0.0387267,0.02291121597679356
47,N11,Sp004,6,1,0.0120153,0.00506579,0.00421563,0.0,0.01600226,0.0,0.011886,0.042092,0.004227,0.0,-1058.899873,-1035.18242,30,0.23378082999999994,0.0387267,0.022911375368990496
48,N8,Sp003,25,1,0.0387267,0.0117902,0.0120153,0.0,0.08324774999999998,0.0,0.04784,0.021433,0.012031,0.0,-1043.351783,-1035.18242,30,0.23378082999999994,0.0387267,0.007891713423804063
49,Sp004,Sp003,1,1,0.00506579,0.0117902,0.0,0.0,0.0,0.0,0.00992,0.02141,0.0,0.0,-1043.352055,-1035.18242,30,0.23378082999999994,0.0387267,0.00789197617942543
50,N6,Sp002,26,1,0.0172691,0.0194765,0.0387267,0.0,0.12704023999999997,0.0,0.042375,0.021275,0.037032,0.0,-1061.316698,-1035.18242,30,0.23378082999999994,0.0387267,0.02524606049627465
51,Sp003,Sp002,1,1,0.0117902,0.0194765,0.0,0.0,0.0,0.0,0.042363,0.019252,0.0,0.0,-1060.956607,-1035.18242,30,0.23378082999999994,0.0387267,0.024898207796071326
52,N4,Sp001,27,1,0.0286931,0.00658563,0.0387267,0.0,0.15609953999999998,0.0,0.030829,0.007388,0.038869,0.0,-1036.657924,-1035.18242,30,0.23378082999999994,0.0387267,0.0014253565086625028
53,Sp002,Sp001,1,1,0.0194765,0.00658563,0.0,0.0,0.0,0.0,0.021585,0.007388,0.0,0.0,-1036.658033,-1035.18242,30,0.23378082999999994,0.0387267,0.0014254618041135583
