idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp028,Sp007,1,1,0.0103678,0.0262788,0.0,0.0,0.0,0.0,0.013071,0.026201,0.0,0.0,-6130.751014,-6128.41149,37,1.8051228,0.158464,0.0003817504754400855
1,Sp019,Sp007,1,1,0.0407671,0.0262788,0.0,0.0,0.0,0.0,0.042719,0.024772,0.0,0.0,-6127.503811,-6128.41149,37,1.8051228,0.158464,-0.0001481099957928618
2,N66,Sp030,2,1,0.00336312,0.0214526,0.0407671,0.0,0.0511349,0.0,0.003467,0.020591,0.039867,0.0,-6126.371333,-6128.41149,37,1.8051228,0.158464,-0.00033290143837915863
3,Sp007,Sp030,1,1,0.0262788,0.0214526,0.0,0.0,0.0,0.0,0.026188,0.023164,0.0,0.0,-6127.952302,-6128.41149,37,1.8051228,0.158464,-7.492773629022783e-05
4,N62,N59,3,3,0.00299427,0.0117353,0.0407671,0.0292834,0.08077682,0.06111752,1e-06,0.011469,0.040078,0.029385,-6128.391645,-6128.41149,37,1.8051228,0.158464,-3.2381963960964714e-06
5,Sp030,N59,1,3,0.0214526,0.0117353,0.0,0.0292834,0.0,0.06111752,0.021655,0.01221,0.0,0.029509,-6130.34555,-6128.41149,37,1.8051228,0.158464,0.0003155891217741304
6,Sp032,Sp018,1,1,0.00155447,0.0292834,0.0,0.0,0.0,0.0,0.001818,0.046186,0.0,0.0,-6146.906255,-6128.41149,37,1.8051228,0.158464,0.003017872580876494
7,Sp003,Sp018,1,1,0.00815375,0.0292834,0.0,0.0,0.0,0.0,0.008095,0.046186,0.0,0.0,-6146.906607,-6128.41149,37,1.8051228,0.158464,0.0030179300182728887
8,N64,N58,2,4,0.0221259,0.00190981,0.00815375,0.0407671,0.00970822,0.10522369,0.03159,1e-06,0.008174,0.040965,-6135.081953,-6128.41149,37,1.8051228,0.158464,0.0010884489416032133
9,Sp018,N58,1,4,0.0292834,0.00190981,0.0,0.0407671,0.0,0.10522369,0.036634,0.002044,0.0,0.040978,-6134.608175,-6128.41149,37,1.8051228,0.158464,0.0010111404905025214
10,N58,N57,4,2,0.00190981,0.0344438,0.0407671,0.0340393,0.10522369,0.04295199,0.003534,0.039829,0.040744,0.033989,-6133.435381,-6128.41149,37,1.8051228,0.158464,0.0008197705079362778
11,N59,N57,3,2,0.0117353,0.0344438,0.0292834,0.0340393,0.06111752,0.04295199,0.011824,0.039835,0.028711,0.033988,-6133.437824,-6128.41149,37,1.8051228,0.158464,0.0008201691430480664
12,Sp013,N56,1,7,0.00891269,0.00777471,0.0,0.0407671,0.0,0.17998632,0.029043,0.019029,0.0,0.041144,-6177.301918,-6128.41149,37,1.8051228,0.158464,0.007977667309020678
13,Sp010,N56,1,7,0.0340393,0.00777471,0.0,0.0407671,0.0,0.17998632,0.054821,0.019207,0.0,0.041152,-6177.305911,-6128.41149,37,1.8051228,0.158464,0.007978318864486033
