idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp016,Sp011,1,1,7e-08,0.00090648,0.0,0.0,0.0,0.0,0.000909,0.000908,0.0,0.0,-2039.543145,-2037.54224,17,0.06484333000000002,0.0092157,0.000982018905286647
1,Sp013,Sp011,1,1,0.00133437,0.00090648,0.0,0.0,0.0,0.0,0.001818,0.000908,0.0,0.0,-2039.543694,-2037.54224,17,0.06484333000000002,0.0092157,0.0009822883475534558
6,Sp012,N21,1,3,0.00455388,0.00053994,0.0,0.00363061,0.0,0.003994589999999999,0.005376,0.000999,0.0,0.003632,-2042.974053,-2037.54224,17,0.06484333000000002,0.0092157,0.0026658652239768634
7,Sp007,N21,1,3,1e-08,0.00053994,0.0,0.00363061,0.0,0.003994589999999999,0.00081,0.001001,0.0,0.003632,-2042.974018,-2037.54224,17,0.06484333000000002,0.0092157,0.0026658480464188533
8,Sp010,Sp009,1,1,0.00363061,1e-08,0.0,0.0,0.0,0.0,0.003631,1e-06,0.0,0.0,-2037.550495,-2037.54224,17,0.06484333000000002,0.0092157,4.051449750540052e-06
9,Sp008,Sp009,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,-2037.550498,-2037.54224,17,0.06484333000000002,0.0092157,4.052922112706205e-06
10,N26,N20,2,2,0.00036396,0.000906,0.00363061,0.00455388,0.0036306199999999998,0.00455389,0.000904,0.000906,0.003631,0.004554,-2037.551607,-2037.54224,17,0.06484333000000002,0.0092157,4.597205307562678e-06
11,Sp009,N20,1,2,1e-08,0.000906,0.0,0.00455388,0.0,0.00455389,1e-06,0.000906,0.0,0.004554,-2037.551606,-2037.54224,17,0.06484333000000002,0.0092157,4.596714520136763e-06
12,N20,N16,2,4,0.000906,6e-08,0.00455388,0.00363509,0.00455389,0.00817106,0.001813,1e-06,0.004556,0.003636,-2042.991996,-2037.54224,17,0.06484333000000002,0.0092157,0.0026746714217811647
13,N21,N16,3,4,0.00053994,6e-08,0.00363061,0.00363509,0.003994589999999999,0.00817106,0.001812,1e-06,0.003632,0.003636,-2042.991996,-2037.54224,17,0.06484333000000002,0.0092157,0.0026746714217811647
16,N14,Sp015,9,1,7e-08,0.00417842,0.00455388,0.0,0.01907017,0.0,1e-06,0.00731,0.004558,0.0,-2047.355592,-2037.54224,17,0.06484333000000002,0.0092157,0.004816269232288355
17,Sp006,Sp015,1,1,0.003632,0.00417842,0.0,0.0,0.0,0.0,0.002749,0.007306,0.0,0.0,-2045.102593,-2037.54224,17,0.06484333000000002,0.0092157,0.003710525775406785
18,N10,Sp005,10,1,0.00310967,2.7e-07,0.00455388,0.0,0.022702240000000002,0.0,0.010602,0.001774,0.004565,0.0,-2077.305683,-2037.54224,17,0.06484333000000002,0.0092157,0.019515395666104107
19,Sp015,Sp005,1,1,0.00417842,2.7e-07,0.0,0.0,0.0,0.0,0.011589,0.001773,0.0,0.0,-2077.305684,-2037.54224,17,0.06484333000000002,0.0092157,0.01951539615689142
20,N6,N5,11,3,0.0092157,0.00365715,0.00455388,0.00458007,0.029990330000000003,0.01188822,0.00831,0.003656,0.004553,0.004579,-2035.14604,-2037.54224,17,0.06484333000000002,0.0092157,-0.0011760246992474168
21,Sp005,N5,1,3,2.7e-07,0.00365715,0.0,0.00458007,0.0,0.01188822,1e-06,0.002746,0.0,0.004578,-2034.390678,-2037.54224,17,0.06484333000000002,0.0092157,-0.0015467468296510077
22,Sp004,Sp003,1,1,0.00274445,0.00366121,0.0,0.0,0.0,0.0,0.003264,0.004048,0.0,0.0,-2040.614461,-2037.54224,17,0.06484333000000002,0.0092157,0.0015078072688200562
23,Sp002,Sp003,1,1,0.00458007,0.00366121,0.0,0.0,0.0,0.0,0.005101,0.004048,0.0,0.0,-2040.614459,-2037.54224,17,0.06484333000000002,0.0092157,0.001507806287245316
24,N8,N4,2,12,0.00090249,6e-08,0.00458007,0.0092157,0.00732452,0.0392063,0.002421,0.001285,0.004589,0.008301,-2054.151267,-2037.54224,17,0.06484333000000002,0.0092157,0.008151500702140142
25,Sp003,N4,1,12,0.00366121,6e-08,0.0,0.0092157,0.0,0.0392063,0.005716,0.00072,0.0,0.008299,-2054.100283,-2037.54224,17,0.06484333000000002,0.0092157,0.008126478398798851
26,N4,Sp001,12,1,6e-08,0.00205942,0.0092157,0.0,0.0392063,0.0,1e-06,0.007727,0.008039,0.0,-2066.527023,-2037.54224,17,0.06484333000000002,0.0092157,0.014225365457945111
27,N5,Sp001,3,1,0.00365715,0.00205942,0.00458007,0.0,0.01188822,0.0,0.004239,0.007726,0.004588,0.0,-2066.526855,-2037.54224,17,0.06484333000000002,0.0092157,0.014225283005666708
