idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp007,Sp008,1,1,9e-08,0.00157944,0.0,0,0.0,0,1e-06,0.003162,0.0,0,-1569.761385,-1565.10714,9,0.12613797999999998,0.06135,0.0029737548830043327
1,Sp006,Sp008,1,1,1e-08,0.00157944,0.0,0,0.0,0,1e-06,0.003162,0.0,0,-1569.761385,-1565.10714,9,0.12613797999999998,0.06135,0.0029737548830043327
2,Sp008,Sp005,1,1,0.00157944,1e-08,0.0,0,0.0,0,0.004757,1e-06,0.0,0,-1575.665972,-1565.10714,9,0.12613797999999998,0.06135,0.006746395649309949
3,N13,Sp005,2,1,0.0015788,1e-08,9e-08,0,1e-07,0,0.004757,1e-06,1e-06,0,-1575.665972,-1565.10714,9,0.12613797999999998,0.06135,0.006746395649309949
6,N8,Sp001,4,1,1e-07,0.00618492,0.00316515,0,0.006323499999999999,0,1e-06,0.008242,0.003167,0,-1567.949968,-1565.10714,9,0.12613797999999998,0.06135,0.0018163791649431914
7,Sp004,Sp001,1,1,9e-08,0.00618492,0.0,0,0.0,0,1e-06,0.008242,0.0,0,-1567.94999,-1565.10714,9,0.12613797999999998,0.06135,0.0018163932214889764
8,N6,Sp002,5,1,0.0019669,0.00755634,0.00316515,0,0.00632369,0,0.001785,0.014467,0.00317,0,-1577.610978,-1565.10714,9,0.12613797999999998,0.06135,0.007989125907380283
9,Sp001,Sp002,1,1,0.00618492,0.00755634,0.0,0,0.0,0,0.00651,0.015491,0.0,0,-1579.700964,-1565.10714,9,0.12613797999999998,0.06135,0.009324488801450386
10,N4,Sp003,6,1,0.00895165,0.06135,0.00618492,0,0.01447551,0,0.007592,0.066885,0.006517,0,-1567.653259,-1565.10714,9,0.12613797999999998,0.06135,0.0016268017280911915
11,Sp002,Sp003,1,1,0.00755634,0.06135,0.0,0,0.0,0,0.007945,0.068766,0.0,0,-1570.859618,-1565.10714,9,0.12613797999999998,0.06135,0.0036754531705732825
