idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp001,Sp002,1,1,0.0021118,0.00105938,0.0,0.0,0.0,0.0,0.002114,0.002123,0.0,0.0,-1836.015562,-1830.79586,52,0.06801710000000005,0.0216888,0.002851056261401038
1,Sp000,Sp002,1,1,6e-08,0.00105938,0.0,0.0,0.0,0.0,1e-06,0.002123,0.0,0.0,-1836.014292,-1830.79586,52,0.06801710000000005,0.0216888,0.002850362574012004
2,Sp002,Sp005,1,1,0.00105938,1e-08,0.0,0.0,0.0,0.0,0.003188,1e-06,0.0,0.0,-1841.993373,-1830.79586,52,0.06801710000000005,0.0216888,0.006116199651008645
3,N69,Sp005,2,1,0.0010602,1e-08,0.0021118,0.0,0.00211186,0.0,0.003186,1e-06,0.002113,0.0,-1841.993373,-1830.79586,52,0.06801710000000005,0.0216888,0.006116199651008645
10,Sp009,N34,1,6,1e-08,6e-08,0.0,0.00212108,0.0,0.0063526699999999995,1e-06,1e-06,0.0,0.002121,-1830.845379,-1830.79586,52,0.06801710000000005,0.0216888,2.704779985691346e-05
11,Sp004,N34,1,6,0.00041325,6e-08,0.0,0.00212108,0.0,0.0063526699999999995,0.001061,1e-06,0.0,0.002121,-1830.845378,-1830.79586,52,0.06801710000000005,0.0216888,2.7047253646310187e-05
18,Sp051,N85,1,3,0.0216888,7e-08,0.0,0.00102425,0.0,0.00102445,0.022934,1e-06,0.0,0.001025,-1834.894876,-1830.79586,52,0.06801710000000005,0.0216888,0.002238925753306062
19,N91,N85,2,3,6e-08,7e-08,1.2e-07,0.00102425,1.3e-07,0.00102445,0.001038,1e-06,1e-06,0.001025,-1834.894662,-1830.79586,52,0.06801710000000005,0.0216888,0.0022388088642498775
28,N94,Sp016,2,1,7e-08,0.00040893,7e-08,0.0,8e-08,0.0,1e-06,0.001597,1e-06,0.0,-1837.037728,-1830.79586,52,0.06801710000000005,0.0216888,0.0034093741068433854
29,Sp049,Sp016,1,1,1e-08,0.00040893,0.0,0.0,0.0,0.0,1e-06,0.001597,0.0,0.0,-1837.037727,-1830.79586,52,0.06801710000000005,0.0216888,0.003409373560632782
30,N86,N78,3,6,0.00105294,6e-08,7e-08,0.0216888,1.6e-07,0.023750470000000003,0.001053,1e-06,1e-06,0.021689,-1830.841537,-1830.79586,52,0.06801710000000005,0.0216888,2.4949258952371022e-05
31,Sp016,N78,1,6,0.00040893,6e-08,0.0,0.0216888,0.0,0.023750470000000003,0.001061,1e-06,0.0,0.021689,-1830.840538,-1830.79586,52,0.06801710000000005,0.0216888,2.4403594620306952e-05
32,N78,Sp022,6,1,6e-08,0.00211952,0.0216888,0.0,0.023750470000000003,0.0,1e-06,0.00212,0.021689,0.0,-1830.847427,-1830.79586,52,0.06801710000000005,0.0216888,2.8166439047976256e-05
33,N79,Sp022,4,1,0.00065242,0.00211952,0.00105294,0.0,0.00146203,0.0,0.000631,0.00212,0.001053,0.0,-1830.847452,-1830.79586,52,0.06801710000000005,0.0216888,2.818009431156778e-05
40,N46,Sp029,13,1,4.601e-05,1e-08,0.0216888,0.0,0.030288799999999998,0.0,4.6e-05,1e-06,0.021689,0.0,-1830.847427,-1830.79586,52,0.06801710000000005,0.0216888,2.8166439047976256e-05
44,N28,N22,15,9,4.773e-05,6e-08,0.0216888,0.00212108,0.03041314,0.00847442,0.000716,1e-06,0.021689,0.002121,-1830.84744,-1830.79586,52,0.06801710000000005,0.0216888,2.8173539785073653e-05
45,Sp035,N22,1,9,1e-08,6e-08,0.0,0.00212108,0.0,0.00847442,1e-06,1e-06,0.0,0.002121,-1830.847472,-1830.79586,52,0.06801710000000005,0.0216888,2.8191018522391318e-05
46,N22,N21,9,17,6e-08,1.1e-07,0.00212108,0.00318543,0.00847442,0.013751259999999998,1e-06,0.001025,0.002122,0.003187,-1837.391692,-1830.79586,52,0.06801710000000005,0.0216888,0.003602712975328649
47,N23,N21,16,17,0.00066797,1.1e-07,0.0216888,0.00318543,0.030460880000000003,0.013751259999999998,0.000991,0.001025,0.021705,0.003188,-1837.37312,-1830.79586,52,0.06801710000000005,0.0216888,0.0035925687531323256
50,N38,Sp011,2,1,9e-08,1e-08,6e-08,0.0,6.999999999999999e-08,0.0,0.001544,1e-06,1e-06,0.0,-1837.495665,-1830.79586,52,0.06801710000000005,0.0216888,0.003659504124069829
51,Sp045,Sp011,1,1,0.00106488,1e-08,0.0,0.0,0.0,0.0,0.002134,1e-06,0.0,0.0,-1837.495825,-1830.79586,52,0.06801710000000005,0.0216888,0.003659591517756666
