idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp011,Sp009,1,1,0.00155344,0.0239877,0.0,0.0,0.0,0.0,0.001618,0.028818,0.0,0.0,-2992.817498,-2987.21171,12,0.7043307499999999,0.193738,0.001876595482413882
1,Sp004,Sp009,1,1,0.0048392,0.0239877,0.0,0.0,0.0,0.0,0.004899,0.028818,0.0,0.0,-2992.817501,-2987.21171,12,0.7043307499999999,0.193738,0.00187659648669493
2,Sp009,Sp005,1,1,0.0239877,0.0130372,0.0,0.0,0.0,0.0,0.02199,0.018726,0.0,0.0,-2988.563206,-2987.21171,12,0.7043307499999999,0.193738,0.00045242725698868195
3,N19,Sp005,2,1,0.00504282,0.0130372,0.0048392,0.0,0.00639264,0.0,0.005858,0.01932,0.004849,0.0,-2992.377635,-2987.21171,12,0.7043307499999999,0.193738,0.0017293467961130174
4,N14,N13,3,2,0.00644932,0.0475239,0.0239877,0.0189031,0.035423159999999995,0.0354383,0.004236,0.058387,0.022873,0.018741,-2990.085535,-2987.21171,12,0.7043307499999999,0.193738,0.0009620426267009125
5,Sp005,N13,1,2,0.0130372,0.0475239,0.0,0.0189031,0.0,0.0354383,0.014553,0.059214,0.0,0.018727,-2991.103309,-2987.21171,12,0.7043307499999999,0.193738,0.0013027529943634433
6,Sp003,N12,1,4,0.0189031,0.0128966,0.0,0.0239877,0.0,0.054909679999999995,0.021684,0.050198,0.0,0.025305,-3018.736401,-2987.21171,12,0.7043307499999999,0.193738,0.010553216196384043
7,Sp002,N12,1,4,0.0165352,0.0128966,0.0,0.0239877,0.0,0.054909679999999995,0.017927,0.050196,0.0,0.025303,-3018.736141,-2987.21171,12,0.7043307499999999,0.193738,0.010553129158696228
8,N12,Sp000,4,1,0.0128966,0.193738,0.0239877,0.0,0.054909679999999995,0.0,0.018966,0.266428,0.024124,0.0,-3025.825139,-2987.21171,12,0.7043307499999999,0.193738,0.012926244521182597
9,N13,Sp000,2,1,0.0475239,0.193738,0.0189031,0.0,0.0354383,0.0,0.051596,0.268337,0.019151,0.0,-3025.973159,-2987.21171,12,0.7043307499999999,0.193738,0.0129757957463283
10,N10,Sp006,6,1,0.0869341,0.111442,0.0475239,0.0,0.15076847999999998,0.0,0.123106,0.11144,0.048564,0.0,-2997.882147,-2987.21171,12,0.7043307499999999,0.193738,0.0035720390905938718
11,Sp000,Sp006,1,1,0.193738,0.111442,0.0,0.0,0.0,0.0,0.229042,0.106018,0.0,0.0,-2996.732668,-2987.21171,12,0.7043307499999999,0.193738,0.0031872391126908325
12,N8,Sp010,7,1,0.0394926,0.0367536,0.193738,0.0,0.43144057999999996,0.0,0.043616,0.037114,0.193086,0.0,-2988.042455,-2987.21171,12,0.7043307499999999,0.193738,0.0002781004765141844
13,Sp006,Sp010,1,1,0.111442,0.0367536,0.0,0.0,0.0,0.0,0.115675,0.036122,0.0,0.0,-2987.751341,-2987.21171,12,0.7043307499999999,0.193738,0.00018064705564511176
14,N6,Sp007,8,1,0.00646799,0.0185013,0.193738,0.0,0.58237518,0.0,0.030522,0.020931,0.187494,0.0,-3020.353045,-2987.21171,12,0.7043307499999999,0.193738,0.011094404487320318
15,Sp010,Sp007,1,1,0.0367536,0.0185013,0.0,0.0,0.0,0.0,0.064099,0.020929,0.0,0.0,-3020.352738,-2987.21171,12,0.7043307499999999,0.193738,0.011094301715896798
16,N4,Sp008,9,1,0.0309331,0.0130221,0.193738,0.0,0.62559677,0.0,0.039145,0.012749,0.193344,0.0,-2997.677572,-2987.21171,12,0.7043307499999999,0.193738,0.003503555494565203
17,Sp007,Sp008,1,1,0.0185013,0.0130221,0.0,0.0,0.0,0.0,0.027578,0.013772,0.0,0.0,-2998.551754,-2987.21171,12,0.7043307499999999,0.193738,0.0037961969558562136
