idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp012,N17,1,6,1e-08,9e-08,0.0,0.00811818,0.0,0.0324684,0.001629,1e-06,0.0,0.008125,-1563.70142,-1558.40624,16,0.19391457000000004,0.0803845,0.0033978175036055254
1,Sp011,N17,1,6,0.00984928,9e-08,0.0,0.00811818,0.0,0.0324684,0.011531,1e-06,0.0,0.008125,-1563.70142,-1558.40624,16,0.19391457000000004,0.0803845,0.0033978175036055254
2,Sp010,Sp008,1,1,0.00649659,0.00322906,0.0,0.0,0.0,0.0,0.008127,0.003233,0.0,0.0,-1562.114061,-1558.40624,16,0.19391457000000004,0.0803845,0.0023792390615684183
3,Sp009,Sp008,1,1,0.00161855,0.00322906,0.0,0.0,0.0,0.0,0.003232,0.003233,0.0,0.0,-1562.114059,-1558.40624,16,0.19391457000000004,0.0803845,0.0023792377782060037
6,Sp015,N21,1,2,0.00811818,0.00325988,0.0,0.00326021,0.0,0.0048827,0.011422,0.003263,0.0,0.003263,-1568.801533,-1558.40624,16,0.19391457000000004,0.0803845,0.006670464178839554
7,N23,N21,3,2,9e-08,0.00325988,0.00649659,0.00326021,0.01295469,0.0048827,0.003236,0.003263,0.006502,0.003263,-1568.801499,-1558.40624,16,0.19391457000000004,0.0803845,0.006670442361678362
8,Sp006,N20,1,4,0.00162249,0.00325286,0.0,0.00811818,0.0,0.02107296,0.004894,0.003258,0.0,0.008129,-1568.051228,-1558.40624,16,0.19391457000000004,0.0803845,0.006189007559415324
9,Sp005,N20,1,4,0.00326021,0.00325286,0.0,0.00811818,0.0,0.02107296,0.006542,0.003258,0.0,0.008129,-1568.051229,-1558.40624,16,0.19391457000000004,0.0803845,0.006189008201096458
14,N12,N11,8,2,8e-08,0.00158506,0.00984928,0.00502174,0.043945160000000004,0.00654356,1e-06,0.004918,0.009857,0.004919,-1562.388539,-1558.40624,16,0.19391457000000004,0.0803845,0.0025553664364177673
15,Sp007,N11,1,2,0.00818886,0.00158506,0.0,0.00502174,0.0,0.00654356,0.006223,0.004917,0.0,0.004918,-1561.493894,-1558.40624,16,0.19391457000000004,0.0803845,0.0019812895513046263
16,Sp014,N10,1,9,0.00502174,0.00342622,0.0,0.00984928,0.0,0.0521341,0.005105,0.005027,0.0,0.009853,-1559.780139,-1558.40624,16,0.19391457000000004,0.0803845,0.0008816051711907529
17,Sp013,N10,1,9,0.00152182,0.00342622,0.0,0.00984928,0.0,0.0521341,1e-06,0.004911,0.0,0.009849,-1557.014432,-1558.40624,16,0.19391457000000004,0.0803845,-0.0008930970399605707
18,N10,Sp004,9,1,0.00342622,0.023566,0.00984928,0.0,0.0521341,0.0,0.005048,0.101605,0.010006,0.0,-1677.381301,-1558.40624,16,0.19391457000000004,0.0803845,0.07634406096833896
19,N11,Sp004,2,1,0.00158506,0.023566,0.00502174,0.0,0.00654356,0.0,0.001715,0.101604,0.006657,0.0,-1677.381299,-1558.40624,16,0.19391457000000004,0.0803845,0.07634405968497654
20,N8,Sp003,11,1,0.0803845,0.00451643,0.00984928,0.0,0.06368894000000001,0.0,0.091544,0.004405,0.009878,0.0,-1565.741166,-1558.40624,16,0.19391457000000004,0.0803845,0.004706684182681401
21,Sp004,Sp003,1,1,0.023566,0.00451643,0.0,0.0,0.0,0.0,0.035155,0.001607,0.0,0.0,-1562.213997,-1558.40624,16,0.19391457000000004,0.0803845,0.0024433661148584966
22,N6,Sp001,12,1,0.0118311,0.00160028,0.0803845,0.0,0.16763944,0.0,0.013776,0.001601,0.080967,0.0,-1560.981543,-1558.40624,16,0.19391457000000004,0.0803845,0.0016525235422569125
23,Sp003,Sp001,1,1,0.00451643,0.00160028,0.0,0.0,0.0,0.0,0.006448,0.001601,0.0,0.0,-1560.981539,-1558.40624,16,0.19391457000000004,0.0803845,0.0016525209755320835
