idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp018,Sp010,1,1,0.00409018,0.0189701,0.0,0.0,0.0,0.0,0.004096,0.02758,0.0,0.0,-3815.174979,-3807.16304,31,1.11672565,0.162655,0.0021044381120068826
1,Sp009,Sp010,1,1,3e-07,0.0189701,0.0,0.0,0.0,0.0,1e-06,0.027579,0.0,0.0,-3815.175127,-3807.16304,31,1.11672565,0.162655,0.0021044769860972556
2,N52,N43,2,2,0.0096419,7.3e-07,0.00409018,0.0256128,0.00409048,0.025612810000000003,0.011946,1e-06,0.004096,0.028582,-3809.718237,-3807.16304,31,1.11672565,0.162655,0.0006711551286755859
3,Sp010,N43,1,2,0.0189701,7.3e-07,0.0,0.0256128,0.0,0.025612810000000003,0.021216,1e-06,0.0,0.028589,-3809.716262,-3807.16304,31,1.11672565,0.162655,0.000670636369699577
4,Sp027,N42,1,3,1e-08,0.0100287,0.0,0.0189701,0.0,0.03270248,1e-06,0.009623,0.0,0.018643,-3807.060829,-3807.16304,31,1.11672565,0.162655,-2.6847024654845743e-05
6,N42,Sp014,3,1,0.0100287,0.0198669,0.0189701,0.0,0.03270248,0.0,0.012854,0.01859,0.020806,0.0,-3805.698306,-3807.16304,31,1.11672565,0.162655,-0.00038473109362821903
7,N43,Sp014,2,1,7.3e-07,0.0198669,0.0256128,0.0,0.025612810000000003,0.0,1e-06,0.021954,0.027112,0.0,-3809.289902,-3807.16304,31,1.11672565,0.162655,0.000558647469954445
8,N34,Sp012,5,1,0.00892965,0.0287099,0.0256128,0.0,0.06834472000000001,0.0,0.009921,0.031706,0.026705,0.0,-3809.657178,-3807.16304,31,1.11672565,0.162655,0.0006551172024405924
9,Sp014,Sp012,1,1,0.0198669,0.0287099,0.0,0.0,0.0,0.0,0.021605,0.032692,0.0,0.0,-3810.147527,-3807.16304,31,1.11672565,0.162655,0.000783913630344597
10,N26,N19,6,4,0.00961316,0.00530738,0.0256128,0.023891,0.09714127,0.06246507999999999,0.020947,0.006938,0.024583,0.02167,-3815.688878,-3807.16304,31,1.11672565,0.162655,0.00223942024820666
11,Sp012,N19,1,4,0.0287099,0.00530738,0.0,0.023891,0.0,0.06246507999999999,0.035777,0.006974,0.0,0.021599,-3815.689806,-3807.16304,31,1.11672565,0.162655,0.0022396639992596566
12,Sp022,Sp013,1,1,0.00845459,2.5e-07,0.0,0.0,0.0,0.0,0.012673,1e-06,0.0,0.0,-3814.423558,-3807.16304,31,1.11672565,0.162655,0.0019070677887228196
13,Sp015,Sp013,1,1,0.00821052,2.5e-07,0.0,0.0,0.0,0.0,0.012449,1e-06,0.0,0.0,-3814.423539,-3807.16304,31,1.11672565,0.162655,0.001907062798130122
14,N36,Sp030,2,1,0.00776402,0.023891,0.00845459,0.0,0.01666511,0.0,0.010915,0.036984,0.008496,0.0,-3820.735267,-3807.16304,31,1.11672565,0.162655,0.003564918774794607
