idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
4,N8,N7,3,4,8e-08,0.00340961,0.00163172,0.145116,0.0016318199999999998,0.16655317,1e-06,0.006882,0.001633,0.145183,-1449.458792,-1440.49548,11,0.20659932,0.145116,0.00622238120455599
5,Sp009,N7,1,4,1e-08,0.00340961,0.0,0.145116,0.0,0.16655317,1e-06,0.006882,0.0,0.145183,-1449.458792,-1440.49548,11,0.20659932,0.145116,0.00622238120455599
6,Sp007,N11,1,2,0.00656915,0.00142273,0.0,0.00661991,0.0,0.00989686,0.009906,1e-06,0.0,0.006635,-1439.983856,-1440.49548,11,0.20659932,0.145116,-0.000355172235597701
7,Sp000,N11,1,2,0.145116,0.00142273,0.0,0.00661991,0.0,0.00989686,0.146903,0.001402,0.0,0.006624,-1440.943228,-1440.49548,11,0.20659932,0.145116,0.0003108291599776813
8,Sp006,N10,1,2,0.00327695,0.00354843,0.0,0.145116,0.0,0.15168515,0.003333,0.003364,0.0,0.143427,-1441.355283,-1440.49548,11,0.20659932,0.145116,0.000596880040192876
9,Sp002,N10,1,2,0.00661991,0.00354843,0.0,0.145116,0.0,0.15168515,0.006669,0.003364,0.0,0.143427,-1441.355273,-1440.49548,11,0.20659932,0.145116,0.000596873098136937
10,N10,N6,2,4,0.00354843,0.00334157,0.145116,0.00163172,0.15168515,0.0016319099999999997,0.004372,0.004227,0.143624,0.001632,-1447.292236,-1440.49548,11,0.20659932,0.145116,0.004718345940245477
11,N11,N6,2,4,0.00142273,0.00334157,0.00661991,0.00163172,0.00989686,0.0016319099999999997,0.003903,0.004314,0.006629,0.001632,-1447.294058,-1440.49548,11,0.20659932,0.145116,0.0047196107828119714
12,N6,Sp005,4,1,0.00334157,0.0184759,0.00163172,0.0,0.0016319099999999997,0.0,0.003454,0.020053,0.001632,0.0,-1443.934606,-1440.49548,11,0.20659932,0.145116,0.00238746045909147
13,N7,Sp005,4,1,0.00340961,0.0184759,0.145116,0.0,0.16655317,0.0,0.003578,0.021644,0.1453,0.0,-1445.17768,-1440.49548,11,0.20659932,0.145116,0.0032504093660883724
14,N4,Sp004,8,1,0.00323105,1.1e-07,0.145116,0.0,0.17493625999999998,0.0,0.009928,1e-06,0.145641,0.0,-1454.183856,-1440.49548,11,0.20659932,0.145116,0.009502546998620267
15,Sp005,Sp004,1,1,0.0184759,1.1e-07,0.0,0.0,0.0,0.0,0.025427,1e-06,0.0,0.0,-1454.184249,-1440.49548,11,0.20659932,0.145116,0.009502819821413022
